Date,IWF,IWM,MTUM,SHEN,SPY,VLUE,VXX
2018-09-24,-0.39620609675281643,-1.1145212060967529,-0.0,1.0,-0.8116302186878728,-0.8194582504970179,0.0
2018-09-25,-0.3960646230323115,-1.1147887323943662,-0.0,1.0,-0.8118475559237779,-0.8198425849212925,0.0
2018-09-26,-0.39672742336371164,-1.115492957746479,-0.0,1.0,-0.8118061309030654,-0.8184755592377796,0.0
2018-09-27,-0.39889918887601394,-1.1097914252607186,-0.0,1.0,-0.8116205926171164,-0.8180764774044033,0.0
2018-09-28,-0.39742581633075363,-1.1113272358564747,-0.0,1.0,-0.8115714108347473,-0.8181931051607829,0.0
2018-10-01,-0.4014060930699699,-1.132114161365919,-0.0,1.0,-0.8213508536993639,-0.8299296953465015,0.0
2018-10-02,-0.4020506382088303,-1.131743042477506,-0.0,1.0,-0.8212596777568529,-0.8299225779451768,0.0
2018-10-03,-0.4012131353273373,-1.121690023007739,-0.0,1.0,-0.8244718678100815,-0.8358502405354528,0.0
2018-10-04,-0.406081391944456,-1.1144757204400015,-0.0,1.0,-0.8303567694173742,-0.8315697017859384,0.0
2018-10-05,-0.38032458592348456,-1.1043013892945053,-0.0,1.0,-0.841002962159456,-0.8464266344027703,0.0
2018-10-08,-0.3767292180381995,-1.1023947841350774,-0.0,1.0,-0.8514648723199731,-0.8487482760061855,0.0
2018-10-09,-0.38312395309882746,-1.106113902847571,-0.0,1.0,-0.8518006700167504,-0.8465661641541038,0.0
2018-10-10,-0.38872577803875513,-1.106283029947152,-0.0,1.0,-0.85659760087241,-0.8426725945809915,0.0
2018-10-11,-0.2978109897250538,-1.0902002193071518,-0.0,1.0,-0.8243918287779718,-0.8487999025301547,0.0
2018-10-12,-0.29343118383060635,-1.0816891241578441,-0.0,1.0,-0.8061437279435355,-0.828962143086301,0.0
2018-10-15,-0.27446510697860427,-1.0954209158168366,-0.0,1.0,-0.8014397120575885,-0.827874425114977,0.0
2018-10-16,-0.27226198568515336,-1.0986844735895078,-0.0,1.0,-0.8005518013515135,-0.8270222719820866,0.0
2018-10-17,-0.24619977218272518,-1.0527907616167171,-0.0,1.0,-0.7935504143917672,-0.8353431006716682,0.0
2018-10-18,-0.2456250985338168,-1.0521440958536972,-0.0,1.0,-0.8034841557622576,-0.840059908560618,0.0
2018-10-19,-0.2253840440917797,-1.0400265801508812,-0.0,1.0,-0.8044013602783098,-0.8390337333385451,0.0
