Date,HOLI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5147385509227614,-0.9628332194121667,-0.2267600820232399,-0.7922077922077921,-0.7755041011619959,0.0
2018-09-25,1.0,-0.5142979269074589,-0.9641376362470614,-0.22560376148749733,-0.7933746527035691,-0.7770463774310751,0.0
2018-09-26,1.0,-0.5179917751884853,-0.9697138450993831,-0.23085161069225496,-0.7942083618917066,-0.7709904043865661,0.0
2018-09-27,1.0,-0.5180552580852431,-0.9694152923538232,-0.23105590062111803,-0.7941315056757335,-0.7709145427286357,0.0
2018-09-28,1.0,-0.519324706487274,-0.9687205416059645,-0.23129659782329248,-0.7943696974890736,-0.7711029222726884,0.0
2018-10-01,1.0,-0.519858705953304,-0.9802274489532179,-0.2324459377961575,-0.7983113638321703,-0.7769018695614716,0.0
2018-10-02,1.0,-0.5200516907172087,-0.9792806375188455,-0.23325436140426448,-0.7981477493000216,-0.7768253284514323,0.0
2018-10-03,1.0,-0.5195660596667958,-0.9728787291747385,-0.23259718455379053,-0.7997761418916011,-0.7801024581342288,0.0
2018-10-04,1.0,-0.5324855091270871,-0.965005623323817,-0.23384375811056318,-0.8180205900164375,-0.7763214810969806,0.0
2018-10-05,1.0,-0.5239306657468094,-0.9611935150051742,-0.22399965505346675,-0.8220075888237324,-0.7807002414625733,0.0
2018-10-08,1.0,-0.5217091957485261,-0.9574422307328198,-0.22062050862773785,-0.8239166917681483,-0.7794225224837558,0.0
2018-10-09,1.0,-0.5191040275683826,-0.959724316174887,-0.21227654533706655,-0.8295929356019816,-0.7868619427094551,0.0
2018-10-10,1.0,-0.5189955203308063,-0.9598983459682977,-0.21192281185389386,-0.8297725706409372,-0.7868280496209511,0.0
2018-10-11,1.0,-0.461647965164964,-0.9581309663372969,-0.13532071679785632,-0.8204237146206667,-0.8114218723831854,0.0
2018-10-12,1.0,-0.46307029891529355,-0.9494907675747287,-0.12970936490850374,-0.8046286329386436,-0.793160553117496,0.0
2018-10-15,1.0,-0.4538429752066116,-0.9622314049586778,-0.11661157024793388,-0.8046694214876032,-0.7948760330578513,0.0
2018-10-16,1.0,-0.4508557660352277,-0.9944333665669659,-0.09687603855101364,-0.8117314722499169,-0.8003074111000332,0.0
2018-10-17,1.0,-0.43168438266557646,-0.9502861815208503,-0.07718724448078496,-0.8125919869174161,-0.816557645134914,0.0
2018-10-18,1.0,-0.4302420673863264,-0.9481108930323847,-0.07838567222767419,-0.8152191691200523,-0.8170183186130192,0.0
2018-10-19,1.0,-0.41497761497761493,-0.9377289377289377,-0.06043956043956044,-0.8301180301180301,-0.8267399267399268,0.0
2018-10-22,1.0,-0.42004481564473417,-0.9281727439397025,-0.047830515379914444,-0.8415155836219189,-0.8365858627011611,0.0
2018-10-23,1.0,-0.42383107088989447,-0.9282948106477519,-0.05531776120011414,-0.8356365415188944,-0.833435245199951,0.0
2018-10-24,1.0,-0.4233088834555827,-0.9282396088019559,-0.05183374083129584,-0.836919315403423,-0.8346373268133659,0.0
