Date,IWF,IWM,LSTR,MTUM,SPY,VLUE,VXX
2018-09-24,-0.289862691736764,-0.7858114794656111,1.0,-0.10316674913409205,-0.44696313706086094,-0.46669346857991095,0.0
2018-09-25,-0.2914026030234643,-0.7842767490029988,1.0,-0.10572850650755868,-0.4455745509629951,-0.4644943889696108,0.0
2018-09-26,-0.29128794905088723,-0.784208248315093,1.0,-0.10536078649601185,-0.4457119891176652,-0.465003400729611,0.0
2018-09-27,-0.2953906080934863,-0.7758370173431849,1.0,-0.10795436980245464,-0.4467493121464124,-0.4655145763131048,0.0
2018-09-28,-0.29384120702448674,-0.7771456838980954,1.0,-0.10842814741528567,-0.4467289141726441,-0.46561958941380166,0.0
2018-10-01,-0.2938593778987076,-0.7770700636942676,1.0,-0.10862036979778616,-0.4467256199369241,-0.4656483829076743,0.0
2018-10-02,-0.29388474744037857,-0.7801354820749171,1.0,-0.10798354418633423,-0.4461628878097064,-0.4650313959602833,0.0
2018-10-03,-0.2967268658108234,-0.79484629013708,1.0,-0.10966398309036088,-0.44583631220664577,-0.4612850082372323,0.0
2018-10-04,-0.2985056078541026,-0.791095784012179,1.0,-0.11016870164973436,-0.4480069593314071,-0.45906732531767486,0.0
2018-10-05,-0.29591013467386584,-0.7935517904797369,1.0,-0.10597033451250543,-0.44827158195246075,-0.4594116551852541,0.0
2018-10-08,-0.29514803906371107,-0.7927453108045264,1.0,-0.10488296388156874,-0.44858161525344914,-0.4589365989769028,0.0
2018-10-09,-0.29637440684799804,-0.7931954222621964,1.0,-0.10743417175821107,-0.4474149427782775,-0.4569984182613281,0.0
2018-10-10,-0.29588479920551175,-0.7948296195146174,1.0,-0.10620073241884427,-0.44767550121035316,-0.45891006144869967,0.0
2018-10-11,-0.2636895913600097,-0.7972271941267483,1.0,-0.0658617237508722,-0.4380062494311805,-0.46888936079847104,0.0
2018-10-12,-0.2649526387009472,-0.795850248082995,1.0,-0.06263719741392272,-0.42670275146594494,-0.4569237708615246,0.0
2018-10-15,-0.2555081947529567,-0.8112205078945789,1.0,-0.04961877889175722,-0.4264273278501531,-0.4589662003962299,0.0
2018-10-16,-0.2543828049951969,-0.8157720941402496,1.0,-0.046229586935638806,-0.4266330451488953,-0.4589036983669548,0.0
2018-10-17,-0.24270348751074103,-0.7889715250822247,1.0,-0.03437138878188983,-0.4273311801831165,-0.46964354499392574,0.0
2018-10-18,-0.2433970653623833,-0.7905143026530309,1.0,-0.0335852971691122,-0.42685638061360603,-0.46995701793389655,0.0
2018-10-19,-0.24331145885916203,-0.7977254506042699,1.0,-0.02951569320307628,-0.42768061288119485,-0.47112272470825783,0.0
