Date,IWF,IWM,MPX,MTUM,SPY,VLUE,VXX
2018-09-24,-0.6098182033516907,-1.8639189909397762,1.0,-0.0,-1.236276425652869,-1.2116420915497128,0.0
2018-09-25,-0.6201780415430267,-1.9095258281354084,1.0,-0.0,-1.2741476412523467,-1.252043844243929,0.0
2018-09-26,-0.810051225252665,-2.1981171258479852,1.0,-0.0,-1.500484563200886,-1.413609303613457,0.0
2018-09-27,-0.8131389886709035,-2.185064935064935,1.0,-0.0,-1.4984802431610942,-1.4113705443492677,0.0
2018-09-28,-0.8107510536861743,-2.1880052511573274,1.0,-0.0,-1.4987217577558212,-1.4119394735023838,0.0
2018-10-01,-0.8150301017230641,-2.1880146702650336,1.0,-0.0,-1.5027333748529512,-1.4141581897446545,0.0
2018-10-02,-0.8156273790573741,-2.188386739566752,1.0,-0.001453387777700879,-1.501834036957575,-1.4136618451103882,0.0
2018-10-03,-0.8142975663716815,-2.1731194690265485,1.0,-0.0,-1.5053235619469028,-1.4209762168141593,0.0
2018-10-04,-0.8167986661108794,-2.18743921078227,1.0,-0.002848409059330276,-1.5081283868278448,-1.43212449631791,0.0
2018-10-05,-0.7753502566236649,-2.1754751005687334,1.0,-0.0,-1.527604383409627,-1.4574143431821336,0.0
2018-10-08,-0.766160220994475,-2.1632596685082874,1.0,-0.0,-1.526174033149171,-1.4504834254143646,0.0
2018-10-09,-0.7643809129203785,-2.163524618465576,1.0,-0.0,-1.5265520336993303,-1.451142876873144,0.0
2018-10-10,-0.7661922943422422,-2.17702186740715,1.0,-0.0,-1.5342589378687954,-1.4646303366886497,0.0
2018-10-11,-0.5719034638654346,-2.1463333554949804,1.0,-0.0,-1.4606076723622101,-1.4696496243600825,0.0
2018-10-12,-0.5677536702611408,-2.118357801740938,1.0,-0.0,-1.4032740028582564,-1.406586981941016,0.0
2018-10-15,-0.5033385703063629,-2.211246399581042,1.0,-0.0,-1.406192720607489,-1.425373134328358,0.0
2018-10-16,-0.4941222827871544,-2.238326656596835,1.0,-0.0,-1.4079595455440994,-1.426938989952059,0.0
2018-10-17,-0.44144657673063525,-2.1301539046171385,1.0,-0.0,-1.3604408132243966,-1.4014820444613338,0.0
2018-10-18,-0.4401165368294382,-2.127937171448477,1.0,-0.0,-1.3634175691937425,-1.4020520615618468,0.0
2018-10-19,-0.39874818233546183,-2.118859455016754,1.0,-0.0,-1.3862300056900803,-1.4184737940190935,0.0
2018-10-22,-0.4003159557661928,-2.1141864139020536,1.0,-0.0,-1.3861611374407583,-1.4184518167456557,0.0
2018-10-23,-0.40664896978890147,-2.1151561117431426,1.0,-0.0,-1.3821261534572116,-1.4164454556946025,0.0
2018-10-24,-0.40037842951750235,-2.1105014191106903,1.0,-0.0,-1.3802585935036267,-1.4159571113213498,0.0
2018-10-25,-0.32653545174294524,-1.9731444154612285,1.0,-0.0,-1.318176428740811,-1.3105288119516245,0.0
2018-10-26,-0.2887438825448614,-1.9360288976928455,1.0,-0.0,-1.3173502680027966,-1.2840247028664649,0.0
2018-10-29,-0.27375631276484585,-1.9385847797062747,1.0,-0.0,-1.3109653450978116,-1.2815348000232192,0.0
2018-10-30,-0.2550214791594102,-1.9397422500870776,1.0,-0.0,-1.312550795309416,-1.297805642633229,0.0
2018-10-31,-0.2578389223273144,-1.8960160504442534,1.0,-0.0,-1.2985382631126399,-1.2798509601605044,0.0
2018-11-01,-0.21245526953711188,-1.9520951171649545,1.0,-0.0,-1.31172803878564,-1.2953942052406788,0.0
2018-11-02,-0.22168812589413447,-1.89310443490701,1.0,-0.0,-1.3246924177396282,-1.2829756795422034,0.0
2018-11-05,-0.21327041491626864,-1.9383668066985096,1.0,-0.0,-1.337630200840191,-1.2654658456580539,0.0
2018-11-06,-0.22013808975834293,-1.9430379746835442,1.0,-0.0,-1.3326237054085155,-1.2579401611047178,0.0
2018-11-07,-0.21873021354976113,-1.9462384159327693,1.0,-0.0,-1.3318367581879929,-1.259195303056467,0.0
2018-11-08,-0.16292804815719236,-1.94457379748992,1.0,-0.0,-1.3081946731784884,-1.2632744619228804,0.0
2018-11-09,-0.16408668730650156,-1.9614723082215342,1.0,-0.0,-1.3300653594771243,-1.2776631120284372,0.0
2018-11-12,-0.1618444330308737,-1.9474975746162189,1.0,-0.0,-1.3268275980140387,-1.270672829994864,0.0
2018-11-13,-0.10674325375456233,-2.052174953628912,1.0,-0.0,-1.4563513432657214,-1.3680966911984682,0.0
2018-11-14,-0.10743554465514146,-2.051145540467787,1.0,-0.0,-1.4560028713285875,-1.367350601184423,0.0
2018-11-15,-0.10492351816443593,-2.05532982791587,1.0,-0.0,-1.4632528680688335,-1.351637189292543,0.0
2018-11-16,-0.09721395404214789,-2.0347660435766164,1.0,-0.0,-1.4598166448386714,-1.3612930110727468,0.0
2018-11-19,-0.10465116279069768,-2.0358378056052477,1.0,-0.0,-1.4596302921884319,-1.3629099582587956,0.0
2018-11-20,-0.06589902568644818,-2.0214939474461175,1.0,-0.0,-1.4511957484499558,-1.3663418954827282,0.0
2018-11-21,-0.06655428970006975,-2.001743780516159,1.0,-0.0,-1.4336200883515462,-1.3106835619623343,0.0
2018-11-23,-0.06801971585966948,-1.9838793853290808,1.0,-0.0,-1.4369962307915338,-1.3098869237460133,0.0
2018-11-26,-0.06663962450020282,-1.9889320275830096,1.0,-0.0,-1.4331575592513184,-1.3060207452048445,0.0
2018-11-27,-0.04699798908359666,-1.9891985061763862,1.0,-0.0,-1.418213157138753,-1.291065785693766,0.0
2018-11-28,-0.04808686659772493,-1.9883948063886019,1.0,-0.0,-1.4177869700103414,-1.2908767091807423,0.0
2018-11-29,-0.0,-1.956516822165677,1.0,-0.0,-1.403279615493356,-1.2947695787390443,0.0
