Date,CEVA,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.7578255425709516,-1.43322203672788,-0.0933848080133556,-1.0010955759599334,-0.9315525876460768,0.0
2018-09-25,1.0,-0.759672541453749,-1.4306497027844405,-0.09688184377933047,-0.9988528522265095,-0.9282511210762332,0.0
2018-09-26,1.0,-0.7630039690829329,-1.4355024023396699,-0.10194276164612491,-0.9994777522456653,-0.9225506580321704,0.0
2018-09-27,1.0,-0.7628774422735346,-1.43652700867203,-0.10207919757601086,-0.9997387942743705,-0.9228920697941699,0.0
2018-09-28,1.0,-0.7609694943585458,-1.4375261178437109,-0.10295653990806518,-0.9993209360635187,-0.9227434183033849,0.0
2018-10-01,1.0,-0.7605413030983854,-1.4383719107581376,-0.10366267830085166,-0.9991640106588642,-0.9231412299493181,0.0
2018-10-02,1.0,-0.7636601307189543,-1.4175163398692812,-0.1118954248366013,-1.00559477124183,-0.9300915032679739,0.0
2018-10-03,1.0,-0.7628526645768026,-1.4098746081504703,-0.11128526645768026,-1.007105538140021,-0.9335423197492164,0.0
2018-10-04,1.0,-0.7670496083550913,-1.4014099216710183,-0.11248041775456918,-1.0124281984334202,-0.9285639686684073,0.0
2018-10-05,1.0,-0.7594337167542811,-1.3998854941966377,-0.09857908707645864,-1.0156144277312236,-0.931296517982616,0.0
2018-10-08,1.0,-0.7658927729154655,-1.4131334835700433,-0.10161941198050417,-1.0208584455741312,-0.9393637650018343,0.0
2018-10-09,1.0,-0.7732842492768867,-1.4184591112279779,-0.11196423875887457,-1.0200894031028136,-0.9351564554299238,0.0
2018-10-10,1.0,-0.7831694682313141,-1.4221905063960252,-0.11867004968812772,-1.030605772280368,-0.9312823765725765,0.0
2018-10-11,1.0,-0.7119406801329584,-1.422296087957044,-0.011659422142674507,-1.012835591920225,-0.95510099718742,0.0
2018-10-12,1.0,-0.7328715174192244,-1.419274915305658,-0.0018708600900035394,-0.983769024624564,-0.9185923041917379,0.0
2018-10-15,1.0,-0.7009529571925579,-1.4483940906569859,-0.0,-0.9756466495235214,-0.9171078505521101,0.0
