Date,DUK,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.21564953152696886,-0.48976956191440874,-0.0,-0.4813370473537605,-0.34553051405419094,0.0
2018-09-25,1.0,-0.21650972053462939,-0.4891909680032402,-0.0,-0.48088801134062376,-0.34477521263669497,0.0
2018-09-26,1.0,-0.21525346323641345,-0.4894707464352768,-0.0,-0.48259501699903584,-0.3498503069975136,0.0
2018-09-27,1.0,-0.21509443541835907,-0.4906326157595451,-0.0,-0.482762997562957,-0.35012185215272135,0.0
2018-09-28,1.0,-0.21821882951653943,-0.4906106870229008,-0.0,-0.48424936386768447,-0.3514503816793893,0.0
2018-10-01,1.0,-0.21827333350366643,-0.49643578016811873,-0.0,-0.4860113952834768,-0.35427578630010986,0.0
2018-10-02,1.0,-0.21810278701099464,-0.4998721554589619,-0.0,-0.4852211710559959,-0.3536691383277934,0.0
2018-10-03,1.0,-0.2179250602286124,-0.49000461325542055,-0.0,-0.4915423650622789,-0.3634220103541955,0.0
2018-10-04,1.0,-0.22662612101845173,-0.4853107927017833,-0.0,-0.5040459746417896,-0.3610710236058139,0.0
2018-10-05,1.0,-0.2089072779605263,-0.476305509868421,-0.0,-0.5133120888157895,-0.37137643914473684,0.0
2018-10-08,1.0,-0.20718110562123287,-0.4782316268722353,-0.0,-0.5255710479343974,-0.3758956980624466,0.0
2018-10-09,1.0,-0.20267399077576825,-0.4790641032284811,-0.0,-0.5286832150075141,-0.3806291133336788,0.0
2018-10-10,1.0,-0.2037190510722055,-0.47811561172692424,-0.0,-0.529369108049311,-0.37869056251942396,0.0
2018-10-11,1.0,-0.14757044098929348,-0.4598817040604956,-0.0,-0.5091966358032394,-0.37907110234844893,0.0
2018-10-12,1.0,-0.1440300722128796,-0.4541250370956573,-0.0,-0.5042041744979722,-0.37068453853002276,0.0
2018-10-15,1.0,-0.1267626466817868,-0.467803964106104,-0.0,-0.5007395720343162,-0.3699339315649344,0.0
2018-10-16,1.0,-0.12432205896854354,-0.4717730006902673,-0.0,-0.4999506951977123,-0.3691697071294744,0.0
2018-10-17,1.0,-0.11076684740511232,-0.44454395817195974,-0.0,-0.49423896204492646,-0.3710786212238575,0.0
2018-10-18,1.0,-0.1106135786034128,-0.4444632699987897,-0.0,-0.49432409536487953,-0.37105167614667794,0.0
2018-10-19,1.0,-0.09577992222382255,-0.4331460943876326,-0.0,-0.49975995006961443,-0.37181333717413223,0.0
2018-10-22,1.0,-0.09647490879219117,-0.4233733600715166,-0.0,-0.5124791611297688,-0.3837734663799561,0.0
2018-10-23,1.0,-0.09743961352657006,-0.4232367149758454,-0.0,-0.5115458937198067,-0.3832125603864735,0.0
2018-10-24,1.0,-0.09585604708379564,-0.42126971875150754,-0.0,-0.5118191905060543,-0.383134738771769,0.0
2018-10-25,1.0,-0.06177523264137438,-0.3957528036268194,-0.0,-0.5561441183488428,-0.3723932235743259,0.0
2018-10-26,1.0,-0.043277211287645244,-0.3890917714014702,-0.0,-0.5701209390562011,-0.368864121413327,0.0
2018-10-29,1.0,-0.04155893445928316,-0.3888796641127215,-0.0,-0.573190691937282,-0.368456009678108,0.0
2018-10-30,1.0,-0.02045009317215347,-0.39595776195709304,-0.0,-0.580390845238664,-0.3922308758182426,0.0
2018-10-31,1.0,-0.023447491828904366,-0.3804888446781299,-0.0,-0.5772109326891195,-0.3872862488749941,0.0
2018-11-01,1.0,-0.00045173561578697104,-0.40392296718972903,-0.0,-0.5811459819305754,-0.392035187826914,0.0
2018-11-02,1.0,-0.008009858287122612,-0.37584719654959947,-0.0,-0.595620645528224,-0.3902791601497701,0.0
2018-11-05,1.0,-0.0030408134175892057,-0.3930488905782297,-0.0,-0.5993015631681475,-0.38024421532760017,0.0
2018-11-06,1.0,-0.0013326669998334165,-0.39235144332595606,-0.0,-0.6020085195497489,-0.38404607220199427,0.0
2018-11-07,1.0,-0.001428027418126428,-0.39242193450114243,-0.0,-0.6020801599390708,-0.3841393754760091,0.0
2018-11-08,1.0,-0.0,-0.3862458784738578,-0.0,-0.5878002826189355,-0.38111163447951013,0.0
2018-11-09,1.0,-0.0,-0.3866088677378316,-0.0,-0.587829241860246,-0.3814964896574471,0.0
