Date,IWF,IWM,MTUM,SPY,TLND,VLUE,VXX
2018-09-24,-0.8114357053682896,-1.169238451935081,-0.29807740324594256,-0.96,1.0,-0.7550561797752808,0.0
2018-09-25,-0.8142065591773574,-1.1663754804572455,-0.3027504617381321,-0.9574202565766485,1.0,-0.7509609144910896,0.0
2018-09-26,-0.8236122284794851,-1.1827232502011265,-0.311896621078037,-0.964300080450523,1.0,-0.7456255028157683,0.0
2018-09-27,-0.8235917625681406,-1.1949323642237029,-0.3103674540682415,-0.9684534625479508,1.0,-0.7500504744599233,0.0
2018-09-28,-0.8196671556477312,-1.2031969244777176,-0.3114977995852092,-0.9709646416106025,1.0,-0.7530982851939907,0.0
2018-10-01,-0.8217756630896942,-1.2021158129175946,-0.3112978335695485,-0.9727677667544036,1.0,-0.7538469325774448,0.0
2018-10-02,-0.8217997465145753,-1.2146007604562736,-0.3085931558935361,-0.9717617237008871,1.0,-0.7529531051964512,0.0
2018-10-03,-0.822508625938705,-1.218439212502537,-0.30962045869697585,-0.9714836614572762,1.0,-0.7520296326364928,0.0
2018-10-04,-0.8221827411167513,-1.2195939086294416,-0.3101522842639594,-0.9710152284263959,1.0,-0.7531979695431472,0.0
2018-10-05,-0.8103439567654932,-1.211273296631143,-0.29592403656750343,-0.9760088893378454,1.0,-0.7572099600989949,0.0
2018-10-08,-0.808216412637529,-1.2075300292722317,-0.28843242152013726,-0.9847077823760977,1.0,-0.7580498637327142,0.0
2018-10-09,-0.8111958773303694,-1.2091143333501744,-0.2931844591522255,-0.9835800535542869,1.0,-0.7552164906785227,0.0
2018-10-10,-0.8195860364535063,-1.24611265575121,-0.28395633817320565,-1.0070538564514468,1.0,-0.7921429306971475,0.0
2018-10-11,-0.7615315940878882,-1.2203154448963398,-0.21575240551532585,-0.9754984624541216,1.0,-0.7867771054458883,0.0
2018-10-12,-0.77787554382363,-1.2085838588258297,-0.21083247788043213,-0.9443711199100552,1.0,-0.746639292173828,0.0
2018-10-15,-0.7711636984630398,-1.2191266162478653,-0.19897535984386436,-0.9438887533544768,1.0,-0.7460356184435228,0.0
2018-10-16,-0.7680840664711633,-1.238514173998045,-0.18611925708699903,-0.9467741935483871,1.0,-0.7480938416422287,0.0
2018-10-17,-0.7460993586675602,-1.1853163587632813,-0.17181966114674072,-0.9342394945917489,1.0,-0.7485881114195463,0.0
2018-10-18,-0.7451787337895392,-1.183806287983921,-0.17246494712159643,-0.9353974254677706,1.0,-0.7484806431545198,0.0
2018-10-19,-0.7308714638314031,-1.1686918549458893,-0.1552116954623125,-0.9432789063983291,1.0,-0.7485285741408771,0.0
