Date,IWF,IWM,MTUM,SPY,UFPI,VLUE,VXX
2018-09-24,-0.30838084923390563,-0.8934157296212532,-0.04395884432835345,-0.47109228171885453,1.0,-0.4685757971522314,0.0
2018-09-25,-0.30803059273422556,-0.8941682600382409,-0.0431485022307202,-0.4717973231357552,1.0,-0.4695666029318037,0.0
2018-09-26,-0.30754999840515457,-0.8942298491276195,-0.040732353034990905,-0.4733182354629836,1.0,-0.47386048291920513,0.0
2018-09-27,-0.30925896414342635,-0.8890836653386455,-0.042167330677290844,-0.47317928286852595,1.0,-0.4735298804780877,0.0
2018-09-28,-0.3147479139358675,-0.8886153649413343,-0.041849163975830425,-0.4760062661849803,1.0,-0.475782473864254,0.0
2018-10-01,-0.3147040956613486,-0.8885762701026313,-0.04213959139303642,-0.4759727595357611,1.0,-0.4758448700322921,0.0
2018-10-02,-0.3179166396577429,-0.939035457315097,-0.029882673235236926,-0.4782524145977831,1.0,-0.4759512542944189,0.0
2018-10-03,-0.3175456783724245,-0.9323247375923286,-0.02909161591291953,-0.48059479072178307,1.0,-0.4800764545807956,0.0
2018-10-04,-0.31780484644291823,-0.9316444214072827,-0.029512764027471813,-0.48069197874821823,1.0,-0.4799468705455488,0.0
2018-10-05,-0.30258386219401634,-0.9284095324439838,-0.012304105685791995,-0.49624400984328454,1.0,-0.49838103872555367,0.0
2018-10-08,-0.3009347608112042,-0.9259954070576059,-0.007730374874664425,-0.501148235598538,1.0,-0.4986576964129767,0.0
2018-10-09,-0.2968405345789542,-0.9294796937848709,-0.0,-0.5087907097443882,1.0,-0.5086933956143765,0.0
2018-10-10,-0.2951640703762724,-0.9336889004520473,-0.0,-0.5095450258544995,1.0,-0.5137402842368858,0.0
2018-10-11,-0.22271919807131071,-0.934779850272808,-0.0,-0.4873429767795964,1.0,-0.5273442456541048,0.0
2018-10-12,-0.21823970745854612,-0.9359119853729273,-0.0,-0.4790996784565916,1.0,-0.5191349851837841,0.0
2018-10-15,-0.19659652102796388,-0.9559309238463716,-0.0,-0.474064986945991,1.0,-0.5189519046270956,0.0
2018-10-16,-0.1947790533102689,-0.9586412958012266,-0.0,-0.4734077685170624,1.0,-0.5183204906431829,0.0
2018-10-17,-0.18686254327687843,-0.9444808334113097,-0.0,-0.4692305293035151,1.0,-0.5184492062006799,0.0
2018-10-18,-0.21370116156283,-1.0195683738120382,-0.0,-0.5024089229144668,1.0,-0.5641829461457234,0.0
2018-10-19,-0.20773313115996972,-1.0240630253485843,-0.0,-0.5011042621221611,1.0,-0.5633714605926757,0.0
2018-10-22,-0.21322281034654947,-1.0502679849528946,-0.0,-0.5014814075035787,1.0,-0.564000133160225,0.0
2018-10-23,-0.21534365118988183,-1.0502246630054917,-0.0,-0.49971709103012146,1.0,-0.563022133466467,0.0
