Date,IWF,IWM,MTUM,SPY,SVC,VLUE,VXX
2018-09-24,-0.21839628560672605,-0.4835487514117204,-0.0,-0.41761827079934744,1.0,-0.3901618772744384,0.0
2018-09-25,-0.21564428769366417,-0.48787000881723136,-0.0,-0.4208842423479027,1.0,-0.3947852374354452,0.0
2018-09-26,-0.2185923309788093,-0.49119576185671043,-0.0,-0.4216952573158426,1.0,-0.39122098890010093,0.0
2018-09-27,-0.2178447862211784,-0.4939515619870193,-0.0,-0.42202692123140645,1.0,-0.39162057731646344,0.0
2018-09-28,-0.220665233337549,-0.4932844315163779,-0.0,-0.4230428734033136,1.0,-0.39241178702415586,0.0
2018-10-01,-0.22025528035253003,-0.49569467659423594,-0.0,-0.4232386162184065,1.0,-0.3933292812642456,0.0
2018-10-02,-0.2191725222597093,-0.5049339184698511,-0.0,-0.4212982927881079,1.0,-0.3912889069277796,0.0
2018-10-03,-0.21960814171869447,-0.506725546926552,-0.0,-0.4210192376021522,1.0,-0.3905893101873002,0.0
2018-10-04,-0.2215739002486174,-0.5034502004160536,-0.0,-0.42330914810492676,1.0,-0.38857882185803444,0.0
2018-10-05,-0.22615165103954343,-0.5112362413371382,-0.0,-0.4237158581328985,1.0,-0.38679677945373014,0.0
2018-10-08,-0.22442697601058284,-0.5091200488437763,-0.0,-0.4245083823043069,1.0,-0.3858912717189448,0.0
2018-10-09,-0.21560527531174628,-0.5148817160158055,-0.0,-0.4350592702827526,1.0,-0.40026684456304207,0.0
2018-10-10,-0.2148119625208574,-0.5157489410858683,-0.0,-0.4350147606212296,1.0,-0.401463226800154,0.0
2018-10-11,-0.17286394387371584,-0.5071911801553495,-0.0,-0.42044600350789274,1.0,-0.4051365572538211,0.0
2018-10-12,-0.16809837461494154,-0.5088782589095645,-0.0,-0.42172355931778915,1.0,-0.40572015327205796,0.0
2018-10-15,-0.14468383254510422,-0.532267347296249,-0.0,-0.41811175337186895,1.0,-0.4072767309761529,0.0
2018-10-16,-0.14174174174174176,-0.5370870870870871,-0.0,-0.41726726726726726,1.0,-0.40640640640640635,0.0
2018-10-17,-0.13184855233853007,-0.5188814649839149,-0.0,-0.41440237564959165,1.0,-0.40952734471665425,0.0
2018-10-18,-0.13191436703378295,-0.5193664150476426,-0.0,-0.4141071649548323,1.0,-0.4095532731097636,0.0
2018-10-19,-0.12301333464547558,-0.5138266988141514,-0.0,-0.414653348422969,1.0,-0.40879791369384444,0.0
2018-10-22,-0.12292056304754405,-0.5063982675460182,-0.0,-0.41888965449355253,1.0,-0.4126636479968501,0.0
2018-10-23,-0.12175004924167815,-0.5067214890683474,-0.0,-0.42017923970848925,1.0,-0.4134577506401418,0.0
2018-10-24,-0.12028725314183124,-0.5040702392956395,-0.0,-0.42047662379183987,1.0,-0.4145249747915693,0.0
2018-10-25,-0.09801334037141897,-0.4764863957003695,-0.0,-0.42816353951725133,1.0,-0.3966841019242766,0.0
2018-10-26,-0.09306765302469873,-0.47139959432048684,-0.0,-0.42877938193532994,1.0,-0.3931273117766376,0.0
2018-10-29,-0.0801729873586161,-0.4764280961885753,-0.0,-0.42322497861420016,1.0,-0.39639768082881854,0.0
2018-10-30,-0.0752821000118779,-0.4764698895355743,-0.0,-0.4234469651977669,1.0,-0.4004038484380568,0.0
2018-10-31,-0.07967110859087043,-0.4616057083451469,-0.0,-0.4235421982799357,1.0,-0.3979066250826954,0.0
2018-11-01,-0.06352618772000283,-0.4754896170474143,-0.0,-0.424153653523589,1.0,-0.3992770913558081,0.0
2018-11-02,-0.06584149096385543,-0.46366716867469876,-0.0,-0.4268872364457831,1.0,-0.3967902861445783,0.0
2018-11-05,-0.06572073979951998,-0.4639747752835427,-0.0,-0.4268906772083392,1.0,-0.39648924655277895,0.0
2018-11-06,-0.06392952205968953,-0.462770593362071,-0.0,-0.4291805055002002,1.0,-0.3996655124490613,0.0
