Date,IWF,IWM,MTUM,SPY,TPVG,VLUE,VXX
2018-09-24,-0.19317500953210962,-0.6108448172558418,-0.0,-0.45775913720790895,1.0,-0.4616809194400566,0.0
2018-09-25,-0.20486320521958443,-0.614644443226054,-0.0,-0.461045013432754,1.0,-0.46082570316355065,0.0
2018-09-26,-0.20541148089259278,-0.615165305115412,-0.0,-0.46099018586545315,1.0,-0.4597565656011843,0.0
2018-09-27,-0.20736216482703843,-0.6108296129933445,-0.0,-0.46109391690175566,1.0,-0.4596422995809482,0.0
2018-09-28,-0.20996763398979648,-0.6103187229140381,-0.0,-0.4621482253552032,1.0,-0.46044763837840796,0.0
2018-10-01,-0.209782340186095,-0.6117530809979963,-0.0,-0.46221831855735185,1.0,-0.46101062223808087,0.0
2018-10-02,-0.21044108363297012,-0.6101336700244284,-0.0,-0.46268492849888837,1.0,-0.46150467982323723,0.0
2018-10-03,-0.21084568918176824,-0.6112575507962658,-0.0,-0.46254805052169135,1.0,-0.4610928061504667,0.0
2018-10-04,-0.21529628306914644,-0.6057251174418284,-0.0,-0.4683662536743496,1.0,-0.45778962116425376,0.0
2018-10-05,-0.2122742493275512,-0.6069330844815283,-0.0,-0.4682165010704287,1.0,-0.45726519185376296,0.0
2018-10-08,-0.21000876520214748,-0.6041141667579708,-0.0,-0.468965706146598,1.0,-0.45603703297907305,0.0
2018-10-09,-0.21823933975240714,-0.609050894085282,-0.0,-0.46987620357634113,1.0,-0.45386519944979364,0.0
2018-10-10,-0.22495509188890425,-0.6110543042697251,-0.0,-0.47652342130717146,1.0,-0.45107088572612963,0.0
2018-10-11,-0.17577349991956673,-0.5978872861815647,-0.0,-0.45597619175290904,1.0,-0.4514719287897475,0.0
2018-10-12,-0.1772704425808841,-0.5909896563582974,-0.0,-0.4416814369990212,1.0,-0.43551757890002907,0.0
2018-10-15,-0.1642527371059227,-0.6008969792903311,-0.0,-0.43830629204590427,1.0,-0.4347183748845799,0.0
2018-10-16,-0.15730277608701407,-0.6163760023288433,-0.0,-0.4382724217323418,1.0,-0.43446158731838996,0.0
2018-10-17,-0.1413431242350858,-0.5870114313985887,-0.0,-0.4346275030596568,1.0,-0.44098117334583237,0.0
2018-10-18,-0.14151017112494466,-0.5878154871981871,-0.0,-0.43421977964733155,1.0,-0.44106998671632847,0.0
