Date,IWF,IWM,MTUM,SPY,TRNE,VLUE,VXX
2020-01-02,-0.012188268791288384,-0.010702199133334166,-0.09645715998351587,-0.12945040398616334,1.0,-0.0,0.0
2020-01-03,-0.010600309643909504,-0.011611646606402636,-0.09758777405983118,-0.12876442091594667,1.0,-0.0,0.0
2020-01-06,-0.008042928821324966,-0.01197724075249941,-0.09924177342845404,-0.12577347825545637,1.0,-0.0,0.0
2020-01-07,-0.0052191676735466675,-0.013166253534460208,-0.10166789153099737,-0.1255714303508925,1.0,-0.0,0.0
2020-01-08,-0.005694704049844237,-0.012348909657320873,-0.10204361370716511,-0.12444859813084112,1.0,-0.0015700934579439252,0.0
2020-01-09,-0.0017323246800184447,-0.012973740948915116,-0.10366529991649946,-0.12407931305225638,1.0,-0.0038260696170191546,0.0
2020-01-10,-0.0028858406416310623,-0.011705769182719936,-0.10561427179371863,-0.12650226119981012,1.0,-0.0025735202258701253,0.0
2020-01-13,-0.00296076055317501,-0.01170562294651892,-0.10620010743688084,-0.12603845240920958,1.0,-0.002348620185640936,0.0
2020-01-14,-0.0023220973782771535,-0.011161048689138576,-0.10540574282147316,-0.1258302122347066,1.0,-0.0037078651685393256,0.0
2020-01-15,-0.004573742220889255,-0.009834795431256404,-0.1053460298417935,-0.12747744370298167,1.0,-0.002411836744895154,0.0
2020-01-16,-0.004202994633676495,-0.01155823524261036,-0.10751410379895676,-0.1272906946199167,1.0,-0.00031272281500569155,0.0
2020-01-17,-0.004060774170977334,-0.009046155383961816,-0.10740435314991127,-0.1273458780018492,1.0,-0.0015993202888772273,0.0
2020-01-21,-0.003997901101921491,-0.009782364258764149,-0.10690637415356936,-0.1271582419229904,1.0,-0.001499212913220559,0.0
2020-01-22,-0.004122784003598066,-0.010706745124495584,-0.10549329735267295,-0.1276563846932274,1.0,-0.0013492747648139126,0.0
2020-01-23,-0.004172444377818586,-0.01083086609451711,-0.10533548201726443,-0.12784669389998626,1.0,-0.0010493572686729377,0.0
2020-01-24,-0.004273237289618033,-0.010720577761673311,-0.10548148888583458,-0.12785975784988693,1.0,-0.001149525820599003,0.0
2020-01-27,-0.004357815348500362,-0.011462677621556828,-0.10343880328646704,-0.1293983967235222,1.0,-0.0,0.0
2020-01-28,-0.0,-0.012958641576882974,-0.10596544362246164,-0.12233752048061168,1.0,-0.0,0.0
2020-01-29,-0.0,-0.012787406267070566,-0.10588717286586881,-0.12282117495158168,1.0,-0.0,0.0
2020-01-30,-0.000682678582511016,-0.011928256687147025,-0.10500837832805808,-0.12361447278594924,1.0,-0.0,0.0
2020-01-31,-0.0016010922179471266,-0.012237805634851683,-0.10395929005833437,-0.12334615861983368,1.0,-0.0,0.0
2020-02-03,-0.0023659014454179145,-0.00963611942873338,-0.10019346173277635,-0.12005717595159761,1.0,-0.0,0.0
2020-02-04,-0.0,-0.007961313186001871,-0.09928877294876212,-0.12323423733818971,1.0,-0.0,0.0
2020-02-05,-0.0,-0.007872175549514755,-0.09920171219818202,-0.12295354186398356,1.0,-0.0,0.0
2020-02-06,-0.0,-0.007588522513436728,-0.10008978316750095,-0.1222280984417086,1.0,-0.0,0.0
2020-02-07,-0.0,-0.009434310385121589,-0.09937391603832765,-0.1212192031882311,1.0,-0.0,0.0
2020-02-10,-0.0,-0.009121081745543946,-0.09901659496004916,-0.12111862323294408,1.0,-0.0,0.0
2020-02-11,-0.0,-0.009433962264150943,-0.09784050707547169,-0.12111831761006288,1.0,-0.0,0.0
2020-02-12,-0.0,-0.012041079884385953,-0.09784146116475001,-0.1200418178463809,1.0,-0.0,0.0
2020-02-13,-0.0,-0.011827626483063871,-0.09830946087170345,-0.1193582098727485,1.0,-0.0,0.0
2020-02-14,-0.0,-0.011441563229691533,-0.09738232763917906,-0.12013026914096105,1.0,-0.0,0.0
2020-02-18,-0.0,-0.010857803354483301,-0.09861787418228321,-0.1201859229747676,1.0,-0.0,0.0
2020-02-19,-0.0,-0.010754802787644882,-0.09844024631571184,-0.11991297828144395,1.0,-0.0,0.0
2020-02-20,-0.0,-0.010718587899795953,-0.09883963910809547,-0.11964992501905253,1.0,-0.0,0.0
2020-02-21,-0.0,-0.011074686606013727,-0.09807604945547412,-0.11864157059191865,1.0,-0.0,0.0
2020-02-24,-0.0,-0.010328936914031462,-0.09608967228544536,-0.11594078891075554,1.0,-0.0,0.0
2020-02-25,-0.0,-0.018914423017682213,-0.11140410325919538,-0.10189144230176822,1.0,-0.0,0.0
2020-02-26,-0.0,-0.013944368667186282,-0.10631819953234607,-0.09758622369446611,1.0,-0.0,0.0
2020-02-27,-0.0,-0.013226321109744364,-0.10607850540135673,-0.09858846167898769,1.0,-0.0,0.0
2020-02-28,-0.0,-0.02350661386805965,-0.09817892950423072,-0.0819301180746964,1.0,-0.0,0.0
2020-03-02,-0.0,-0.029666537978959562,-0.10125711803879936,-0.07552359810829071,1.0,-0.0,0.0
2020-03-03,-0.0,-0.03811340426036063,-0.08288510295476624,-0.06375139208113166,1.0,-0.0,0.0
2020-03-04,-0.0,-0.03929904726013684,-0.08341478925488441,-0.05496213771742843,1.0,-0.0,0.0
2020-03-05,-0.0,-0.044510593591315005,-0.07489639876262183,-0.04794256697601121,1.0,-0.0,0.0
2020-03-06,-0.0,-0.04346265615412223,-0.07709585171291954,-0.037210702418579884,1.0,-0.0,0.0
