Date,IWF,IWM,MTUM,PETS,SPY,VLUE,VXX
2018-09-24,-0.8447366896471814,-1.5389606627657724,-0.1436185620763571,1.0,-1.1731070042291871,-1.0929841839986094,0.0
2018-09-25,-0.8449374420759963,-1.5382298424467102,-0.1443466172381835,1.0,-1.172555607043559,-1.0923308619091752,0.0
2018-09-26,-0.8447186974911641,-1.5383278289588043,-0.14305579697549106,1.0,-1.1734167680630396,-1.094559360333739,0.0
2018-09-27,-0.8460425827354779,-1.5299120573941218,-0.14504744272159223,1.0,-1.1717773663503819,-1.092860448970146,0.0
2018-09-28,-0.8429704231058632,-1.5333680615847658,-0.14620593853099498,1.0,-1.1720206054291833,-1.0934768767725878,0.0
2018-10-01,-0.8606341206118502,-1.5491414171013305,-0.14604700228564732,1.0,-1.1945730528043135,-1.1102385278087088,0.0
2018-10-02,-0.8607839690631044,-1.5452627878361753,-0.14812210699009787,1.0,-1.1945274506357297,-1.110564246792055,0.0
2018-10-03,-0.8616665689321527,-1.5489356711429074,-0.14947516566000119,1.0,-1.1943353075705154,-1.1096581246701462,0.0
2018-10-04,-0.8826904874585898,-1.5454921911973496,-0.15227165168007573,1.0,-1.22479886417416,-1.1105063890203501,0.0
2018-10-05,-0.8609279391671122,-1.5457731836273985,-0.11833897700944573,1.0,-1.2632923424226221,-1.1524386621517257,0.0
2018-10-08,-0.8575829383886255,-1.5398696682464454,-0.1148696682464455,1.0,-1.2626184834123222,-1.149170616113744,0.0
2018-10-09,-0.8555259259259259,-1.5412740740740738,-0.10856296296296296,1.0,-1.2663703703703704,-1.1541333333333332,0.0
2018-10-10,-0.8574644549763033,-1.539218009478673,-0.11054502369668245,1.0,-1.2674170616113742,-1.149585308056872,0.0
2018-10-11,-0.7610538894895579,-1.5227337392590907,-0.0,1.0,-1.2371820406305127,-1.1695783303932168,0.0
2018-10-12,-0.7771913077657364,-1.5122690774327587,-0.0,1.0,-1.2005727441181426,-1.1250491324611152,0.0
2018-10-15,-0.709853177334251,-1.6421771048405598,-0.0,1.0,-1.220348703831154,-1.1628240422115166,0.0
2018-10-16,-0.7005633478960681,-1.66452057944355,-0.0,1.0,-1.220452977696022,-1.1629110140262129,0.0
2018-10-17,-0.65625,-1.5814852150537633,-0.0,1.0,-1.1985887096774193,-1.1640344982078854,0.0
2018-10-18,-0.6552245492216374,-1.5795721805353344,-0.0,1.0,-1.2006383693582707,-1.1642961137865382,0.0
2018-10-19,-0.622327394209354,-1.5619710467706012,-0.0,1.0,-1.2129175946547883,-1.1706570155902003,0.0
2018-10-22,-0.62437991193356,-1.566690819909704,-0.0,1.0,-1.2123627445515859,-1.1704475781729002,0.0
2018-10-23,-0.7016176644231904,-1.6749911441728658,-0.0,1.0,-1.280080292832684,-1.2471366158932577,0.0
2018-10-24,-0.7080771297235986,-1.704913139514059,-0.0,1.0,-1.2967584024834338,-1.2601038743955584,0.0
2018-10-25,-0.6320196755870469,-1.6375827135913803,-0.0,1.0,-1.3625929612929673,-1.223634127774199,0.0
2018-10-26,-0.5989891447935214,-1.5978404456952502,-0.0,1.0,-1.3525357532594338,-1.1941301476078343,0.0
2018-10-29,-0.584519522094552,-1.5975533070371004,-0.0,1.0,-1.3437946607214315,-1.1907048533699194,0.0
2018-10-30,-0.5577837621039363,-1.6034492637368933,-0.0,1.0,-1.3500830802727326,-1.2183578754368878,0.0
2018-10-31,-0.571510101586577,-1.563006506106609,-0.0,1.0,-1.3566944412738273,-1.2158429403036184,0.0
2018-11-01,-0.5324037032803749,-1.6005829237627156,-0.0,1.0,-1.3602125957252258,-1.221739627385987,0.0
