Date,ATRI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5760472308124824,-1.2852591134851465,-0.031768344110205224,-0.9498172617374192,-0.8427513822509605,0.0
2018-09-25,1.0,-0.580037488284911,-1.2826616682286787,-0.03767572633552015,-0.9474226804123711,-0.8382849109653233,0.0
2018-09-26,1.0,-0.5868582195007066,-1.2940650023551576,-0.04465379180405088,-0.9517192651907679,-0.8330664154498352,0.0
2018-09-27,1.0,-0.6084239648921962,-1.2896393817973668,-0.051946193474527766,-0.9708547987025377,-0.8492177065445525,0.0
2018-09-28,1.0,-0.6051446637286837,-1.3017340486683273,-0.05331481126652615,-0.9757137382640353,-0.8542824295842115,0.0
2018-10-01,1.0,-0.6048317515099223,-1.3035662927811333,-0.05402166618732624,-0.9758412424503883,-0.855143322787844,0.0
2018-10-02,1.0,-0.6058959315187072,-1.3227373280754064,-0.05020679042031355,-0.9756179667211695,-0.854573434644609,0.0
2018-10-03,1.0,-0.6049963968292096,-1.3138121546961326,-0.049483545520057653,-0.9773240451597406,-0.8586115781888061,0.0
2018-10-04,1.0,-0.6125913813005003,-1.3049249711427473,-0.05078876490958061,-0.9875913813005002,-0.8536456329357446,0.0
2018-10-05,1.0,-0.593346098611776,-1.29573958831977,-0.028865485878410722,-1.000813786500718,-0.8682623264719962,0.0
2018-10-08,1.0,-0.5932040698790555,-1.2967460165098867,-0.01938951814167787,-1.0162699174505663,-0.8737281627951622,0.0
2018-10-09,1.0,-0.5908020568023451,-1.2998221923206306,-0.010716516891729541,-1.022586380892883,-0.8816858090249411,0.0
2018-10-10,1.0,-0.592007301023104,-1.2980930880445747,-0.012056294730774774,-1.0231519285268265,-0.8780440943369038,0.0
2018-10-11,1.0,-0.47253612449055205,-1.2821415339014448,-0.0,-0.9849018154872174,-0.8917654686921082,0.0
2018-10-12,1.0,-0.507486282897796,-1.3041941783688273,-0.0,-0.9711243373942156,-0.8671068539012369,0.0
2018-10-15,1.0,-0.45333833810350493,-1.3816919251161266,-0.0,-0.9742410735232018,-0.8826068596631165,0.0
2018-10-16,1.0,-0.45032833020637897,-1.3858348968105065,-0.0,-0.9729362101313321,-0.8813789868667917,0.0
2018-10-17,1.0,-0.4123428571428572,-1.3143314285714285,-0.0,-0.9574857142857143,-0.8872228571428572,0.0
2018-10-18,1.0,-0.41129401005944216,-1.3124371284865113,-0.0,-0.9607224508459076,-0.8880201188843163,0.0
2018-10-19,1.0,-0.3837424838374248,-1.291966182919662,-0.0,-0.9614810796148108,-0.883810298838103,0.0
2018-10-22,1.0,-0.38368730230456394,-1.2810664256665159,-0.0,-0.9659286037053774,-0.8880253050158157,0.0
2018-10-23,1.0,-0.38208550101786926,-1.2825152680389051,-0.0,-0.968966297217824,-0.8902510744175526,0.0
2018-10-24,1.0,-0.3797021411434521,-1.277443302702458,-0.0,-0.9730206871576661,-0.8966094789733375,0.0
2018-10-25,1.0,-0.31830985915492954,-1.1953196099674972,-0.0,-0.9805417118093174,-0.8394799566630552,0.0
2018-10-26,1.0,-0.2928419258628036,-1.1685129953131657,-0.0,-0.9791222837665104,-0.8203238176395399,0.0
2018-10-29,1.0,-0.265612447676631,-1.17559511225741,-0.0,-0.9646103758826265,-0.8222908122278128,0.0
2018-10-30,1.0,-0.256000676132522,-1.1753296146044625,-0.0,-0.9646720757268425,-0.8298258958755916,0.0
