Date,IWF,IWM,MTUM,PACK,SPY,VLUE,VXX
2018-11-09,-0.0,-0.050719330986747295,-0.0,1.0,-0.08343766979282322,-0.047010465143748084,0.0
2018-11-12,-0.0,-0.047647100407663116,-0.0,1.0,-0.08473737540353936,-0.04584442821123076,0.0
2018-11-13,-0.0,-0.04539656161129121,-0.0,1.0,-0.08210937774292837,-0.04279845986400927,0.0
2018-11-14,-0.0,-0.04534709544539625,-0.0,1.0,-0.08213968075644808,-0.042749145719234195,0.0
2018-11-15,-0.0,-0.04534458377645587,-0.0,1.0,-0.08260193766288405,-0.04071663141164234,0.0
2018-11-16,-0.0,-0.04365848532262208,-0.0,1.0,-0.08186403867261391,-0.04212886200695921,0.0
2018-11-19,-0.0,-0.043630588125379545,-0.0,1.0,-0.08170224692857475,-0.04250945952258607,0.0
2018-11-20,-0.0,-0.040225074404761904,-0.0,1.0,-0.07785760788690477,-0.04450334821428571,0.0
2018-11-21,-0.0,-0.03967630057803469,-0.0,1.0,-0.07820809248554914,-0.038184971098265894,0.0
2018-11-23,-0.0,-0.04113550655900794,-0.0,1.0,-0.07749346412789486,-0.03817412026004673,0.0
2018-11-26,-0.0,-0.04164498259491841,-0.0,1.0,-0.07704495252633892,-0.0377823266141623,0.0
2018-11-27,-0.0,-0.04211752762845212,-0.0,1.0,-0.07508709595551762,-0.036384191218881944,0.0
2018-11-28,-0.0,-0.04235899566140497,-0.0,1.0,-0.07507154066278963,-0.036462660389550455,0.0
2018-11-29,-0.0,-0.03998758649226455,-0.0,1.0,-0.07207880278614284,-0.03733247511551459,0.0
2018-11-30,-0.0,-0.03995174077904171,-0.0,1.0,-0.07212455475123522,-0.036952774905205106,0.0
2018-12-03,-0.0,-0.03998620372499425,-0.0,1.0,-0.07246493446769373,-0.03723844561968269,0.0
2018-12-04,-0.0,-0.0404307098907154,-0.0,1.0,-0.07088575626779318,-0.03664248323996694,0.0
2018-12-06,-0.0,-0.03197174272204182,-0.0,1.0,-0.0741525665128468,-0.03328206004671566,0.0
2018-12-07,-0.0,-0.03171509971509972,-0.0,1.0,-0.07331054131054131,-0.03458689458689459,0.0
2018-12-10,-0.0,-0.0323631550965465,-0.0,1.0,-0.07080076467993168,-0.028019411105957945,0.0
2018-12-11,-0.0,-0.03213137760876454,-0.0,1.0,-0.07599936620037123,-0.02364298972339173,0.0
2018-12-12,-0.0,-0.0321693361254174,-0.0,1.0,-0.07600882902258192,-0.02374780689342917,0.0
2018-12-13,-0.0,-0.0316673457376975,-0.0,1.0,-0.07674634433428403,-0.023371361311059807,0.0
2018-12-14,-0.0,-0.0,-0.0,1.0,-0.13380101447252082,-0.029573270045139377,0.0
2018-12-17,-0.0,-0.0,-0.0,1.0,-0.12641599128085615,-0.03304462763922224,0.0
2018-12-18,-0.0,-0.0,-0.0,1.0,-0.12439013110736005,-0.03177098989525285,0.0
2018-12-19,-0.0,-0.0,-0.0,1.0,-0.12434382443401244,-0.03191267950882224,0.0
2018-12-20,-0.0,-0.0,-0.0,1.0,-0.12438322605992674,-0.031165139416910296,0.0
2018-12-21,-0.0,-0.0,-0.0,1.0,-0.12490928150955567,-0.02707154952941583,0.0
