Date,ABT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.29210374059819383,-0.3015118355847357,-0.19022463713430435,-0.4064850451538249,-0.3252081603904108,0.0
2018-09-25,1.0,-0.30682282098387426,-0.30855786895284754,-0.20208205756276792,-0.410517452541335,-0.3235354153908961,0.0
2018-09-26,1.0,-0.30852340936374545,-0.31105208040663074,-0.20512886005466016,-0.4103088043728129,-0.3192000204337054,0.0
2018-09-27,1.0,-0.31226689827824045,-0.303785827415317,-0.20737750983497677,-0.41130639145762016,-0.3198027895570429,0.0
2018-09-28,1.0,-0.3116538088182701,-0.30434782608695654,-0.2075563275941348,-0.411178664486793,-0.3198283349512083,0.0
2018-10-01,1.0,-0.3113422081406342,-0.30505659605999436,-0.20770626261593889,-0.411017707029154,-0.3200296394715998,0.0
2018-10-02,1.0,-0.31272364788876394,-0.29365606788671916,-0.21173704120233106,-0.4142214497495144,-0.3236632246191596,0.0
2018-10-03,1.0,-0.31272364788876394,-0.2934004702995604,-0.21176260096104693,-0.41427256926694617,-0.3238421429301708,0.0
2018-10-04,1.0,-0.32424289245982696,-0.28726308199423156,-0.2117583436341162,-0.43134528224145036,-0.3205861145447054,0.0
2018-10-05,1.0,-0.3170875680114978,-0.28064367108099786,-0.20536905861821167,-0.437070116004517,-0.32630120110871574,0.0
2018-10-08,1.0,-0.3161442448163621,-0.2786221390675859,-0.20357792757003357,-0.4387574646948766,-0.32588358920470567,0.0
2018-10-09,1.0,-0.3158380317785751,-0.27860071758072785,-0.2027678113787801,-0.43921066119938496,-0.3263967196309585,0.0
2018-10-10,1.0,-0.3159175933992723,-0.278276021114129,-0.20286475682878083,-0.4393225029467534,-0.3260134269461385,0.0
2018-10-11,1.0,-0.3013401307321505,-0.27120611765893543,-0.1845140448729273,-0.4371955682305731,-0.32950559018751735,0.0
2018-10-12,1.0,-0.30785960701964904,-0.263936803159842,-0.18509074546272686,-0.4272036398180091,-0.3157842107894605,0.0
2018-10-15,1.0,-0.30533150206018234,-0.26694968160819077,-0.18144587339243354,-0.42749406917218136,-0.31594456236733676,0.0
2018-10-16,1.0,-0.3057768675541347,-0.2655660730787482,-0.18262194360498513,-0.4275081795249631,-0.31609181048477736,0.0
2018-10-17,1.0,-0.30391595508974584,-0.2605491797157012,-0.18115960068709702,-0.4271453110607683,-0.31671189225522167,0.0
2018-10-18,1.0,-0.3056365766709047,-0.26385461072470273,-0.1795677211876449,-0.42634557375414456,-0.3175529130207165,0.0
2018-10-19,1.0,-0.3075290298414284,-0.26560119865151705,-0.1785241603196404,-0.42804345111749287,-0.31746784867024597,0.0
2018-10-22,1.0,-0.3071196602548089,-0.2671996002997752,-0.18008993255058706,-0.426929802648014,-0.31678740944291783,0.0
2018-10-23,1.0,-0.31079593776577114,-0.26784731602381306,-0.18682775526539597,-0.42165691130121563,-0.31427285006753714,0.0
2018-10-24,1.0,-0.3119798045439776,-0.2648903996600765,-0.18285885675722963,-0.42342972831113,-0.31627883726161615,0.0
2018-10-25,1.0,-0.29836869863853793,-0.24221758861768672,-0.18182264197228015,-0.4287501533177971,-0.3019502023794922,0.0
2018-10-26,1.0,-0.2919967821359791,-0.23792691548231393,-0.17200945857000072,-0.4360449525852612,-0.2997976646108091,0.0
