Date,IWF,IWM,MKTX,MTUM,SPY,VLUE,VXX
2018-09-24,-0.34097189270661793,-0.618025511485751,1.0,-0.06573254807826501,-0.4280849638540766,-0.33837608507550176,0.0
2018-09-25,-0.34646594661145,-0.6174939839946276,1.0,-0.07202417594717109,-0.4271643628630589,-0.3349935642733225,0.0
2018-09-26,-0.3463698130158908,-0.619040934359032,1.0,-0.06783087203099557,-0.43098994890224046,-0.3433376382727834,0.0
2018-09-27,-0.3459451862262825,-0.622037947997189,1.0,-0.06726633872101194,-0.4316514406184118,-0.3440899508081518,0.0
2018-09-28,-0.34374033133631476,-0.624588642308666,1.0,-0.0678142491491576,-0.43194667116699015,-0.3446403960284645,0.0
2018-10-01,-0.3436849507735584,-0.6246132208157524,1.0,-0.0679887482419128,-0.43189873417721525,-0.3447257383966245,0.0
2018-10-02,-0.34519380945619765,-0.6579298594348999,1.0,-0.05949169388044867,-0.43274172937668604,-0.3443418997586256,0.0
2018-10-03,-0.3496322684440359,-0.646747874051942,1.0,-0.05458515283842794,-0.45236727189151915,-0.3695702137439669,0.0
2018-10-04,-0.3489094763744082,-0.6655533935468881,1.0,-0.0536694450091482,-0.4533151337379839,-0.38277234048732317,0.0
2018-10-05,-0.3388162858781275,-0.6914556484471674,1.0,-0.02106661032807171,-0.517882473666737,-0.44891799716294933,0.0
2018-10-08,-0.3377527345044746,-0.689577244101606,1.0,-0.019616114743724954,-0.5182752282520263,-0.4480067496308796,0.0
2018-10-09,-0.34331790263532114,-0.6932316722640767,1.0,-0.02795679404556594,-0.5170494084899094,-0.4440712837735621,0.0
2018-10-10,-0.34808474473380685,-0.6938323316942876,1.0,-0.031293632003885144,-0.5218235901171614,-0.440205184240879,0.0
2018-10-11,-0.29730047638652,-0.6871140386990532,1.0,-0.0,-0.5058225019114274,-0.45042051402693645,0.0
2018-10-12,-0.3024630541871921,-0.6789046653144016,1.0,-0.0,-0.4874529121993625,-0.4289191538684439,0.0
2018-10-15,-0.2949715177977619,-0.6840065928346297,1.0,-0.0,-0.48506491628834975,-0.42755110892635106,0.0
2018-10-16,-0.2881739130434783,-0.6984927536231884,1.0,-0.0,-0.48478260869565226,-0.4271304347826087,0.0
2018-10-17,-0.27421240199572344,-0.6703349964362081,1.0,-0.0,-0.477975766215253,-0.42851033499643615,0.0
2018-10-18,-0.2733171359153923,-0.6693154208946692,1.0,-0.0,-0.48449335429469775,-0.43124196084036015,0.0
2018-10-19,-0.2606256375382523,-0.6589028675053836,1.0,-0.0,-0.48501076731270537,-0.42899240621103935,0.0
2018-10-22,-0.26073113877991927,-0.6476490988686111,1.0,-0.0,-0.4955654101995566,-0.438740121666951,0.0
2018-10-23,-0.2604690831556503,-0.64773276474769,1.0,-0.0,-0.4958351101634684,-0.4389196872778962,0.0
