Date,IWF,IWM,MTUM,SPY,VEGI,VLUE,VXX
2018-09-24,-0.16083961528463736,-0.29839268694220605,-0.06992461658435145,-0.31301447014990036,1.0,-0.32401871588250586,0.0
2018-09-25,-0.16016217856987988,-0.29972681149993496,-0.06842721477819695,-0.31421013832878014,1.0,-0.3256363557521356,0.0
2018-09-26,-0.16048740297471922,-0.3001387624127314,-0.06925111660378995,-0.31397164043189796,1.0,-0.32431377650578896,0.0
2018-09-27,-0.16188866497648918,-0.2965178010357754,-0.07029404754165854,-0.3139829682116622,1.0,-0.3242107087910897,0.0
2018-09-28,-0.16025752189369633,-0.29836122431284146,-0.07064510534986561,-0.31405531951790516,1.0,-0.324395213734501,0.0
2018-10-01,-0.15996617226125423,-0.2991152745251106,-0.07084309133489461,-0.3139257524503426,1.0,-0.3245728163760951,0.0
2018-10-02,-0.16027322996855686,-0.29717011818280387,-0.07169033936896888,-0.3143228884310962,1.0,-0.32501355307383717,0.0
2018-10-03,-0.16032207656914663,-0.2890224845906763,-0.0701015713169546,-0.31884278149144896,1.0,-0.33206007465925863,0.0
2018-10-04,-0.15989053948397186,-0.29063504473981405,-0.07012857266962036,-0.3181522022413344,1.0,-0.333050994700721,0.0
2018-10-05,-0.15851225330730861,-0.29002385599653,-0.068358273693342,-0.31843417913684663,1.0,-0.3333983951420516,0.0
2018-10-08,-0.15770322077584525,-0.28854859321189547,-0.06699300396369859,-0.31956507613333623,1.0,-0.33314561718902297,0.0
2018-10-09,-0.15642264445262907,-0.2890135840717551,-0.06360898671924085,-0.3215763589488052,1.0,-0.3358970470351193,0.0
2018-10-10,-0.15578641450507505,-0.29064370608137413,-0.062223475318816696,-0.32185304068708254,1.0,-0.3383143922963477,0.0
2018-10-11,-0.13964502090622066,-0.28652188753306596,-0.04349773871490741,-0.31871320078504994,1.0,-0.34488864237562933,0.0
2018-10-12,-0.1386222712987344,-0.28408222203346645,-0.04145077720207253,-0.31657181686910724,1.0,-0.3427758430306634,0.0
2018-10-15,-0.13282028450889355,-0.2923530284720897,-0.03379338124615743,-0.31673344781530244,1.0,-0.3443575229493947,0.0
2018-10-16,-0.1311120543293718,-0.3012733446519525,-0.027440577249575552,-0.3176782682512733,1.0,-0.3447368421052632,0.0
2018-10-17,-0.1288658704153895,-0.29626889335165413,-0.025705527956875595,-0.31723919247436844,1.0,-0.3458830990381566,0.0
2018-10-18,-0.13025992718652102,-0.29897976462619585,-0.024341715350097364,-0.316505799678266,1.0,-0.3465625264583862,0.0
2018-10-19,-0.12789003610565655,-0.297354363294694,-0.021853423703046812,-0.31718080277021177,1.0,-0.3471632778024113,0.0
2018-10-22,-0.1318244315177155,-0.2907244843997885,-0.011824431517715495,-0.32617662612374404,1.0,-0.35471179270227393,0.0
2018-10-23,-0.13249164657615362,-0.2904242270439454,-0.013492365605041662,-0.32459924713445837,1.0,-0.35378336082561435,0.0
