Date,IMVT,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-02-19,1.0,-0.7828379238251069,-0.8381965275884011,-2.8991000818107446,-2.699300063630579,-0.8707390237251159,0.0
2020-02-20,1.0,-0.7708371163973126,-0.8365716360995097,-2.906301071363719,-2.6955692754675864,-0.8699836571636099,0.0
2020-02-21,1.0,-0.7714649913502686,-0.8325594099972685,-2.9186014750068288,-2.710916871528726,-0.8714376764089957,0.0
2020-02-24,1.0,-0.6696141479099678,-0.814844587352626,-2.903358342265095,-2.691229010360843,-0.8527152554483743,0.0
2020-02-25,1.0,-0.5864793678665495,-0.841008859446085,-2.660068640753452,-2.1808604038630373,-0.7131455024343523,0.0
2020-02-26,1.0,-0.5655897821187078,-0.7059353869271225,-2.5631104432757326,-2.116078136739294,-0.5623591284748309,0.0
2020-02-27,1.0,-0.6095715997603356,-0.6803475134811264,-2.533927501497903,-2.125374475733972,-0.5403684841222289,0.0
2020-02-28,1.0,-0.5041678643288301,-0.946464501293475,-2.385168151767749,-1.8530468525438342,-0.4971256108077034,0.0
2020-03-02,1.0,-0.6053166763509588,-0.8503776873910518,-2.3736199883788496,-1.9211214410226614,-0.5127832655432888,0.0
2020-03-03,1.0,-0.5129761136216914,-0.9579728857327307,-1.913557133634603,-1.6478373143963845,-0.4234344738540994,0.0
2020-03-04,1.0,-0.36128291780909266,-1.0888860549639738,-2.056494293183702,-1.5815213925907032,-0.2881464005611171,0.0
2020-03-05,1.0,-0.3279373368146214,-1.1650710762982304,-1.7350159559036844,-1.374528575572962,-0.19953582825645486,0.0
2020-03-06,1.0,-0.28738004909618386,-1.1285985271144834,-1.731421557688016,-1.278844008033921,-0.1528676634679759,0.0
2020-03-09,1.0,-0.2762918436000662,-1.1080902222467326,-1.7230463795290356,-1.2697292229636574,-0.1377047372194342,0.0
2020-03-10,1.0,-0.695994179966353,-0.4717864775155732,-1.3954440049106536,-0.9759468921929705,-0.00777520120038194,0.0
2020-03-11,1.0,-0.4909236267870579,-0.7854589917231001,-1.5925978179082017,-0.8337565838976675,-0.0,0.0
2020-03-12,1.0,-0.5028287626862449,-0.5989203195854027,-1.4290649967609588,-0.7879507665730944,-0.0,0.0
2020-03-13,1.0,-0.5447637568424085,-0.3238619994237972,-1.1069936617689426,-0.625612215499856,-0.0,0.0
2020-03-16,1.0,-0.4343437675231718,-0.38107332519708415,-0.9732163472639113,-0.5098789458059835,-0.0,0.0
2020-03-17,1.0,-0.4956589855734709,-0.422416606828122,-0.7188132384620407,-0.519975194203277,-0.10705659638357597,0.0
2020-03-18,1.0,-0.48620300145231565,-0.4657092141358722,-0.6337259964498951,-0.5280619654671614,-0.11370017750524446,0.0
2020-03-19,1.0,-0.5049731688143009,-0.5609597703113784,-0.690945756571077,-0.5729910790580033,-0.08811566462726869,0.0
2020-03-20,1.0,-0.5156027630254434,-0.6479225242111839,-0.6748932625221284,-0.5789163108750738,-0.053802631122218746,0.0
2020-03-23,1.0,-0.5138573688192009,-0.705797400453889,-0.6070077711299084,-0.5695275428099855,-0.04239735919125232,0.0
2020-03-24,1.0,-0.6331444759206799,-0.8066572237960339,-0.575518115401819,-0.6318025943044581,-0.08036379901595347,0.0
2020-03-25,1.0,-0.6243358316619163,-0.7916886589957423,-0.45068440128083326,-0.6123016291917379,-0.039762130968718105,0.0
2020-03-26,1.0,-0.6245910290237467,-0.7905013192612137,-0.4497801231310466,-0.6114687774846086,-0.041688654353562005,0.0
2020-03-27,1.0,-0.6167718354539499,-0.7820764801213752,-0.4234336747008724,-0.601875797386297,-0.023999172442329575,0.0
2020-03-30,1.0,-0.6044066272353085,-0.774618657258483,-0.4676766628618865,-0.6122237210750233,-0.0,0.0
2020-03-31,1.0,-0.6853315521911759,-0.7832201565920813,-0.5305577201380385,-0.7027719024824669,-0.008794389402204164,0.0
2020-04-01,1.0,-0.6848473566641846,-0.7757632166790767,-0.5434102755026061,-0.7034623976172748,-0.015524944154877141,0.0
2020-04-02,1.0,-0.6914193239913199,-0.7461841185773658,-0.5344808562286218,-0.7058736989223583,-0.0,0.0
2020-04-03,1.0,-0.6925795053003534,-0.7455094228504123,-0.5340842167255595,-0.7086277974087162,-0.0,0.0
2020-04-06,1.0,-0.6933382542904595,-0.7516515962354677,-0.5369256320354309,-0.7087654548809742,-0.0,0.0
2020-04-07,1.0,-0.6723755499800007,-0.7083015163084979,-0.5257263372241009,-0.7298280062543181,-0.0,0.0
2020-04-08,1.0,-0.674021663809767,-0.7158539698749044,-0.5193843685035925,-0.7378824902439914,-0.0,0.0
