Date,CIEN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4629240344585961,-1.1788467087094514,-0.06512509789373894,-0.7238366101974362,-0.691109187585013,0.0
2018-09-25,1.0,-0.46719452348550455,-1.1767907954967214,-0.0709719988453132,-0.7218854385747866,-0.6870386407686915,0.0
2018-09-26,1.0,-0.46709006928406466,-1.1767980864401186,-0.07060376113493896,-0.7220389310458595,-0.6874793797426592,0.0
2018-09-27,1.0,-0.4672604321293089,-1.1758617845950847,-0.07104568695365329,-0.7218373742371762,-0.6873247567210952,0.0
2018-09-28,1.0,-0.46629560915275203,-1.1761286332714906,-0.07165532879818594,-0.7215419501133787,-0.6871985157699444,0.0
2018-10-01,1.0,-0.4662103657279512,-1.176225621572589,-0.0720735579103616,-0.721436523316703,-0.6872964169381108,0.0
2018-10-02,1.0,-0.47565905836772504,-1.2499789438221172,-0.0578202644655942,-0.7325023161795671,-0.6952749936831466,0.0
2018-10-03,1.0,-0.4752842105263158,-1.2391578947368422,-0.056294736842105265,-0.7369684210526316,-0.7027789473684211,0.0
2018-10-04,1.0,-0.4753842914297747,-1.2391240261107601,-0.05698041692987998,-0.7367445778058539,-0.7031796167614235,0.0
2018-10-05,1.0,-0.4622250157133878,-1.2345275508066205,-0.04257280536350304,-0.7415042949926671,-0.7094070815001048,0.0
2018-10-08,1.0,-0.45999163879598665,-1.231020066889632,-0.03967391304347826,-0.7421822742474916,-0.7076923076923077,0.0
2018-10-09,1.0,-0.46285212004520526,-1.23268176300699,-0.044451885647314886,-0.7409066175547276,-0.7048260851366623,0.0
2018-10-10,1.0,-0.462771523040221,-1.2329552588624284,-0.04402963210982296,-0.7409701586238647,-0.7045578202820909,0.0
2018-10-11,1.0,-0.38388376234418004,-1.2307754573417515,-0.0,-0.7147482596729805,-0.7178646592196859,0.0
2018-10-12,1.0,-0.38802104088626765,-1.2230015143062087,-0.0,-0.6869769666055631,-0.6870168167689488,0.0
2018-10-15,1.0,-0.3859334528790596,-1.2255030882645945,-0.0,-0.6868300458258617,-0.6865909543733811,0.0
2018-10-16,1.0,-0.37964181723904117,-1.2376849746719318,-0.0,-0.6858122930876311,-0.6855330860356588,0.0
2018-10-17,1.0,-0.363943308075851,-1.20560637587845,-0.0,-0.6743747791606141,-0.6820698048761337,0.0
2018-10-18,1.0,-0.3635328753680079,-1.2050245338567223,-0.0,-0.6748577036310108,-0.6820412168792934,0.0
2018-10-19,1.0,-0.34031004724901404,-1.1950876644929518,-0.0,-0.6830801671287439,-0.6863993127416143,0.0
2018-10-22,1.0,-0.340632318501171,-1.1909836065573771,-0.0,-0.6841530054644809,-0.6874316939890711,0.0
2018-10-23,1.0,-0.3450833430924777,-1.1915134481008705,-0.0,-0.6811492368349144,-0.6859507358394815,0.0
2018-10-24,1.0,-0.3426120857699805,-1.188148148148148,-0.0,-0.6808576998050682,-0.6870175438596491,0.0
2018-10-25,1.0,-0.30633816061688923,-1.1359037050968592,-0.0,-0.6725597141245063,-0.6467180741019373,0.0
2018-10-26,1.0,-0.28576208178438656,-1.1188847583643122,-0.0,-0.6773977695167286,-0.6354275092936803,0.0
