Date,IWF,IWM,MTUM,SPY,SWBI,VLUE,VXX
2018-09-24,-1.7867743343518114,-2.5726756874727195,-1.2548013967699694,-2.155827149716281,1.0,-2.1421868179834136,0.0
2018-09-25,-1.7885077561721654,-2.5755953681450734,-1.2561721651736946,-2.158619182870876,1.0,-2.1452916757701552,0.0
2018-09-26,-1.7908375246009183,-2.579050951235513,-1.258582987098185,-2.1602886507762955,1.0,-2.1449814126394053,0.0
2018-09-27,-1.7922219794625303,-2.5699147913480447,-1.2598863884640594,-2.15894690845532,1.0,-2.1431068385405285,0.0
2018-09-28,-1.7904106596767146,-2.5706640454346874,-1.259829619921363,-2.158256880733945,1.0,-2.1426387068588904,0.0
2018-10-01,-1.7907383136740933,-2.57000873743993,-1.2600480559196154,-2.158366098733071,1.0,-2.1425294888597644,0.0
2018-10-02,-1.7984640702139332,-2.5938562808557326,-1.2635216675809107,-2.1655512890839277,1.0,-2.149533735600658,0.0
2018-10-03,-1.795486909847738,-2.5851681454704787,-1.2615839631942163,-2.1633256654617155,1.0,-2.1484280863183263,0.0
2018-10-04,-1.8006356861025865,-2.5798991670320035,-1.263919333625603,-2.1693336256028055,1.0,-2.1464270056992545,0.0
2018-10-05,-1.7885080202153372,-2.585915183476159,-1.2426939134256207,-2.194023291584267,1.0,-2.1755658097121513,0.0
2018-10-08,-1.7815512708150743,-2.576796669588081,-1.233347940403155,-2.1930324276950044,1.0,-2.170464504820333,0.0
2018-10-09,-1.780113885238721,-2.5759964958388086,-1.231274638633377,-2.1927288655278145,1.0,-2.1704993429697765,0.0
2018-10-10,-1.7851266864100033,-2.5791378743007565,-1.2352747614346824,-2.1978721070527585,1.0,-2.1709992322035756,0.0
2018-10-11,-1.6418271760867276,-2.556151984001684,-1.0336806651931376,-2.137353962740764,1.0,-2.1561940848331753,0.0
2018-10-12,-1.635683094198378,-2.54262840507382,-1.0035350384695363,-2.101164483260553,1.0,-2.1141609482220836,0.0
2018-10-15,-1.5970318458208799,-2.5668349994846955,-0.9510460682263218,-2.0857466762856847,1.0,-2.1054313099041533,0.0
2018-10-16,-1.5924858466289242,-2.5716932578486875,-0.9437982501286669,-2.082758620689655,1.0,-2.1026248069994855,0.0
2018-10-17,-1.5309681298857487,-2.4836640609340552,-0.8777310082180799,-2.0463018641010224,1.0,-2.083383443575867,0.0
2018-10-18,-1.5316290726817041,-2.484611528822055,-0.8779949874686717,-2.04671679197995,1.0,-2.0840100250626565,0.0
2018-10-19,-1.4937283950617284,-2.4513580246913578,-0.8373333333333333,-2.0295308641975307,1.0,-2.0646913580246915,0.0
2018-10-22,-1.4925064089923092,-2.442220469335437,-0.8332676000788799,-2.028495365805561,1.0,-2.0634983238020115,0.0
2018-10-23,-1.4931979495268137,-2.441344637223975,-0.8355678233438486,-2.0262223974763405,1.0,-2.0617113564668768,0.0
2018-10-24,-1.4947243861552115,-2.44058771324327,-0.8246721230647864,-2.031850902277882,1.0,-2.0691253328074155,0.0
2018-10-25,-1.4106598016781082,-2.3486842105263155,-0.7580091533180778,-2.0163996948893974,1.0,-2.0009534706331045,0.0
2018-10-26,-1.3700721041296002,-2.3092986234666166,-0.711208914692387,-2.003745669070138,1.0,-1.969847363985392,0.0
2018-10-29,-1.3370776086149276,-2.3164686223542517,-0.6762903824730784,-1.9844968436687709,1.0,-1.968993687337542,0.0
2018-10-30,-1.3304919855461874,-2.312239414435282,-0.6723802464560363,-1.9809135550819976,1.0,-1.9691466691374038,0.0
2018-10-31,-1.3088275485105219,-2.2630955634508516,-0.6537305274665209,-1.949530837205065,1.0,-1.934681606996447,0.0
2018-11-01,-1.3041589648798522,-2.3401109057301293,-0.6300369685767098,-1.9898336414048057,1.0,-1.9780036968576709,0.0
2018-11-02,-1.3059913753555372,-2.2936966694192127,-0.6135425268373245,-1.9955959262317644,1.0,-1.966327185980365,0.0
2018-11-05,-1.3018228451039662,-2.2955024274067966,-0.6125309150865622,-1.9917559769167352,1.0,-1.9585050838142346,0.0
2018-11-06,-1.3177802319160685,-2.3140990244800292,-0.612736977728695,-1.9977912755383764,1.0,-1.9606110804343824,0.0
2018-11-07,-1.3169474362514957,-2.3174997698609956,-0.6086716376691521,-2.0,1.0,-1.9624413145539905,0.0
2018-11-08,-1.2708598436647882,-2.3185784402835847,-0.5519905471732411,-1.9829121977822213,1.0,-1.965006362479549,0.0
2018-11-09,-1.2705134029986371,-2.317219445706497,-0.552839618355293,-1.9820990458882326,1.0,-1.9640163562017265,0.0
2018-11-12,-1.2645703442667389,-2.2877021776452517,-0.545676335050149,-1.9834643534833287,1.0,-1.954459203036053,0.0
2018-11-13,-1.2304449228561176,-2.2935952637244346,-0.4939899533548619,-1.9943487621097955,1.0,-1.9578399712952999,0.0
