Date,IWF,IWM,MTUM,SPY,VLUE,VXX,YNDX
2018-09-24,-0.7855671091092051,-1.1884134361972305,-0.2112703052374335,-0.8975513920168672,-0.7089942019263022,0.0,1.0
2018-09-25,-0.7922264875239923,-1.1866602687140115,-0.21976967370441458,-0.8956813819577735,-0.704126679462572,0.0,1.0
2018-09-26,-0.7923804040113238,-1.1868432416870591,-0.2201429873806439,-0.8954944580394414,-0.7033731586776066,0.0,1.0
2018-09-27,-0.7942191544434858,-1.1798005943821301,-0.2219825520084364,-0.8948327101907776,-0.7025692646917842,0.0,1.0
2018-09-28,-0.7929067816918284,-1.1802060867481428,-0.2226216151449796,-0.8944164869398514,-0.7025641025641025,0.0,1.0
2018-10-01,-0.7954043941283699,-1.179123093159359,-0.22234481435287345,-0.8966708241389235,-0.703492276695769,0.0,1.0
2018-10-02,-0.79508590075823,-1.1833669258086188,-0.22175832613494575,-0.8958153373644303,-0.7028985507246376,0.0,1.0
2018-10-03,-0.7953115242350003,-1.1684200413123889,-0.2191958495460441,-0.904501128885046,-0.716385646346736,0.0,1.0
2018-10-04,-0.7944118495719918,-1.1721169568144656,-0.21977493507742615,-0.9035298643839568,-0.7192459363277868,0.0,1.0
2018-10-05,-0.7891910036925143,-1.1702392941063635,-0.2084592145015106,-0.9069678223756773,-0.7206636934733611,0.0,1.0
2018-10-08,-0.7873645863292109,-1.167050139008724,-0.2011312434090691,-0.9159236890039306,-0.7218866839229221,0.0,1.0
2018-10-09,-0.7844794282402937,-1.180220204751787,-0.1804133668147576,-0.9368842959242805,-0.7470542785396949,0.0,1.0
2018-10-10,-0.7859039343470915,-1.17861453053343,-0.1818489017620082,-0.9374849143132996,-0.7435674631909245,0.0,1.0
2018-10-11,-0.7315759902612604,-1.172675344133346,-0.09982208071916845,-0.9214814121172396,-0.7565783313044293,0.0,1.0
2018-10-12,-0.758068260970513,-1.1725563036916646,-0.0937543533782215,-0.8967726956117947,-0.7224982586487114,0.0,1.0
2018-10-15,-0.7491889887848735,-1.1875984799332653,-0.07804245064417463,-0.8965149689498564,-0.7230049124107888,0.0,1.0
2018-10-16,-0.7457130907570054,-1.2120451693851946,-0.06231702216645755,-0.9007853524792045,-0.726195455179144,0.0,1.0
2018-10-17,-0.7378703405059208,-1.1925540247891997,-0.05916232778878496,-0.8941620974058886,-0.7239091369856702,0.0,1.0
2018-10-18,-0.7362769046411947,-1.1900723602341337,-0.060607457252154676,-0.8974512605429322,-0.7245702170807024,0.0,1.0
2018-10-19,-0.8267489711934157,-1.3757201646090536,-0.0712962962962963,-1.01630658436214,-0.8539094650205762,0.0,1.0
2018-10-22,-0.8283355971162888,-1.4233622401003028,-0.09727301222442797,-1.0170306133110436,-0.8581130498380524,0.0,1.0
2018-10-23,-0.8308174458083051,-1.4224601723687647,-0.10316009401932619,-1.0118568816923479,-0.8550013058239749,0.0,1.0
2018-10-24,-0.8313485845607438,-1.4247362373341692,-0.0988718270134754,-1.0131097879452629,-0.8549566489083882,0.0,1.0
2018-10-25,-0.78298883105069,-1.3558396927275485,-0.08237731844140092,-1.02739172183757,-0.8052256532066508,0.0,1.0
2018-10-26,-0.7687693691892432,-1.3376986903928823,-0.07022893132060383,-1.0281915425372388,-0.7936119164250725,0.0,1.0
2018-10-29,-0.7429085997298513,-1.3754565010755915,-0.03807093901645905,-1.0260643353844614,-0.8202511381259692,0.0,1.0
2018-10-30,-0.7293522875162679,-1.3791170287316046,-0.027680448493342676,-1.0309840824907397,-0.8383221543698067,0.0,1.0
2018-10-31,-0.7351845412547812,-1.3460334807014058,-0.029953802593015746,-1.0269236500918981,-0.8293676419452586,0.0,1.0
2018-11-01,-0.7780827488055301,-1.3388736403375012,-0.057792009759072886,-1.0542340144352953,-0.8538172206973671,0.0,1.0
2018-11-02,-0.7874671783478085,-1.3000908907291455,-0.05074732377297516,-1.0646839022419714,-0.8464956574429409,0.0,1.0
2018-11-05,-0.7924490105774584,-1.2930816336859154,-0.04980009109772762,-1.0676653676805508,-0.8580393744622704,0.0,1.0
2018-11-06,-0.7902678616638816,-1.291609701757051,-0.05149627829257178,-1.069319965567877,-0.8608537141121069,0.0,1.0
2018-11-07,-0.786137111054895,-1.2909182899064002,-0.058284846951682276,-1.065216291424235,-0.8589425752592967,0.0,1.0
2018-11-08,-0.7519882478091282,-1.3266298566435337,-0.004609695557469227,-1.0799858163213616,-0.9024365533660909,0.0,1.0
2018-11-09,-0.753510773130545,-1.3277566539923955,-0.0041571609632446134,-1.0804055766793408,-0.9039290240811152,0.0,1.0
2018-11-12,-0.7524727492935002,-1.3099515542995557,-0.003027856277755349,-1.0829632620104965,-0.8980621719822366,0.0,1.0
2018-11-13,-0.7182464217796017,-1.3065258732859575,-0.0,-1.0881293163847463,-0.8916024421979782,0.0,1.0
2018-11-14,-0.7207893023488756,-1.3060049080983624,-0.0,-1.0896980017028097,-0.8917714228476987,0.0,1.0
2018-11-15,-0.7232691726292452,-1.3231885518492392,-0.0,-1.1133225838959993,-0.8790184420034264,0.0,1.0
