Date,IWF,IWM,MTUM,SPY,VLUE,VRRM,VXX
2018-09-24,-0.06793936885010987,-0.21434257873451582,-0.0,-0.16001655892749103,-0.14992198197624432,1.0,0.0
2018-09-25,-0.06797662457604178,-0.2143596439547141,-0.0,-0.16004522220983744,-0.14994984156303245,1.0,0.0
2018-09-26,-0.06875189119459796,-0.2151104457645204,-0.0,-0.16008663661989775,-0.1486359510120877,1.0,0.0
2018-09-27,-0.0681934166879306,-0.2172588670579229,-0.0,-0.1603725440163307,-0.14896976269456494,1.0,0.0
2018-09-28,-0.07106282203091496,-0.21714084552117,-0.0,-0.16182353505936567,-0.15011041059941754,1.0,0.0
2018-10-01,-0.07074827746815926,-0.2208534763824422,-0.0,-0.16272906862823827,-0.1517594719175112,1.0,0.0
2018-10-02,-0.07354384158798076,-0.21202567278459636,-0.0,-0.16698569980858013,-0.15601524924799334,1.0,0.0
2018-10-03,-0.07380551599119514,-0.20380681082480903,-0.0,-0.17438171694937202,-0.16653178816522077,1.0,0.0
2018-10-04,-0.07918651341992751,-0.1999414757856063,-0.0,-0.18223790093151043,-0.16429047518410744,1.0,0.0
2018-10-05,-0.07560076328471166,-0.19675603997541963,-0.0,-0.18123160516187456,-0.16354021798893884,1.0,0.0
2018-10-08,-0.07637471242020674,-0.19830854476523768,-0.0,-0.18123197563267554,-0.16425261657107676,1.0,0.0
2018-10-09,-0.07586776591781531,-0.19814055945188616,-0.0,-0.18127925622378077,-0.1644341502129934,1.0,0.0
2018-10-10,-0.07458266896619048,-0.20160424327226578,-0.0,-0.18207998438059286,-0.16875467768702612,1.0,0.0
2018-10-11,-0.07228136020966124,-0.19921053483029733,-0.0,-0.18044455948490631,-0.16582004076746368,1.0,0.0
2018-10-12,-0.07068567026194145,-0.19576592193117615,-0.0,-0.17681047765793526,-0.16177131484334875,1.0,0.0
2018-10-15,-0.06552601674162518,-0.1988828246290754,-0.0,-0.17509883320795788,-0.16103010611565488,1.0,0.0
2018-10-16,-0.06027696558815024,-0.21029463740641965,-0.0,-0.17511165376088422,-0.16084567683063972,1.0,0.0
2018-10-17,-0.06135404247091806,-0.21332130312892725,-0.0,-0.17586118003415718,-0.1606515644636355,1.0,0.0
2018-10-18,-0.061006846556584775,-0.2125976641159887,-0.0,-0.17662505034232784,-0.16072492952074102,1.0,0.0
2018-10-19,-0.04950495049504951,-0.20788854129712644,-0.0,-0.18707066146354048,-0.16807495081755733,1.0,0.0
2018-10-22,-0.04971448849888699,-0.20779430267445234,-0.0,-0.18726005742491209,-0.16830661031712746,1.0,0.0
2018-10-23,-0.044302348400601814,-0.2149375286190881,-0.0,-0.19907437692156735,-0.1770622097206777,1.0,0.0
2018-10-24,-0.0496176054778654,-0.2477132977907987,-0.0,-0.2165085421315301,-0.1894769115467816,1.0,0.0
2018-10-25,-0.037448518666135244,-0.22930782516274745,-0.0,-0.2172014082635844,-0.17674704397502325,1.0,0.0
