Date,IWF,IWM,MTUM,PRLB,SPY,VLUE,VXX
2018-09-24,-0.5164133068957919,-1.022875816993464,-0.3085848571638393,1.0,-0.4914812366894323,-0.3325255195711243,0.0
2018-09-25,-0.5151671900979125,-1.0335858119342323,-0.3011269166820617,1.0,-0.5009421762423795,-0.34398669868834286,0.0
2018-09-26,-0.5158703765288402,-1.034438162805306,-0.30270110482947205,1.0,-0.5005357868676792,-0.341536415031593,0.0
2018-09-27,-0.5164721524597429,-1.03187324567883,-0.3033682966464766,1.0,-0.5002954646181119,-0.34129856699660216,0.0
2018-09-28,-0.5183857496581544,-1.0308215381204036,-0.30333715214900775,1.0,-0.5010532540005174,-0.3420303780627517,0.0
2018-10-01,-0.5176853633269202,-1.0335947905875387,-0.3038330620097676,1.0,-0.5013689507177741,-0.3434216368210744,0.0
2018-10-02,-0.5177523583153829,-1.0565252915397758,-0.2975191264948377,1.0,-0.5002228329495655,-0.3418628834583674,0.0
2018-10-03,-0.5225818521983162,-1.0796258185219831,-0.2999064546304958,1.0,-0.5013657623947615,-0.3383348924228251,0.0
2018-10-04,-0.5234711052926875,-1.076977744529643,-0.3002805311389565,1.0,-0.5024873760987469,-0.337161024873761,0.0
2018-10-05,-0.5195163818195389,-1.0788491678483467,-0.2950593327860288,1.0,-0.502686767669229,-0.33551011269497727,0.0
2018-10-08,-0.517974891033044,-1.0764445106731735,-0.2924039786909064,1.0,-0.5043027977498789,-0.334239839064188,0.0
2018-10-09,-0.5276653171390013,-1.0831084120557806,-0.3065677013045434,1.0,-0.5029614634877794,-0.3283850652271705,0.0
2018-10-10,-0.5278050252772957,-1.0944691767901606,-0.301290273900249,1.0,-0.5079981890892628,-0.3411680374254885,0.0
2018-10-11,-0.524402165739209,-1.1009550308317042,-0.294292374793202,1.0,-0.5046247556023462,-0.33568957738005717,0.0
2018-10-12,-0.5296679571173317,-1.100208457415128,-0.2929943418701608,1.0,-0.4870458606313282,-0.31253722453841576,0.0
2018-10-15,-0.5241599762117157,-1.1107270294380016,-0.28482753493904256,1.0,-0.4858013678263456,-0.31136633957775794,0.0
2018-10-16,-0.5236006838623355,-1.1125027874823459,-0.28335687207314353,1.0,-0.48580242325131934,-0.31134319482643275,0.0
2018-10-17,-0.5123150901148918,-1.0862239841427157,-0.2741988767756855,1.0,-0.4822890283742613,-0.31560400836912234,0.0
