Date,IWF,IWM,MTUM,OGS,SPY,VLUE,VXX
2018-09-24,-0.23661826850146278,-0.6491223317802579,-0.0,1.0,-0.4868620652291689,-0.33624986455737355,0.0
2018-09-25,-0.2417242781618544,-0.6486105462925308,-0.0,1.0,-0.48664768876236947,-0.334119560797072,0.0
2018-09-26,-0.2426115720405618,-0.6494767095059921,-0.0,1.0,-0.486660159427363,-0.3326283824087631,0.0
2018-09-27,-0.24162406178614163,-0.6556619166757316,-0.0,1.0,-0.4880071793756119,-0.33414010660285,0.0
2018-09-28,-0.24169159641011695,-0.655643187381017,-0.0,1.0,-0.4879793309763394,-0.3342942616263258,0.0
2018-10-01,-0.24146387988118917,-0.6590184483745265,-0.0,1.0,-0.4886502983895141,-0.33588576722892877,0.0
2018-10-02,-0.24039144934667325,-0.6724345306434859,-0.0,1.0,-0.48674211360778524,-0.33398939369088626,0.0
2018-10-03,-0.23986541933366157,-0.6631380272443788,-0.0,1.0,-0.491082663165381,-0.3412932873789595,0.0
2018-10-04,-0.24419813902572524,-0.6576354679802956,-0.0,1.0,-0.4967159277504105,-0.3381773399014778,0.0
2018-10-05,-0.2295291778994091,-0.6502192086703156,-0.0,1.0,-0.5008850039484791,-0.34245568172534924,0.0
2018-10-08,-0.22676813135859042,-0.6487466928511033,-0.0,1.0,-0.5082508250825083,-0.3437525570738892,0.0
2018-10-09,-0.2203932953549518,-0.6515939964943033,-0.0,1.0,-0.5143788343558282,-0.3524594653812445,0.0
2018-10-10,-0.22165639972621493,-0.6507597535934292,-0.0,1.0,-0.5151813826146475,-0.350280629705681,0.0
2018-10-11,-0.15714854639585824,-0.6436213991769547,-0.0,1.0,-0.49701314217443254,-0.35720164609053495,0.0
2018-10-12,-0.15189739241043038,-0.6456699173203307,-0.0,1.0,-0.4978270086919653,-0.35459508161967357,0.0
2018-10-15,-0.12031773019499495,-0.68195101216726,-0.0,1.0,-0.49561659848042083,-0.3586950746506562,0.0
2018-10-16,-0.11643853820598007,-0.6888504983388706,-0.0,1.0,-0.4946976744186047,-0.3577940199335548,0.0
2018-10-17,-0.10411596933301934,-0.6649658528926917,-0.0,1.0,-0.4889708768349164,-0.3585838762854227,0.0
2018-10-18,-0.10389576410873605,-0.664791606708354,-0.0,1.0,-0.4891551764736663,-0.3585201852384815,0.0
2018-10-19,-0.0897066832646075,-0.6558002022874037,-0.0,1.0,-0.4914805881895278,-0.35644077906584715,0.0
2018-10-22,-0.0902412337831501,-0.6449486792059606,-0.0,1.0,-0.5027874746001146,-0.36711300995154483,0.0
2018-10-23,-0.08983845752996351,-0.6450495049504952,-0.0,1.0,-0.5032308494007296,-0.3674048983845753,0.0
