Date,IWF,IWM,MGEE,MTUM,SPY,VLUE,VXX
2018-09-24,-0.21384956230411759,-0.6951259051118557,1.0,-0.0,-0.46657840700313413,-0.3262995785150762,0.0
2018-09-25,-0.21230744240192764,-0.6975390529821047,1.0,-0.0,-0.4684462733844113,-0.3290196821615183,0.0
2018-09-26,-0.21078711644749382,-0.6996378883171335,1.0,-0.0,-0.4727871709003784,-0.33943205641318847,0.0
2018-09-27,-0.21120818703900274,-0.6985112000217739,1.0,-0.0,-0.47268718869927323,-0.3393484118559647,0.0
2018-09-28,-0.2117384439483857,-0.6982359666793706,1.0,-0.0,-0.47277726357053407,-0.339549191484728,0.0
2018-10-01,-0.21184030626196335,-0.7048400328137817,1.0,-0.0,-0.47487011211375446,-0.342931364506426,0.0
2018-10-02,-0.2109533468559838,-0.7159146976591196,1.0,-0.0,-0.4730552053067267,-0.3411819527438189,0.0
2018-10-03,-0.2114595666180236,-0.7042319447121341,1.0,-0.0,-0.48261240672926015,-0.3551033894105014,0.0
2018-10-04,-0.21638007054673725,-0.6984402557319225,1.0,-0.0,-0.4890873015873016,-0.35185185185185186,0.0
2018-10-05,-0.1999780515240473,-0.6910752009657329,1.0,-0.0,-0.49452659880929517,-0.35797964278855393,0.0
2018-10-08,-0.1969252692444712,-0.6880052615713463,1.0,-0.0,-0.4981502288235455,-0.35732098325614536,0.0
2018-10-09,-0.19077083848967358,-0.6903720815114264,1.0,-0.0,-0.5036438137667409,-0.3652338915931029,0.0
2018-10-10,-0.1947390166643713,-0.6904283156590002,1.0,-0.0,-0.5071202313730891,-0.3621539732819171,0.0
2018-10-11,-0.14312768397748793,-0.6785361820170174,1.0,-0.0,-0.4869702061828172,-0.35869942119441994,0.0
2018-10-12,-0.13834075960110334,-0.6782304264799491,1.0,-0.0,-0.48368873329089757,-0.35200509229789945,0.0
2018-10-15,-0.10364586109482438,-0.7208570971696605,1.0,-0.0,-0.48254357443633067,-0.3580832578220777,0.0
2018-10-16,-0.10221973512404402,-0.72299944040291,1.0,-0.0,-0.48197297945479256,-0.3575558930903083,0.0
2018-10-17,-0.09393691865826988,-0.706858844299228,1.0,-0.0,-0.47727332613106377,-0.35690759136781636,0.0
2018-10-18,-0.09436549160228862,-0.7084662641390038,1.0,-0.0,-0.4766525166767738,-0.3571598069976534,0.0
2018-10-19,-0.08025514338744674,-0.7002849449716363,1.0,-0.0,-0.4786552688678013,-0.35497869448147856,0.0
2018-10-22,-0.08057369097249535,-0.6896352814704108,1.0,-0.0,-0.4880044049398254,-0.36380083379218126,0.0
2018-10-23,-0.08525321437942797,-0.6906848596168985,1.0,-0.0,-0.48533193387562323,-0.3627131986355287,0.0
2018-10-24,-0.0852326685660019,-0.6999577925503853,1.0,-0.0,-0.4888677851640815,-0.36388097499208616,0.0
2018-10-25,-0.05223574105446892,-0.6651522152061196,1.0,-0.0,-0.5089070280815237,-0.34057189794137277,0.0
2018-10-26,-0.03507789430811526,-0.6559413501680074,1.0,-0.0,-0.5191426534976071,-0.3353782710518277,0.0
2018-10-29,-0.021468354430379744,-0.6605316455696202,1.0,-0.0,-0.5133670886075948,-0.33625316455696197,0.0
2018-10-30,-0.00353051738589317,-0.6643214548779559,1.0,-0.0,-0.5175382896040233,-0.3545503035228975,0.0
2018-10-31,-0.00465210355987055,-0.6567809466019418,1.0,-0.0,-0.5152457524271845,-0.35163834951456313,0.0
2018-11-01,-0.0,-0.686044730392157,1.0,-0.0,-0.5130718954248367,-0.35398794934640526,0.0
2018-11-02,-0.0,-0.6568911200471275,1.0,-0.0,-0.5439387342161207,-0.36044873600901567,0.0
2018-11-05,-0.0,-0.6649080571633459,1.0,-0.0,-0.5435127797981868,-0.3526609639911899,0.0
2018-11-06,-0.0,-0.6673408776691075,1.0,-0.0,-0.5424752931537714,-0.3504787751548979,0.0
2018-11-07,-0.0,-0.6673489228879906,1.0,-0.0,-0.541088880929233,-0.34999744153917006,0.0
2018-11-08,-0.0,-0.6651882439907217,1.0,-0.0,-0.536361550814407,-0.34745481889322216,0.0
2018-11-09,-0.0,-0.6671946048127524,1.0,-0.0,-0.5375261840290196,-0.34979308230726003,0.0
2018-11-12,-0.0,-0.6511106010761737,1.0,-0.0,-0.549588146788055,-0.34945043735495884,0.0
2018-11-13,-0.0,-0.643627636731085,1.0,-0.0,-0.5440444612858406,-0.33853732474422127,0.0
2018-11-14,-0.0,-0.6432739674118985,1.0,-0.0,-0.5444991789819377,-0.3384362763673109,0.0
2018-11-15,-0.0,-0.6435074269286056,1.0,-0.0,-0.5459864323002043,-0.33238342622248,0.0
2018-11-16,-0.0,-0.6413815690028719,1.0,-0.0,-0.5449690129490603,-0.33292185216909354,0.0
