Date,ALLE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2718652387327086,-0.4517514502454262,-0.06520526550647034,-0.4926093261936636,-0.5075022311468095,0.0
2018-09-25,1.0,-0.2715859952573581,-0.4523364485981309,-0.0645836239363928,-0.49312316920072535,-0.5081880318035988,0.0
2018-09-26,1.0,-0.2714337527550707,-0.4522221912228329,-0.06414083642552242,-0.4932901821834109,-0.5088580754959127,0.0
2018-09-27,1.0,-0.274451292634632,-0.44549181470842514,-0.0661795465320579,-0.49376690743787827,-0.5089661711799649,0.0
2018-09-28,1.0,-0.27485217003235524,-0.44530291197143806,-0.0664119156532411,-0.49375209193350444,-0.5089255829521366,0.0
2018-10-01,1.0,-0.27442444537463373,-0.4465466722478024,-0.06675038370308357,-0.49359564671410633,-0.509222826845263,0.0
2018-10-02,1.0,-0.27557626834849586,-0.4370430317575487,-0.07029636657922643,-0.49592565719707543,-0.5118044315454596,0.0
2018-10-03,1.0,-0.2752733764784646,-0.4315442981477349,-0.06957152421334523,-0.4978520419549207,-0.5152867663467976,0.0
2018-10-04,1.0,-0.2776553916510973,-0.4274281252614261,-0.07007612726917822,-0.5007947352276847,-0.512562393686735,0.0
2018-10-05,1.0,-0.27256297614413616,-0.42359450592225995,-0.0641717177334149,-0.5038091530890285,-0.5162931657676695,0.0
2018-10-08,1.0,-0.27159636797823006,-0.42184766612056757,-0.0625885097048288,-0.5048454724682754,-0.5159248049315525,0.0
2018-10-09,1.0,-0.2750514660880209,-0.4231347020530797,-0.06879764090580315,-0.5028654092249485,-0.5121014855616758,0.0
2018-10-10,1.0,-0.27462495477191123,-0.4241142252776309,-0.06780038409084584,-0.5031033427036655,-0.5136240919591417,0.0
2018-10-11,1.0,-0.25544549036777586,-0.41760617338003503,-0.04271563047285464,-0.4996716287215412,-0.5209883975481612,0.0
2018-10-12,1.0,-0.25713742943986106,-0.41158271819366044,-0.03956795484151107,-0.492509769865393,-0.5130536257056014,0.0
2018-10-15,1.0,-0.2516190218127625,-0.4189134263649912,-0.031703021270830516,-0.4928058528654654,-0.5146186153637718,0.0
2018-10-16,1.0,-0.25027103209019946,-0.42489700780572415,-0.027347137901127493,-0.49316999132697315,-0.5146086296617519,0.0
2018-10-17,1.0,-0.24178680529503188,-0.40430891258909907,-0.019561605659467282,-0.49279168229808673,-0.5211962055844365,0.0
2018-10-18,1.0,-0.24377935847537244,-0.40821366259562475,-0.017688900818682057,-0.4921487048718293,-0.5223728358609583,0.0
2018-10-19,1.0,-0.2389248116282798,-0.4027146903222359,-0.012130604392668198,-0.4943889274835676,-0.5237802597124994,0.0
2018-10-22,1.0,-0.23826589286191863,-0.40632772592335054,-0.01575245379904255,-0.4921505175042122,-0.5219437832633521,0.0
2018-10-23,1.0,-0.23850144400470638,-0.40613969408492884,-0.016418868328163437,-0.4914964167290619,-0.5215263664563055,0.0
2018-10-24,1.0,-0.24272000858046872,-0.4035769828926905,-0.0050142114012977955,-0.49911513916447686,-0.5309701292433099,0.0
2018-10-25,1.0,-0.2299926191480388,-0.38351433994095324,-0.002662378743146352,-0.5005535638970898,-0.5192956558414171,0.0
2018-10-26,1.0,-0.23269475021168504,-0.38674851820491113,-0.005768416596104996,-0.49986769686706184,-0.5209832768839967,0.0
2018-10-29,1.0,-0.2196472356244562,-0.3941311397611327,-0.0,-0.49481926757889744,-0.5279337709931714,0.0
2018-10-30,1.0,-0.22455603345911287,-0.39462226561469244,-0.0,-0.49513154075520494,-0.5244214581629153,0.0
2018-10-31,1.0,-0.22351225977468525,-0.4022266401590458,-0.0,-0.4976010603048377,-0.5274221338634858,0.0
