Date,EOG,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,1.0,-0.0,-0.05225984419048773,-0.0,-0.0,-0.0,-0.07244839188820516,-0.0,-0.045772833368698654,-0.12234381157355481,-1.272787898996635,-0.0,-0.0,-0.0,-0.0,-0.0,-0.46570068810815723,-0.0,-0.0
2019-01-03,1.0,-0.0,-0.05642945563237824,-0.0,-0.0,-0.0,-0.0,-0.0,-0.04842848947797469,-0.14398719845415298,-1.3070861387035417,-0.0,-0.0,-0.0,-0.0,-0.0,-0.46330122882763203,-0.0,-0.0
2019-01-04,1.0,-0.0,-0.0576894155863687,-0.0,-0.0,-0.0,-0.0,-0.0,-0.02261858212771077,-0.1450657202153578,-1.3178031100550427,-0.0,-0.0,-0.0,-0.0,-0.0,-0.46458327067103794,-0.0,-0.0
2019-01-07,1.0,-0.0,-0.0477847914577311,-0.0,-0.0,-0.0,-0.010500855406760663,-0.0,-0.0,-0.1267181877175388,-1.3223113680608816,-0.0,-0.0,-0.0,-0.0,-0.0,-0.44236328240221817,-0.0,-0.0
2019-01-08,1.0,-0.0,-0.01734548898887047,-0.0,-0.0,-0.0,-0.0243310442813166,-0.0,-0.01654629410371774,-0.13417594127397586,-1.313669192517168,-0.0,-0.0,-0.0,-0.0,-0.0,-0.45391309495619225,-0.0,-0.0
2019-01-09,1.0,-0.0,-0.0071277097078228085,-0.0,-0.0,-0.0,-0.03463713477851084,-0.0,-0.016847313854853913,-0.12747408105560792,-1.3188324693685203,-0.0,-0.0,-0.0,-0.0,-0.0,-0.44041588124410935,-0.0,-0.0
2019-01-10,1.0,-0.0,-0.03397598911822107,-0.0,-0.0,-0.0,-0.03069371340706133,-0.0,-0.0020994736530841563,-0.10878821929150158,-1.3435744278195045,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4378733218995801,-0.0,-0.0
2019-01-11,1.0,-0.0,-0.02879943461232663,-0.0,-0.0,-0.0,-0.027916016372684708,-0.0,-0.0,-0.1134603492446774,-1.3462705026649782,-0.0,-0.0,-0.0,-0.0,-0.0,-0.42828116257840343,-0.0,-0.0
2019-01-14,1.0,-0.0,-0.01988165680473373,-0.0,-0.0,-0.0,-0.01857988165680473,-0.0,-0.0016863905325443785,-0.1251775147928994,-1.3505621301775148,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4426923076923077,-0.0,-0.0
2019-01-15,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0695355472541695,-0.0,-0.0,-0.1209224343324411,-1.361767214754243,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3892108127187693,-0.0,-0.0
2019-01-16,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.060113609744670886,-0.0,-0.02131646755680487,-0.10166315296322324,-1.3660693370812838,-0.0,-0.0,-0.0,-0.0,-0.0,-0.37889435464980087,-0.0,-0.0
2019-01-17,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.05983356774496016,-0.0,-0.024144397562119085,-0.10032817627754337,-1.3655063291139242,-0.0,-0.0,-0.0,-0.0,-0.0,-0.38030356305672763,-0.0,-0.0
2019-01-18,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.06040229212957549,-0.0,-0.004326979300666589,-0.11086422640626828,-1.3662144778388492,-0.0,-0.0,-0.0,-0.0,-0.0,-0.38179745059057424,-0.0,-0.0
2019-01-22,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.04220712974028624,-0.0,-0.0,-0.12157868656542396,-1.3607718541405545,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3902702072463346,-0.0,-0.0
2019-01-23,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.03336842720945195,-0.0,-0.0,-0.12885301514885653,-1.369304556354916,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3929929227349827,-0.0,-0.0
