Date,IWF,IWM,MTUM,SPY,VICI,VLUE,VXX
2018-09-24,-0.23984315709587659,-0.47045282064254995,-0.014014672400708323,-0.42289400455350373,1.0,-0.3825196053630155,0.0
2018-09-25,-0.23950186042979726,-0.4713341939403144,-0.01318753638595692,-0.4236464424026122,1.0,-0.38352696990406765,0.0
2018-09-26,-0.23982484560089096,-0.4717019337855624,-0.013946542472410652,-0.42340791738382105,1.0,-0.3822516958590665,0.0
2018-09-27,-0.23953187932213696,-0.47356688704815464,-0.01360285735998176,-0.4237404058059123,1.0,-0.38265319046533425,0.0
2018-09-28,-0.24532288034209787,-0.4744062921577112,-0.012981393336218089,-0.4271896556112709,1.0,-0.3854710209484053,0.0
2018-10-01,-0.24599933215175565,-0.4861421489301585,-0.013331278415658473,-0.431712517017287,1.0,-0.391461817060954,0.0
2018-10-02,-0.2466723527435321,-0.5091364916905741,-0.007340208317179707,-0.4312630844382415,1.0,-0.3901682561836086,0.0
2018-10-03,-0.24754349122397656,-0.4988203572632288,-0.00490005444504939,-0.4394234010007519,1.0,-0.4019340955640248,0.0
2018-10-04,-0.25331878523367884,-0.4930506845400462,-0.0054035798716649775,-0.447561894370405,1.0,-0.3985399942846751,0.0
2018-10-05,-0.24509423718296747,-0.4874479691822436,-0.0,-0.45063212595982316,1.0,-0.40220791644044573,0.0
2018-10-08,-0.2444002376831064,-0.48670783062495154,-0.0,-0.45061616761826023,1.0,-0.4017877903221639,0.0
2018-10-09,-0.23707961609488387,-0.4913257211225844,-0.0,-0.4591515592894114,1.0,-0.4134262751319999,0.0
2018-10-10,-0.23961802664446297,-0.49060678601165697,-0.0,-0.4610480849292256,1.0,-0.41069941715237307,0.0
2018-10-11,-0.1942144588045234,-0.4760450323101777,-0.0,-0.4424979806138934,1.0,-0.4114751615508885,0.0
2018-10-12,-0.1909020120067318,-0.47373841400617916,-0.0,-0.43970259476024215,1.0,-0.40755067694858205,0.0
2018-10-15,-0.17409059023950293,-0.48779937869526,-0.0,-0.4360657380499048,1.0,-0.40730534121655476,0.0
2018-10-16,-0.16769234633643967,-0.5015196804903167,-0.0,-0.43578407977694605,1.0,-0.40687247243224234,0.0
2018-10-17,-0.1543255675916308,-0.47593609338675374,-0.0,-0.43176534599594407,1.0,-0.4111391403274472,0.0
2018-10-18,-0.15355749397350826,-0.47583190437138095,-0.0,-0.44046820249012153,1.0,-0.4152936206168145,0.0
2018-10-19,-0.1401445093832458,-0.4655372247293532,-0.0,-0.4440827599812582,1.0,-0.4162659367216592,0.0
2018-10-22,-0.1400552622489762,-0.4580352296837223,-0.0,-0.44858637193467216,1.0,-0.42038782256870777,0.0
2018-10-23,-0.1359658907810912,-0.46163952306586353,-0.0,-0.4557398180511143,1.0,-0.4254976326813911,0.0
2018-10-24,-0.13450393778790432,-0.4576749715191441,-0.0,-0.45673386497597707,1.0,-0.427658625984447,0.0
2018-10-25,-0.10493455150302534,-0.4232577200298918,-0.0,-0.4750620736205193,1.0,-0.4073475881686474,0.0
