Date,IWF,IWM,MTUM,NTRS,SPY,VLUE,VXX
2018-09-24,-0.21735295738933907,-0.39906840857725595,-0.22840526983077009,1.0,-0.4377377211840582,-0.4735957223967808,0.0
2018-09-25,-0.21666574722789209,-0.4005075302035638,-0.22678876813592985,1.0,-0.43901362608263916,-0.475340652065979,0.0
2018-09-26,-0.2162467923070555,-0.4002648933528324,-0.22543528048343034,1.0,-0.4396953726442427,-0.4776634198835573,0.0
2018-09-27,-0.21514087427765644,-0.4063372687809329,-0.2239887189979816,1.0,-0.4407332651311969,-0.47872369839909307,0.0
2018-09-28,-0.21380378276739298,-0.4076982634664307,-0.22431146997013604,1.0,-0.44063156730450165,-0.4787357593186594,0.0
2018-10-01,-0.215590237423211,-0.4067186894681499,-0.2238640765952737,1.0,-0.4419724389838951,-0.47899717748630255,0.0
2018-10-02,-0.21855515836727904,-0.3884224235874414,-0.23041538504170475,1.0,-0.4481669299193615,-0.48549339097181804,0.0
2018-10-03,-0.2183439984487105,-0.3832516136181058,-0.22964625058865898,1.0,-0.4500678689160365,-0.48885010665115375,0.0
2018-10-04,-0.21798176325489868,-0.3848285801391314,-0.22964995426956014,1.0,-0.44932235802777076,-0.48973143759873616,0.0
2018-10-05,-0.20324977817213843,-0.3781333185448092,-0.2160603371783496,1.0,-0.4658385093167702,-0.5095385980479148,0.0
2018-10-08,-0.2019827204253434,-0.3759968985378822,-0.2139731945059814,1.0,-0.4678500221533008,-0.509332077979619,0.0
2018-10-09,-0.19947870452528838,-0.3778283052351375,-0.20629991126885533,1.0,-0.47304791481810116,-0.5161657054125999,0.0
2018-10-10,-0.1987065615632286,-0.3796769179527035,-0.20478516709226158,1.0,-0.4734373265238148,-0.5190129898967469,0.0
2018-10-11,-0.17581967213114755,-0.3741530054644809,-0.18240437158469947,1.0,-0.47051912568306015,-0.5293715846994536,0.0
2018-10-12,-0.17421669067094214,-0.3697926574091688,-0.18136362401152203,1.0,-0.4663985434386804,-0.525666458327672,0.0
2018-10-15,-0.1590828828339355,-0.3966477411643259,-0.16008801716878107,1.0,-0.4687457553448698,-0.5320148868544728,0.0
2018-10-16,-0.1594805335941533,-0.39552259081153035,-0.16102915206346619,1.0,-0.46874235879044746,-0.5320727035618225,0.0
2018-10-17,-0.15005376344086022,-0.3736021505376344,-0.15161290322580645,1.0,-0.4706182795698925,-0.5423118279569893,0.0
2018-10-18,-0.1678916827852998,-0.4129041171594363,-0.13691627521414754,1.0,-0.48273003592152525,-0.5627245095330201,0.0
2018-10-19,-0.1594151114531512,-0.40527169282357145,-0.13151746694884972,1.0,-0.48649094357254763,-0.5658137042025122,0.0
2018-10-22,-0.1614401539095781,-0.40098941871650406,-0.12670056341899136,1.0,-0.4903394255874674,-0.568915761989831,0.0
2018-10-23,-0.16034568173061045,-0.40268068475807783,-0.12275004128364618,1.0,-0.4946606484284692,-0.5717784994770738,0.0
2018-10-24,-0.15961485557083907,-0.4019257221458047,-0.12132049518569464,1.0,-0.4953232462173315,-0.5728473177441541,0.0
2018-10-25,-0.1412574203993524,-0.377118186724231,-0.11937398812736104,1.0,-0.5011872638963842,-0.5593901780895845,0.0
2018-10-26,-0.13512788889484692,-0.3720038607968256,-0.10989865408332887,1.0,-0.5078556490964663,-0.5561960426832538,0.0
2018-10-29,-0.12644661232126153,-0.37607911265535215,-0.10386208739810236,1.0,-0.5051984498195911,-0.5611653080315382,0.0
