Date,IWF,IWM,MTUM,SPY,STMP,VLUE,VXX
2018-09-24,-0.7013153990703195,-1.4266640292750468,-0.1895460389674612,-0.8730095935120166,1.0,-0.7545247749975273,0.0
2018-09-25,-0.7048702101359703,-1.4238318912237329,-0.19505562422744127,-0.8705067985166872,1.0,-0.7501606922126081,0.0
2018-09-26,-0.7046780733854218,-1.4238947680743743,-0.19424389279003065,-0.8709326476115121,1.0,-0.7513599050539016,0.0
2018-09-27,-0.7074544286913995,-1.4147606580052363,-0.19670997381810998,-0.8704737440102752,1.0,-0.7506298473546411,0.0
2018-09-28,-0.7125037125037126,-1.4143649143649142,-0.19691119691119693,-0.8732303732303732,1.0,-0.7530442530442529,0.0
2018-10-01,-0.7177959791511542,-1.4147927525440556,-0.19637627202779845,-0.8788284934226855,1.0,-0.7562174236783321,0.0
2018-10-02,-0.7187515580595304,-1.4431370593807649,-0.1901081916537867,-0.8784962855860796,1.0,-0.7552974024031511,0.0
2018-10-03,-0.7202496878901373,-1.450187265917603,-0.19156054931335828,-0.8782022471910111,1.0,-0.753558052434457,0.0
2018-10-04,-0.7212296636390858,-1.446202215789999,-0.19238446950793492,-0.8792294640183651,1.0,-0.7514722028146521,0.0
2018-10-05,-0.7011994002998501,-1.4436281859070466,-0.16611694152923537,-0.9056971514242879,1.0,-0.7808595702148926,0.0
2018-10-08,-0.6983644160765933,-1.438964795053356,-0.16081579734716267,-0.9090954423057744,1.0,-0.7792460357036003,0.0
2018-10-09,-0.6962486281552429,-1.4405367654394894,-0.1544447770128704,-0.9129502145066348,1.0,-0.7843958894542552,0.0
2018-10-10,-0.6959756341122427,-1.4434291991212302,-0.15253644897143998,-0.913870581186339,1.0,-0.7871979229079288,0.0
2018-10-11,-0.6365437587590006,-1.4392789832310442,-0.072246653457691,-0.890735997680375,1.0,-0.7936983520997438,0.0
2018-10-12,-0.7087127431955018,-1.5042046076528834,-0.06448723690103,-0.9048614221028014,1.0,-0.7936010349803453,0.0
2018-10-15,-0.6846815492467558,-1.5513349574901805,-0.026251678019191566,-0.9076219360612539,1.0,-0.8020683140257544,0.0
2018-10-16,-0.6857157067542027,-1.548791405550582,-0.028548691932756394,-0.9079876653735204,1.0,-0.8025962399283797,0.0
2018-10-17,-0.665251756440281,-1.5012685402029662,-0.015368852459016393,-0.8953454332552694,1.0,-0.8018149882903982,0.0
2018-10-18,-0.7005578093306288,-1.5803245436105475,-0.0,-0.9358012170385397,1.0,-0.8543610547667343,0.0
2018-10-19,-0.6789571507509922,-1.5658311146832773,-0.0,-0.9320339579042548,1.0,-0.8464861606470085,0.0
