Date,IWF,IWM,LE,MTUM,SPY,VLUE,VXX
2018-09-24,-2.5879578682597075,-4.329822354975633,1.0,-1.0825341927369911,-3.3972645810407167,-3.3232196195566734,0.0
2018-09-25,-2.5903879378043033,-4.321815611748076,1.0,-1.0892099890058111,-3.3906078215800215,-3.3139626197581276,0.0
2018-09-26,-2.596377952755905,-4.331181102362205,1.0,-1.0900787401574803,-3.4014173228346456,-3.3289763779527557,0.0
2018-09-27,-2.595697911760088,-4.301774218872665,1.0,-1.0924791961061393,-3.3920552677029363,-3.31888836552049,0.0
2018-09-28,-2.5928134316648364,-4.300015691197239,1.0,-1.0919504158167268,-3.389612427428213,-3.316648360269889,0.0
2018-10-01,-2.5931910887982426,-4.297929086915595,1.0,-1.0925635393787259,-3.3892375274552866,-3.315971132726702,0.0
2018-10-02,-2.592598400501804,-4.291045946369767,1.0,-1.0956562647012704,-3.3874862788144897,-3.314411165124667,0.0
2018-10-03,-2.5916927899686524,-4.286990595611285,1.0,-1.0976489028213166,-3.385109717868339,-3.3125391849529784,0.0
2018-10-04,-2.6309128302483784,-4.304856826451511,1.0,-1.1142224331593102,-3.4363233665559245,-3.3338079417813637,0.0
2018-10-05,-2.603941513032422,-4.321837253655436,1.0,-1.059599491417673,-3.5011125238397964,-3.406865861411316,0.0
2018-10-08,-2.5824782951854774,-4.288239936858721,1.0,-1.0388318863456982,-3.4898184688239935,-3.385793212312549,0.0
2018-10-09,-2.581912878787879,-4.28772095959596,1.0,-1.0380366161616161,-3.489425505050505,-3.3855744949494953,0.0
2018-10-10,-2.584819315133344,-4.284835095471044,1.0,-1.0408710746409975,-3.4910841091999374,-3.3787281047814424,0.0
2018-10-11,-2.2223495702005733,-4.022063037249284,1.0,-0.667621776504298,-3.2098853868194843,-3.204727793696275,0.0
2018-10-12,-2.2189955106621775,-3.972783389450056,1.0,-0.619949494949495,-3.1181257014590353,-3.0993265993265995,0.0
2018-10-15,-2.153718780184904,-3.964123085414654,1.0,-0.5552642472747343,-3.0678901614461154,-3.0578170277356143,0.0
2018-10-16,-2.1535596026490067,-3.9624724061810155,1.0,-0.5571192052980132,-3.066777041942605,-3.056843267108168,0.0
2018-10-17,-2.0688542227003768,-3.8062130177514795,1.0,-0.46463152232383,-3.0381925766541156,-3.0701990317374936,0.0
2018-10-18,-2.0766734279918864,-3.8221771467207573,1.0,-0.46896551724137936,-3.064232589587559,-3.0906017579445573,0.0
2018-10-19,-1.9952693823915901,-3.71353482260184,1.0,-0.4080157687253614,-3.0014454664914587,-3.0223390275952693,0.0
2018-10-22,-1.9929226736566183,-3.69397116644823,1.0,-0.40209698558322404,-2.9982961992136303,-3.0187418086500655,0.0
2018-10-23,-2.0458862876254185,-3.7733779264214045,1.0,-0.4306354515050168,-3.051103678929766,-3.076923076923077,0.0
2018-10-24,-2.0497792051384987,-3.770774789241268,1.0,-0.4063963602301619,-3.0627592666934293,-3.091797136357554,0.0
2018-10-25,-1.891636919938807,-3.5615757266700667,1.0,-0.3154003059663437,-3.0369709331973485,-2.942886282508924,0.0
2018-10-26,-1.7930275229357795,-3.4173700305810395,1.0,-0.25015290519877675,-2.948012232415902,-2.8237308868501527,0.0
2018-10-29,-1.734461910519952,-3.4298669891172917,1.0,-0.19383313180169287,-2.9095525997581624,-2.8241837968561065,0.0
2018-10-30,-1.7127968977217645,-3.4443771206980127,1.0,-0.17304895782840524,-2.924866698982065,-2.863305865244789,0.0
2018-10-31,-1.6736618721999528,-3.3290497524168825,1.0,-0.165644895071917,-2.8423720820561185,-2.7789436453666587,0.0
2018-11-01,-1.6541272313406012,-3.4598059182939975,1.0,-0.10710434886785672,-2.910386965376782,-2.848927758476099,0.0
2018-11-02,-1.6395962915150806,-3.3419786410045775,1.0,-0.08614012439854478,-2.8778312404647344,-2.79016547353597,0.0
2018-11-05,-1.6369216241737488,-3.402620396600567,1.0,-0.08227101038715769,-2.899905571293673,-2.781869688385269,0.0
2018-11-06,-1.642528600070763,-3.405472343436726,1.0,-0.0797263828281637,-2.893383653732751,-2.772732633565279,0.0
2018-11-07,-1.6341492115791951,-3.399388091315604,1.0,-0.08554954106848671,-2.8832666509767004,-2.76500353024241,0.0
2018-11-08,-1.5512082853855005,-3.3721518987341774,1.0,-0.006329113924050633,-2.8289988492520135,-2.74867663981588,0.0
2018-11-09,-1.5494935543278083,-3.372352670349908,1.0,-0.008632596685082873,-2.831031307550645,-2.748618784530387,0.0
2018-11-12,-1.531402612152186,-3.3005110732538325,1.0,-0.002612152186257808,-2.8111300397501418,-2.711413969335605,0.0
