Date,CSX,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,1.0,-0.0,-0.20866728535673107,-0.01768891138670941,-0.0589161674962738,-0.0,-0.4523186816277173,-0.0,-0.05466970387243735,-0.08307320228352878,-0.1334964425321297,-0.0638656880114739,-0.3842346522680615,-0.0,-0.12998115807531144,-0.0,-0.22537191709553137,-0.0,-0.0
2019-01-03,1.0,-0.0,-0.20610343177275411,-0.024070268291996284,-0.06655218040032657,-0.0,-0.4566875932546944,-0.0,-0.05537569325187917,-0.07905182849581938,-0.12966977281045014,-0.0624700881168886,-0.3801694772106641,-0.0,-0.12882520199318712,-0.0,-0.22623236958418963,-0.0,-0.0
2019-01-04,1.0,-0.0,-0.22828288511308653,-0.005344885788229998,-0.07682570046134804,-0.0,-0.44987059750196917,-0.0,-0.036935973894452565,-0.09567345560931698,-0.14749071677731518,-0.052154832901991674,-0.3479520648137729,-0.0,-0.13989535276246204,-0.0,-0.23267131765500168,-0.0,-0.0
2019-01-07,1.0,-0.0,-0.19120516696440842,-0.04548577710595025,-0.1387110072832211,-0.0,-0.48335852686546654,-0.0,-0.0018414181668269891,-0.053648481517108694,-0.14596674453758415,-0.04361687508588704,-0.3287068847052357,-0.0,-0.12529888690394392,-0.0,-0.19060052219321147,-0.0,-0.0
2019-01-08,1.0,-0.0,-0.1498796647210158,-0.05007054137043902,-0.14354477302276689,-0.0,-0.4962792885003735,-0.0,-0.019696257157874354,-0.0605549254474536,-0.13081966306121884,-0.06542366317187198,-0.3188746576668788,-0.0,-0.12816398793880884,-0.0,-0.2029931671692163,-0.0,-0.0
2019-01-09,1.0,-0.0,-0.1436529604809575,-0.05308733901436805,-0.13714459060698825,-0.0,-0.5041228868481288,-0.0,-0.01955268746035686,-0.05471443148286038,-0.13173933427097984,-0.07412922975097212,-0.3157386724028571,-0.0,-0.128236948787954,-0.0,-0.19571991947271175,-0.0,-0.0
2019-01-10,1.0,-0.0,-0.14956746928205408,-0.05300567524381508,-0.13948426910573586,-0.0,-0.5031682186346355,-0.0,-0.012121879993388065,-0.04868036806435616,-0.13871287674252022,-0.0752934045952945,-0.3222767094605763,-0.0,-0.11609455066394841,-0.0,-0.19664995316546366,-0.0,-0.0
2019-01-11,1.0,-0.0,-0.14852002640845072,-0.05746588908450704,-0.1401573503521127,-0.0,-0.4999174735915493,-0.0,-0.011498679577464787,-0.04844300176056338,-0.13944212147887322,-0.07842759683098592,-0.31536091549295775,-0.0,-0.11853543133802817,-0.0,-0.19313930457746478,-0.0,-0.0
2019-01-14,1.0,-0.0,-0.15611570247933884,-0.0628099173553719,-0.13446280991735537,-0.0,-0.5057575757575757,-0.0,-0.0060881542699724525,-0.03785123966942149,-0.13484848484848486,-0.08575757575757577,-0.3137190082644628,-0.0,-0.13179063360881543,-0.0,-0.1855922865013774,-0.0,-0.0
2019-01-15,1.0,-0.0,-0.12879785017001205,-0.05341669408796754,-0.15092683996928813,-0.0,-0.5077053855434902,-0.0,-0.0,-0.04077547438850499,-0.13469342985631239,-0.10428320719534935,-0.32749259624876603,-0.0,-0.14138422726774158,-0.0,-0.15268180322474498,-0.0,-0.0
2019-01-16,1.0,-0.0,-0.12022245242898424,-0.03811133525980045,-0.1596968540428548,-0.0,-0.5011994983915817,-0.0,-0.010877269505479526,-0.02415353579412246,-0.13914181342347748,-0.08775421187503409,-0.370781309634153,-0.0,-0.1352161823237555,-0.0,-0.13897824546098905,-0.0,-0.0
2019-01-17,1.0,-0.0,-0.12165257703845103,-0.03776929370057267,-0.16004908644668664,-0.0,-0.5001363512407963,-0.0,-0.011153531497136623,-0.023506953913280608,-0.13850559040087265,-0.09102808835560403,-0.3694300518134715,-0.0,-0.13326970275429503,-0.0,-0.14052358876465776,-0.0,-0.0
2019-01-18,1.0,-0.0,-0.11857307123692713,-0.0389311723156108,-0.17204183321469638,-0.0,-0.5110058588402783,-0.0,-0.0,-0.04273668072058261,-0.13658763620434758,-0.10923725565350709,-0.32497399112960634,-0.0,-0.1411597218419756,-0.0,-0.14250123199912393,-0.0,-0.0
2019-01-22,1.0,-0.0,-0.1060384137073373,-0.02567362166643637,-0.19637971535166504,-0.0,-0.5339228962277187,-0.0,-0.0,-0.036755561696835706,-0.14271106812215006,-0.11275390355119526,-0.3333425452535581,-0.0,-0.1482934917783612,-0.0,-0.12770485007599836,-0.0,-0.0
2019-01-23,1.0,-0.0,-0.10545524926037549,-0.021649570050045624,-0.19592446152570026,-0.0,-0.5356540492714353,-0.0,-0.0,-0.03901346531368374,-0.1436945281610308,-0.11120634832858683,-0.3369369867558824,-0.0,-0.14933502917023808,-0.0,-0.12610943677938452,-0.0,-0.0
2019-01-24,1.0,-0.0,-0.10702924008962905,-0.0024620321447342943,-0.22075299455033334,-0.0,-0.5294752275304988,-0.0,-0.009405516058535505,-0.055464881462834376,-0.15826163932612244,-0.10813577139063321,-0.3246009571495754,-0.0,-0.12025228913662897,-0.0,-0.13048770367091758,-0.0,-0.0
2019-01-25,1.0,-0.0,-0.10530393160501342,-0.004648202971529757,-0.2225050493871566,-0.0,-0.5296461278809175,-0.0,-0.011592839553993858,-0.05422903466784716,-0.15781755803336747,-0.10751736159145617,-0.32163904490496087,-0.0,-0.12400741499045459,-0.0,-0.12785324959189887,-0.0,-0.0
2019-01-28,1.0,-0.0,-0.10957652920011071,-0.0,-0.21334071408801547,-0.0,-0.5404373097149183,-0.0,-0.026238582895101024,-0.05269858843066704,-0.15972875726543037,-0.10442845280929974,-0.3203155272626626,-0.0,-0.12142264046498753,-0.0,-0.11956822585109328,-0.0,-0.0
2019-01-29,1.0,-0.0,-0.10902297259894825,-0.0,-0.21364517021865484,-0.0,-0.5396069748131747,-0.0,-0.025159147522834213,-0.05339053418212013,-0.16006089122612788,-0.10434541931912537,-0.3221145862164406,-0.0,-0.11965125934126764,-0.0,-0.12086908386382507,-0.0,-0.0
2019-01-30,1.0,-0.0,-0.1148841725620752,-0.0,-0.21190178942987933,-0.0,-0.5421833818837564,-0.0,-0.020224719101123594,-0.06999583853516438,-0.1580246913580247,-0.11765848245248996,-0.2933832709113608,-0.0,-0.12079345262865863,-0.0,-0.1252600915522264,-0.0,-0.0
2019-01-31,1.0,-0.0,-0.1119820518502105,-0.0,-0.22875581653002436,-0.0,-0.5409372922667848,-0.0,-0.01847440726789275,-0.06844116995346776,-0.15593840017726568,-0.12004210059827164,-0.2878905384444937,-0.0,-0.11771548858852204,-0.0,-0.11957123864391757,-0.0,-0.0
2019-02-01,1.0,-0.0,-0.10658047405934029,-0.0043096303663185806,-0.2129675672689099,-0.0,-0.618100447538538,-0.0,-0.1009448035803083,-0.0,-0.1510028178352395,-0.1419691695673794,-0.254931211669153,-0.0,-0.08097132438256256,-0.0,-0.09083374772086855,-0.0,-0.0
2019-02-04,1.0,-0.0,-0.10506245164142809,-0.003205482480380237,-0.21355145352050406,-0.0,-0.6208964297557201,-0.0,-0.10127666629822042,-0.0,-0.15516193213219853,-0.14239526914999448,-0.25270808002652817,-0.0,-0.07897645628385101,-0.0,-0.09011274455620648,-0.0,-0.0
2019-02-05,1.0,-0.0,-0.11226467331118493,-0.0,-0.21566998892580286,-0.0,-0.6269656699889258,-0.0,-0.08715393133997786,-0.0,-0.15160575858250278,-0.1396733111849391,-0.26636212624584715,-0.0,-0.08150609080841639,-0.0,-0.08734772978959025,-0.0,-0.0
2019-02-06,1.0,-0.0,-0.10752211162558573,-0.0,-0.22094989879945656,-0.0,-0.6293287492721878,-0.0,-0.09108048908974962,-0.0,-0.15058086339312945,-0.1324479441040286,-0.2741841572628719,-0.0,-0.07760556741619763,-0.0,-0.08894557351595642,-0.0,-0.0
2019-02-07,1.0,-0.0,-0.10818154093542931,-0.0,-0.22016135739831985,-0.0,-0.6281294186143226,-0.0,-0.09043777204801907,-0.0,-0.15021209348748232,-0.13277329562782444,-0.27511159167151844,-0.0,-0.07823893093792453,-0.0,-0.08924561257589621,-0.0,-0.0
2019-02-08,1.0,-0.0,-0.11005676758682102,-0.0,-0.24329363312555652,-0.0,-0.630203695458593,-0.0,-0.07997551202137133,-0.0,-0.1365761353517364,-0.1321794300979519,-0.281333481745325,-0.0,-0.06572796081923418,-0.0,-0.10335040071237755,-0.0,-0.0
2019-02-11,1.0,-0.0,-0.11313024331781822,-0.0,-0.23682376877839406,-0.0,-0.637698932523203,-0.0,-0.08099445358008862,-0.0,-0.13473062236963126,-0.12787424398673317,-0.28175255720616516,-0.0,-0.06998522812787425,-0.0,-0.10418350567184145,-0.0,-0.0
2019-02-12,1.0,-0.0,-0.11539748020961087,-0.0,-0.23798639759170473,-0.0,-0.6335154420782696,-0.0,-0.0800813914594715,-0.0,-0.13504850039023303,-0.12755045155535735,-0.28222209833872225,-0.0,-0.07110603188761289,-0.0,-0.10447095551343516,-0.0,-0.0
2019-02-13,1.0,-0.0,-0.11349246371939262,-0.0,-0.24149717039278312,-0.0,-0.6296576455426682,-0.0,-0.09533815207037598,-0.0,-0.13374796884630472,-0.13063820249901945,-0.27648904577800193,-0.0,-0.07396201042191966,-0.0,-0.1067406286770886,-0.0,-0.0
2019-02-14,1.0,-0.0,-0.11726923400555353,-0.0,-0.23437017922755446,-0.0,-0.6322609598070289,-0.0,-0.10074888508680896,-0.0,-0.12848848624239192,-0.13336886096541667,-0.27243149244102877,-0.0,-0.07382267971839676,-0.0,-0.11205228171542365,-0.0,-0.0
2019-02-15,1.0,-0.0,-0.13818059412606246,-0.0,-0.22727145221464837,-0.0,-0.638699542764173,-0.0,-0.10188224073606553,-0.0,-0.13916238884681198,-0.11467362338354513,-0.26519677971331596,-0.0,-0.05450363264046677,-0.0,-0.12555751914499708,-0.0,-0.0
2019-02-19,1.0,-0.0,-0.13469227973044767,-0.0,-0.22691049408606662,-0.0,-0.6418924586863518,-0.0,-0.10144562816318542,-0.0,-0.13846713083354306,-0.10222856024382743,-0.2729357156838073,-0.0,-0.05133797500209714,-0.0,-0.1262757598635461,-0.0,-0.0
2019-02-20,1.0,-0.0,-0.1320391061452514,-0.0,-0.22765363128491622,-0.0,-0.6447206703910614,-0.0,-0.09558659217877095,-0.0,-0.1376536312849162,-0.10310055865921788,-0.27977653631284916,-0.0,-0.04871508379888269,-0.0,-0.1240782122905028,-0.0,-0.0
2019-02-21,1.0,-0.0,-0.13876923076923078,-0.0,-0.22844755244755247,-0.0,-0.6426013986013986,-0.0,-0.10243356643356644,-0.0,-0.13756643356643358,-0.10041958041958043,-0.27051748251748253,-0.0,-0.04559440559440559,-0.0,-0.13085314685314686,-0.0,-0.0
