Date,COOP,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.9814856883234895,-2.318378009995457,-1.7305770104497957,-2.1653793730122675,-2.162653339391186,0.0
2018-09-25,1.0,-1.9891799544419133,-2.324373576309795,-1.7380410022779045,-2.1709567198177675,-2.166970387243736,0.0
2018-09-26,1.0,-1.988953422161485,-2.3241088714269447,-1.7378430702653458,-2.170709486391072,-2.166723607789546,0.0
2018-09-27,1.0,-1.9907755380936112,-2.3200091105796607,-1.7393235394601982,-2.171278897619861,-2.1668374900353036,0.0
2018-09-28,1.0,-1.98975059788179,-2.3209201685457237,-1.7394374217059558,-2.171165015374103,-2.1669513722810616,0.0
2018-10-01,1.0,-1.989864480127548,-2.3208062862999657,-1.7394374217059558,-2.171165015374103,-2.1668374900353036,0.0
2018-10-02,1.0,-1.9896378956957415,-2.32122523343202,-1.7392393532225006,-2.1705761785470283,-2.1662491459804145,0.0
2018-10-03,1.0,-1.9875995449374289,-2.315244596131968,-1.737428896473265,-2.1698521046643915,-2.1664391353811148,0.0
2018-10-04,1.0,-1.98703661587446,-2.313622924721401,-1.735956333863998,-2.1696611325904023,-2.1651125767568797,0.0
2018-10-05,1.0,-1.9705582606726306,-2.3023440154002945,-1.7173593024572527,-2.1678179141660063,-2.1656664024459293,0.0
2018-10-08,1.0,-1.964531797130916,-2.2951541850220267,-1.710154749802327,-2.1650288037953236,-2.160736473511804,0.0
2018-10-09,1.0,-1.9639710865145696,-2.295120849333635,-1.7090580528574657,-2.1651231081996842,-2.1609442060085837,0.0
2018-10-10,1.0,-1.9636445749124987,-2.294004742011968,-1.7088178841594222,-2.164502653268601,-2.159534831206955,0.0
2018-10-11,1.0,-1.8754679585994276,-2.274829332746091,-1.5853336269544154,-2.1264038757982826,-2.1487557806650517,0.0
2018-10-12,1.0,-1.8841966347740022,-2.2795557021884965,-1.5782470031892666,-2.1182228087539867,-2.1371384581546247,0.0
2018-10-15,1.0,-1.869435874834729,-2.3221683561040107,-1.5500220361392685,-2.125275451740855,-2.1511679153812255,0.0
2018-10-16,1.0,-1.8653020798943545,-2.324749642346209,-1.543963904478926,-2.1223726202266975,-2.1483437878287663,0.0
2018-10-17,1.0,-1.8615401588702558,-2.3154236540158872,-1.525044130626655,-2.1458517210944397,-2.1847969991173875,0.0
2018-10-18,1.0,-1.8637217007178353,-2.3187189398122583,-1.526118166758697,-2.1478741027056873,-2.1871893981225843,0.0
2018-10-19,1.0,-1.8347902097902098,-2.2933784965034962,-1.4943181818181817,-2.1326486013986012,-2.1713286713286712,0.0
2018-10-22,1.0,-1.838967290230828,-2.2906684170222076,-1.489443168143529,-2.141013018269336,-2.1795208401706594,0.0
2018-10-23,1.0,-1.8389849048348281,-2.2903084664187268,-1.4897177860424415,-2.1404506672500547,-2.179063662218333,0.0
2018-10-24,1.0,-1.8398424680013126,-2.2891368559238594,-1.4838639098566897,-2.143529154359479,-2.183240345695219,0.0
2018-10-25,1.0,-1.7456380071473618,-2.184885431994955,-1.4021442085347906,-2.082825310069371,-2.0953331931889845,0.0
2018-10-26,1.0,-1.7120787973043028,-2.1552099533437015,-1.3619491964748576,-2.0686365992742357,-2.070191809227579,0.0
2018-10-29,1.0,-1.6833025261860755,-2.147360854384884,-1.3324091189155884,-2.0472376257958516,-2.0588416512630934,0.0
2018-10-30,1.0,-1.674635747999179,-2.1474451056843833,-1.325056433408578,-2.0475066694028317,-2.06597578493741,0.0
2018-10-31,1.0,-1.65969118244616,-2.115400243803332,-1.3079032913449817,-2.029764323445754,-2.045713124746038,0.0
2018-11-01,1.0,-1.6421127188100777,-2.1227360113325915,-1.2874633208539916,-2.024182940402712,-2.0417889304866943,0.0
2018-11-02,1.0,-1.6514875531268973,-2.1018012548067193,-1.2815219591175875,-2.0394656952034,-2.0451325642582474,0.0
2018-11-05,1.0,-1.6474274739714951,-2.1062367330435663,-1.2794905488729404,-2.0368947740826844,-2.038107752956636,0.0
2018-11-06,1.0,-1.6493178372915616,-2.108034360788277,-1.2780192016169782,-2.035270338554826,-2.0354724608388075,0.0
2018-11-07,1.0,-1.6471360743509447,-2.1078896858268514,-1.278816042024447,-2.0337407818971616,-2.034548944337812,0.0
2018-11-08,1.0,-1.6155773857257418,-2.1091619887730553,-1.23827185244587,-2.023656776263031,-2.0374899759422616,0.0
2018-11-09,1.0,-1.6315842787682333,-2.135737439222042,-1.2501012965964344,-2.050141815235008,-2.0620948136142627,0.0
2018-11-12,1.0,-1.6226833199033037,-2.1127115229653506,-1.2410354552780016,-2.045024174053183,-2.0509669621273168,0.0
2018-11-13,1.0,-1.5841358085972401,-2.0904397895363847,-1.1963665243720838,-2.0266057778219,-2.030080412985208,0.0
2018-11-14,1.0,-1.5846321850491414,-2.0900426883748633,-1.1964657996624641,-2.0267050531122806,-2.0298818624044475,0.0
2018-11-15,1.0,-1.5825319718449489,-2.0892237533458906,-1.192425894715971,-2.0266679885000496,-2.0229007633587788,0.0
2018-11-16,1.0,-1.5726124704025255,-2.074388318863457,-1.1818271507498026,-2.01844909234412,-2.0185477505919494,0.0
2018-11-19,1.0,-1.5728241563055063,-2.0748963883955005,-1.1822577462009078,-2.018847444247089,-2.0190447996842313,0.0
2018-11-20,1.0,-1.5276641340346775,-2.0526982271576077,-1.1311124098967464,-2.0075004870446134,-2.0218195986752385,0.0
2018-11-21,1.0,-1.51650260567458,-2.0338737695425593,-1.1203435630187222,-1.991121405134144,-1.9888052499517468,0.0
2018-11-23,1.0,-1.5144564379336931,-2.023515805705474,-1.1203739398612182,-1.9919043947571318,-1.9874710871241323,0.0
2018-11-26,1.0,-1.5126131330637396,-2.023782014249952,-1.118524937415752,-1.9889274022722898,-1.9844983631812054,0.0
2018-11-27,1.0,-1.49151411136537,-2.012967200610221,-1.0895308924485125,-1.9726353928299007,-1.9680587337909994,0.0
2018-11-28,1.0,-1.491465624106036,-2.014780204062172,-1.0893487174597118,-1.9722513588252122,-1.9678649756841804,0.0
2018-11-29,1.0,-1.4522688759179063,-1.9938806251176804,-1.0446243645264546,-1.960459423837319,-1.9632837507060819,0.0
2018-11-30,1.0,-1.4522173053384804,-1.9943508144242539,-1.044157800583749,-1.9609264664344226,-1.9637510592222955,0.0
2018-12-03,1.0,-1.4490736386720586,-1.9939810025392646,-1.0381830151415405,-1.9603122354932756,-1.9630395937176714,0.0
