Date,IWF,IWM,MTUM,NTRA,SPY,VLUE,VXX
2018-09-24,-1.12310682756945,-2.360006479306714,-0.28614238276504417,1.0,-1.7334575200453552,-1.5964201830404148,0.0
2018-09-25,-1.1239074134023954,-2.3567497572029783,-0.2887665911298155,1.0,-1.7307381029459372,-1.592991259307219,0.0
2018-09-26,-1.144833797281808,-2.3908629441624365,-0.3049778942197478,1.0,-1.7504503029310627,-1.5962010807270346,0.0
2018-09-27,-1.145414418832761,-2.380660454471146,-0.3068497629556972,1.0,-1.747670426679745,-1.5933464116396925,0.0
2018-09-28,-1.197725510467821,-2.5307142241750666,-0.33479796674420603,1.0,-1.8547428276040319,-1.6975101232015164,0.0
2018-10-01,-1.2205520393811533,-2.591596343178622,-0.34528832630098455,1.0,-1.8938994374120957,-1.7390998593530238,0.0
2018-10-02,-1.22680049304455,-2.565768621236133,-0.3570170804719141,1.0,-1.904560662088396,-1.7503081528438105,0.0
2018-10-03,-1.2257411806105394,-2.559514383742412,-0.3570863024544735,1.0,-1.9040204099586524,-1.7511216679862762,0.0
2018-10-04,-1.2288701458443154,-2.5476190476190474,-0.35837286944298014,1.0,-1.907046213319276,-1.7438938675101037,0.0
2018-10-05,-1.1986056644880174,-2.5304575163398693,-0.3257516339869281,1.0,-1.9106753812636166,-1.749193899782135,0.0
2018-10-08,-1.206975113915177,-2.5464423413950232,-0.3293901156677182,1.0,-1.9198212407991588,-1.7600771118121277,0.0
2018-10-09,-1.2085744345081537,-2.5484832544274942,-0.3309661581623707,1.0,-1.9200420831141505,-1.7592495177976504,0.0
2018-10-10,-1.2143609550561798,-2.548630617977528,-0.33567415730337086,1.0,-1.9252984550561798,-1.7541257022471912,0.0
2018-10-11,-1.0660741237632063,-2.5296830454469226,-0.14095254066744925,1.0,-1.8764044943820224,-1.771926882441724,0.0
2018-10-12,-1.0633150168129253,-2.498236693184614,-0.11810054949561223,1.0,-1.8180923480685638,-1.7036004264742064,0.0
2018-10-15,-1.0345165238678091,-2.530966952264382,-0.07858017135862913,1.0,-1.8128110975112197,-1.7030599755201958,0.0
2018-10-16,-1.0373274524217921,-2.5276484521767544,-0.08314955484766806,1.0,-1.8147512864493995,-1.7050559503389693,0.0
2018-10-17,-0.9850758117011987,-2.4201000238151944,-0.04072398190045249,1.0,-1.7880447725648965,-1.7043740573152337,0.0
2018-10-18,-0.9833293641343177,-2.41740096848456,-0.04191474160514408,1.0,-1.7909025958561562,-1.7047709772167976,0.0
2018-10-19,-0.9549079996841191,-2.404880360104241,-0.0024480770749427468,1.0,-1.8152096659559347,-1.7195767195767198,0.0
2018-10-22,-0.9558080808080809,-2.3904671717171717,-0.0,1.0,-1.8205492424242424,-1.7245896464646466,0.0
2018-10-23,-0.9647597977243995,-2.3937262958280656,-0.003713653603034134,1.0,-1.8161346396965865,-1.7230562579013906,0.0
2018-10-24,-0.9605429292929293,-2.392124368686869,-0.0,1.0,-1.815972222222222,-1.7227746212121213,0.0
2018-10-25,-0.8530246452576551,-2.2392830470500376,-0.0,1.0,-1.770873786407767,-1.6050784167289023,0.0
2018-10-26,-0.8064634594197576,-2.1965479250826294,-0.0,1.0,-1.767976496511201,-1.573925817113478,0.0
2018-10-29,-0.7576089336544778,-2.2153127508940957,-0.0,1.0,-1.7450551054667542,-1.580760528428582,0.0
2018-10-30,-0.7588699080157688,-2.215797926704629,-0.0,1.0,-1.7454372901153454,-1.5802306906117682,0.0
2018-10-31,-0.7565969718817593,-2.1696467195385725,-0.0,1.0,-1.7262436914203318,-1.557317952415285,0.0
2018-11-01,-0.7565443138386098,-2.170188216629408,-0.0,1.0,-1.726977716881806,-1.5576548640657677,0.0
2018-11-02,-0.7694293088614855,-2.102523659305994,-0.0,1.0,-1.7493547462001722,-1.5481072555205049,0.0
2018-11-05,-0.7624713302752294,-2.1220613532110093,-0.0,1.0,-1.7500716743119265,-1.5328268348623852,0.0
2018-11-06,-0.7869361241429087,-2.15351858534825,-0.0,1.0,-1.7517863587152653,-1.5253699025622518,0.0
2018-11-07,-0.7873064119264728,-2.162686351136199,-0.0,1.0,-1.755246779562889,-1.5315530467506153,0.0
2018-11-08,-0.7188553395969304,-2.1709818546941118,-0.0,1.0,-1.7357813956824213,-1.5464390733701499,0.0
2018-11-09,-0.7228292121909143,-2.1753162737205294,-0.0,1.0,-1.7386428982173665,-1.5512507188039104,0.0
2018-11-12,-0.7955704391506202,-2.3206484511758885,-0.0,1.0,-1.8280691072379935,-1.6667174061952963,0.0
2018-11-13,-0.7416185404635115,-2.3028575714392856,-0.0,1.0,-1.8131703292582313,-1.642541063526588,0.0
2018-11-14,-0.7429878506074697,-2.3015599220039,-0.0,1.0,-1.8132593370331485,-1.641817909104545,0.0
2018-11-15,-0.7388863942523575,-2.3002544529262092,-0.0,1.0,-1.8121538691812604,-1.63254003891633,0.0
2018-11-16,-0.7320670391061452,-2.2817877094972063,-0.0,1.0,-1.8033519553072626,-1.6315828677839852,0.0
