Date,IWF,IWM,MTUM,SPY,VLUE,VRSN,VXX
2018-09-24,-0.4076828420095233,-0.44756834840297466,-0.2745973998180943,-0.35024878283665933,-0.19498689208710074,1.0,0.0
2018-09-25,-0.40704553363492785,-0.44875123805444767,-0.2732553470567765,-0.35133977567791846,-0.19648258693149878,1.0,0.0
2018-09-26,-0.40811954367736064,-0.45016335493546145,-0.27537357399175194,-0.35097209576348354,-0.19332119329441383,1.0,0.0
2018-09-27,-0.4073885418621485,-0.45344628830326267,-0.27457708908608347,-0.35149191710677996,-0.19396262834776545,1.0,0.0
2018-09-28,-0.4061234885653771,-0.4544625861283144,-0.274806295074935,-0.3514571436231535,-0.19418751172953697,1.0,0.0
2018-10-01,-0.40571198712791634,-0.45516224188790555,-0.27495307052829177,-0.3513542504692947,-0.19450254759989272,1.0,0.0
2018-10-02,-0.40558446435277085,-0.4561718791910305,-0.27471702161901185,-0.351215063569551,-0.1945711067002843,1.0,0.0
2018-10-03,-0.40668351435638234,-0.464109043983224,-0.2755941499085923,-0.3502527153457361,-0.19182170125819978,1.0,0.0
2018-10-04,-0.4082504703036818,-0.46092448266595004,-0.27583982800322493,-0.35243214189733946,-0.19000268744961032,1.0,0.0
2018-10-05,-0.40694556181281843,-0.4595333869670153,-0.2738535800482703,-0.3528023598820059,-0.18854920890319118,1.0,0.0
2018-10-08,-0.4063161278225698,-0.4581201617871588,-0.27273457798730344,-0.35360137144081644,-0.18782310556344253,1.0,0.0
2018-10-09,-0.41238971379384554,-0.46126533247256296,-0.2827630729502905,-0.3511674198407575,-0.18229502905100065,1.0,0.0
2018-10-10,-0.41180763928310765,-0.4682507501419188,-0.2788095045008515,-0.35366150352769443,-0.19071175627821482,1.0,0.0
2018-10-11,-0.4060132258841798,-0.46643998821986027,-0.26987229257583467,-0.34906695938529086,-0.1858852507295655,1.0,0.0
2018-10-12,-0.4124731410987611,-0.4616017189696792,-0.2712947979945354,-0.3375069634188397,-0.16988089237870385,1.0,0.0
