Date,IWF,IWM,MTUM,SNE,SPY,VLUE,VXX
2018-09-24,-0.5158571584262723,-0.7510444291059687,-0.14814545718748862,1.0,-0.6781705234860319,-0.5396156500890035,0.0
2018-09-25,-0.5165589367419565,-0.7498729028978138,-0.14957513254412083,1.0,-0.6771370469896143,-0.5381654441135885,0.0
2018-09-26,-0.5242782392330492,-0.7630721943722786,-0.15770792930586558,1.0,-0.6819861685389147,-0.5320721577811117,0.0
2018-09-27,-0.5316956920256646,-0.7526672777268562,-0.16175985334555454,1.0,-0.6855362053162237,-0.5347387717690193,0.0
2018-09-28,-0.5307401840378341,-0.7531620046192763,-0.1621879238919236,1.0,-0.6852293140741283,-0.5347362246581369,0.0
2018-10-01,-0.5303113856108231,-0.7589794492849528,-0.16300871291496638,1.0,-0.6865556413367156,-0.53748023969707,0.0
2018-10-02,-0.5304172027200882,-0.7563315566991361,-0.1642712736629296,1.0,-0.6867487594192243,-0.5380260981437236,0.0
2018-10-03,-0.5307443365695793,-0.7583848190644307,-0.16475433951162108,1.0,-0.6863783465725214,-0.5372536040011768,0.0
2018-10-04,-0.5445317131001779,-0.7526674570243035,-0.1658269116775341,1.0,-0.7065797273266153,-0.5351956135151156,0.0
2018-10-05,-0.5399874404344133,-0.7496583059362417,-0.1580288870008496,1.0,-0.7098370950463595,-0.5365150899486536,0.0
2018-10-08,-0.5382969303423849,-0.7464580873671782,-0.15311393152302244,1.0,-0.7150974025974025,-0.5365628689492326,0.0
2018-10-09,-0.5379081350304372,-0.7466150156797638,-0.15185390149418926,1.0,-0.7157351042243129,-0.5372071573510422,0.0
2018-10-10,-0.5424399260628465,-0.7463216266173752,-0.1555637707948244,1.0,-0.7197412199630314,-0.5327911275415896,0.0
2018-10-11,-0.5035216328877389,-0.7386804657179817,-0.09910881126922523,1.0,-0.7106152077044703,-0.5415768290929999,0.0
2018-10-12,-0.5138031367539564,-0.7298985167837626,-0.09530906252217726,1.0,-0.6925697253566105,-0.5167837626854019,0.0
