Date,IWF,IWM,MTUM,SAIA,SPY,VLUE,VXX
2018-09-24,-0.46358683140204127,-1.062696646458445,-0.0,1.0,-0.6603867700099763,-0.6503338193538485,0.0
2018-09-25,-0.4656924788094964,-1.0614812257891304,-0.0,1.0,-0.6595712039274345,-0.6486403559237525,0.0
2018-09-26,-0.4672958146315264,-1.063068247209115,-0.0,1.0,-0.6596079334023862,-0.6459124563624505,0.0
2018-09-27,-0.472508920692169,-1.0528335187814142,-0.003683382572996202,1.0,-0.6610904347158808,-0.6467405901085831,0.0
2018-09-28,-0.4684650017316351,-1.0612998807095855,-0.004887058914072422,1.0,-0.663793435179128,-0.6496325085619733,0.0
2018-10-01,-0.46896525185669763,-1.0604533035748644,-0.005079462808327241,1.0,-0.6639858390733829,-0.6495555470042714,0.0
2018-10-02,-0.46937519236688213,-1.0555940289319792,-0.007232994767620807,1.0,-0.6646660510926439,-0.6504693751923669,0.0
2018-10-03,-0.47674237710018663,-1.0866910392034848,-0.01085096453018046,1.0,-0.6677815805849409,-0.647207529558183,0.0
2018-10-04,-0.4768997433304815,-1.0858676207513418,-0.011472349692774365,1.0,-0.6677685307614529,-0.6469238547094968,0.0
2018-10-05,-0.4752633010765225,-1.0905522521472155,-0.0038474991255683807,1.0,-0.6691539388286503,-0.6475457619214178,0.0
2018-10-08,-0.4803131115459882,-1.1015264187866929,-0.006379647749510763,1.0,-0.6720939334637965,-0.6535812133072407,0.0
2018-10-09,-0.4827059422617415,-1.1026283834071056,-0.010576207450350582,1.0,-0.6705315523522268,-0.6506717850287908,0.0
2018-10-10,-0.4822597718273415,-1.105029991766966,-0.00878190300701768,1.0,-0.6711490963264986,-0.6533108558434939,0.0
2018-10-11,-0.4046092796092796,-1.1017628205128207,-0.0,1.0,-0.6441544566544567,-0.6650641025641026,0.0
2018-10-12,-0.4110884969093924,-1.0972033770541232,-0.0,1.0,-0.6210990502035277,-0.6396426956128448,0.0
2018-10-15,-0.3837502350949784,-1.1232649990596202,-0.0,1.0,-0.6148580026330638,-0.6396088019559902,0.0
2018-10-16,-0.3886168449600723,-1.1183139972879312,-0.0,1.0,-0.6175983124905831,-0.6422329365677264,0.0
2018-10-17,-0.3689637267265039,-1.0826719086121206,-0.0,1.0,-0.6104517469030486,-0.6468362881091907,0.0
2018-10-18,-0.3695676377806643,-1.0848394878456113,-0.0,1.0,-0.6096121729448877,-0.6472072740768231,0.0
2018-10-19,-0.35734572682674925,-1.0795986868798642,-0.0,1.0,-0.6073918335730885,-0.6442403452473165,0.0
2018-10-22,-0.3591780923167892,-1.0869950848146643,-0.0,1.0,-0.6062308289293765,-0.6432240659300048,0.0
2018-10-23,-0.3615370404581563,-1.086938850914465,-0.0,1.0,-0.6042120820247553,-0.6421208202475522,0.0
2018-10-24,-0.3599290780141844,-1.0881353427895981,-0.0,1.0,-0.603834219858156,-0.6419178486997635,0.0
