Date,IWF,IWM,MAT,MTUM,SPY,VLUE,VXX
2018-09-24,-0.8748450285147533,-1.7805603768906522,1.0,-0.0,-1.347694024299529,-1.1957599801636498,0.0
2018-09-25,-0.8748055503702321,-1.788998817746251,1.0,-0.0,-1.3545516769336072,-1.2040321075228673,0.0
2018-09-26,-0.8765247697286532,-1.7907642519293006,1.0,-0.0,-1.3547423450336074,-1.2014563106796117,0.0
2018-09-27,-0.8815012738457716,-1.777356614677189,1.0,-0.0,-1.3544398185546511,-1.200584104890325,0.0
2018-09-28,-0.879209643345346,-1.7793587672424507,1.0,-0.0,-1.3541692556232137,-1.200758046476948,0.0
2018-10-01,-0.8848526387936944,-1.7811701663655057,1.0,-0.0,-1.3602716680166989,-1.204623341018132,0.0
2018-10-02,-0.8956380452443445,-1.7574053243344585,1.0,-0.0,-1.3759530058742657,-1.2202849643794527,0.0
2018-10-03,-0.9047888742055251,-1.7823925492417092,1.0,-0.0,-1.382669435529545,-1.2230822478132277,0.0
2018-10-04,-0.9126329703531189,-1.7719519103669665,1.0,-0.0,-1.3924592434065588,-1.217347516837666,0.0
2018-10-05,-0.8934067308895284,-1.7601025897660454,1.0,-0.0,-1.3885274615288377,-1.2134367571625173,0.0
2018-10-08,-0.8863920099875154,-1.7518102372034956,1.0,-0.0,-1.3935081148564294,-1.2104868913857678,0.0
2018-10-09,-0.8822501092589123,-1.752013485671474,1.0,-0.0,-1.3953299619154647,-1.213710432665293,0.0
2018-10-10,-0.8836411280259546,-1.749937609183928,1.0,-0.0,-1.395744946343898,-1.209757923633641,0.0
2018-10-11,-0.7294540738120505,-1.68063907558071,1.0,-0.0,-1.307746727980191,-1.1776323546751564,0.0
2018-10-12,-0.7512539367782574,-1.6774757961040474,1.0,-0.0,-1.2722500874839613,-1.1313425871923481,0.0
2018-10-15,-0.7249303621169917,-1.6913881151346333,1.0,-0.0,-1.2619545032497679,-1.1248839368616528,0.0
2018-10-16,-0.7180514428380654,-1.7041746501770887,1.0,-0.0,-1.2604656563897114,-1.123497648493294,0.0
2018-10-17,-0.6700978737765778,-1.6093486331420856,1.0,-0.0,-1.2295533805827428,-1.1158735515806053,0.0
2018-10-18,-0.6692346623179442,-1.60788393409436,1.0,-0.0,-1.230501040319406,-1.1157285047517294,0.0
2018-10-19,-0.6428927957406688,-1.5817758305141147,1.0,-0.0,-1.220231822971549,-1.101159114857745,0.0
2018-10-22,-0.6428214939277991,-1.5679587423057728,1.0,-0.0,-1.227028226030056,-1.1075805467753563,0.0
2018-10-23,-0.6440490049337547,-1.5674926548034815,1.0,-0.0,-1.225455956538611,-1.1065469261045513,0.0
2018-10-24,-0.6403829127932714,-1.562749003984064,1.0,-0.0,-1.2243802567507747,-1.105909694555113,0.0
2018-10-25,-0.5664111717765644,-1.4505984880302394,1.0,-0.0,-1.2091558168836622,-1.0237295254094918,0.0
2018-10-26,-0.537261162898491,-1.4150486686923829,1.0,-0.0,-1.2001854045424112,-0.9976309419580779,0.0
2018-10-29,-0.5114924915721728,-1.4176626826029217,1.0,-0.0,-1.1836244764531616,-0.9949943814485647,0.0
2018-10-30,-0.5013781135157207,-1.4170069416088198,1.0,-0.0,-1.1832890975908534,-1.0024499795835033,0.0
2018-10-31,-0.5032277587250352,-1.3833972160580996,1.0,-0.0,-1.1698608029049828,-0.9868872301795439,0.0
2018-11-01,-0.46605671536167415,-1.4206136581913764,1.0,-0.0,-1.1745438002325228,-0.9936308952130617,0.0
2018-11-02,-0.4679664338475454,-1.4005326365509272,1.0,-0.0,-1.1707954374152054,-0.9855283654087734,0.0
2018-11-05,-0.46051638230409175,-1.4270471588907343,1.0,-0.0,-1.175499521868237,-0.9699028637576123,0.0
2018-11-06,-0.470920270134059,-1.4373047071867755,1.0,-0.0,-1.1706481201491783,-0.9609918355004534,0.0
2018-11-07,-0.46946891517744777,-1.4368990687138186,1.0,-0.0,-1.167933551472439,-0.9596778253209163,0.0
2018-11-08,-0.42171491097184927,-1.4368845120859446,1.0,-0.0,-1.1493584004774695,-0.9656818860041779,0.0
2018-11-09,-0.42709896927849494,-1.4458621034724306,1.0,-0.0,-1.1557590313219253,-0.9747823476433503,0.0
2018-11-12,-0.42471675611210497,-1.422679387795667,1.0,-0.0,-1.155883522162592,-0.9658616577221227,0.0
2018-11-13,-0.377845668670543,-1.4219473736079629,1.0,-0.0,-1.1659603823790283,-0.9618113728195525,0.0
2018-11-14,-0.37808543134453365,-1.4214908607183327,1.0,-0.0,-1.1657387791299205,-0.9615214071044982,0.0
2018-11-15,-0.37622253894923086,-1.420700840418735,1.0,-0.0,-1.1665601808620434,-0.951295031208532,0.0
2018-11-16,-0.37407570638068655,-1.410312913177611,1.0,-0.0,-1.1613045394446893,-0.9511777092209001,0.0
2018-11-19,-0.3743818244136513,-1.4101258385153994,1.0,-0.0,-1.1609949566665034,-0.9509376683151349,0.0
2018-11-20,-0.33179768197468595,-1.396198050531012,1.0,-0.0,-1.1584792202124048,-0.9629988846321711,0.0
2018-11-21,-0.3356934411328517,-1.3808065827871598,1.0,-0.0,-1.1462947902214993,-0.9211596421566283,0.0
2018-11-23,-0.3365490233535508,-1.3712211662448064,1.0,-0.0,-1.1475715172644347,-0.9204833086584842,0.0
2018-11-26,-0.3353006093757497,-1.3930233674007966,1.0,-0.0,-1.149273067511156,-0.9206851878508708,0.0
2018-11-27,-0.3240630506214581,-1.3906852707271775,1.0,-0.0,-1.1380541930568122,-0.909281394352112,0.0
2018-11-28,-0.3236947408536585,-1.3952934451219512,1.0,-0.0,-1.1361947408536586,-0.9085365853658537,0.0
2018-11-29,-0.26745829799264914,-1.3792762227876734,1.0,-0.0,-1.1392422957308455,-0.9261615304872303,0.0
2018-11-30,-0.26813508159607585,-1.3819922648806717,1.0,-0.0,-1.1436185265540988,-0.9227431374398642,0.0
2018-12-03,-0.2662897526501767,-1.381389870435807,1.0,-0.0,-1.142379269729093,-0.9214134275618374,0.0
2018-12-04,-0.2530635241091131,-1.3874360298605568,1.0,-0.0,-1.136485280999108,-0.9180243203906286,0.0
2018-12-06,-0.23866823486836153,-1.288383244368045,1.0,-0.0,-1.1308694472089025,-0.8657830453270605,0.0
2018-12-07,-0.24747406098500296,-1.2896561098273753,1.0,-0.0,-1.1331611617054054,-0.8604956730551403,0.0
2018-12-10,-0.21200892857142856,-1.2907589285714285,1.0,-0.0,-1.128392857142857,-0.8331696428571428,0.0
2018-12-11,-0.1903969039690397,-1.3095580955809558,1.0,-0.0,-1.1343263432634327,-0.8657636576365764,0.0
2018-12-12,-0.18813666276029928,-1.3123591454070134,1.0,-0.0,-1.1358063643739296,-0.8709997295591815,0.0
2018-12-13,-0.18788533369335314,-1.3062418433013816,1.0,-0.0,-1.1384726159938796,-0.8676477206246344,0.0
2018-12-14,-0.1828249818445897,-1.3393246187363836,1.0,-0.0,-1.138026506899056,-0.8786764705882354,0.0
2018-12-17,-0.16516245487364623,-1.3363718411552348,1.0,-0.0,-1.1222924187725631,-0.8888537906137185,0.0
2018-12-18,-0.15642508179821613,-1.3266550132221773,1.0,-0.0,-1.1150105329209807,-0.8840482273318094,0.0
2018-12-19,-0.14534412955465587,-1.3347728295096715,1.0,-0.0,-1.1265856950067477,-0.8916779127305443,0.0
2018-12-20,-0.147674783622584,-1.3268756446477419,1.0,-0.0,-1.122606394905601,-0.8873492084846853,0.0
2018-12-21,-0.14063752114682576,-1.3254830380197669,1.0,-0.0,-1.121894755587214,-0.863903481435313,0.0
2018-12-24,-0.12561837455830388,-1.3080388692579505,1.0,-0.0,-1.113339222614841,-0.8699646643109541,0.0
2018-12-26,-0.12450377350259564,-1.3116520525236661,1.0,-0.0,-1.0797888583518738,-0.8464860620337652,0.0
2018-12-27,-0.09044368600682594,-1.251102971780571,1.0,-0.0,-0.9888037958877882,-0.8318488304336968,0.0
