Date,IWF,IWM,MTUM,SBRA,SPY,VLUE,VXX
2018-09-24,-0.333322934863988,-0.7862802595457948,-0.0,1.0,-0.5393062141252808,-0.4606313950586474,0.0
2018-09-25,-0.3305554685297159,-0.7919734327516528,-0.0,1.0,-0.5437513706569755,-0.46664995770544193,0.0
2018-09-26,-0.331944096264728,-0.7933692654800703,-0.0,1.0,-0.5438706442717473,-0.46443344196540487,0.0
2018-09-27,-0.3305441962881409,-0.8024850581944007,-0.0,1.0,-0.5459263919471532,-0.46665618118905317,0.0
2018-09-28,-0.33113103665250904,-0.8021079125373604,-0.0,1.0,-0.5460437313198049,-0.4668239735724398,0.0
2018-10-01,-0.3311013549793121,-0.809039512333786,-0.0,1.0,-0.5480559679100471,-0.4702630997125801,0.0
2018-10-02,-0.3294948466726047,-0.8385608856088562,-0.0,1.0,-0.5456801119735336,-0.4673304491665607,0.0
2018-10-03,-0.3288716497631387,-0.8327345563221314,-0.0,1.0,-0.5472291991225002,-0.47047976345658604,0.0
2018-10-04,-0.3377994704437426,-0.8256930487765974,-0.0,1.0,-0.5597026828723641,-0.4668708329345711,0.0
2018-10-05,-0.32851193692977715,-0.8226785771052548,-0.0,1.0,-0.5603840162761865,-0.46733636392535843,0.0
2018-10-08,-0.32535702951443984,-0.8191367819739765,-0.0,1.0,-0.5629641383687718,-0.4661377340526817,0.0
2018-10-09,-0.3168152337135372,-0.824658934790249,-0.0,1.0,-0.5732451516022876,-0.4802709351736478,0.0
2018-10-10,-0.3209647495361781,-0.8243874352248737,-0.0,1.0,-0.5766425692534067,-0.4767449299469004,0.0
2018-10-11,-0.2539179104477612,-0.8176616915422886,-0.0,1.0,-0.554726368159204,-0.4831156716417911,0.0
2018-10-12,-0.25066345738443496,-0.8157748565080539,-0.0,1.0,-0.5467814602234153,-0.47259766709868545,0.0
2018-10-15,-0.20511381353289682,-0.8794200187090739,-0.0,1.0,-0.5485812285625196,-0.48506392266916126,0.0
2018-10-16,-0.19857580111187456,-0.8926228996189642,-0.0,1.0,-0.5478168530201761,-0.4842588543944031,0.0
2018-10-17,-0.18852307122119957,-0.873401692507258,-0.0,1.0,-0.5424362221261351,-0.4841250231638767,0.0
2018-10-18,-0.1893278921659556,-0.8760588635379953,-0.0,1.0,-0.5415507327026525,-0.4846348853026649,0.0
2018-10-19,-0.17391704503620073,-0.8678058657503988,-0.0,1.0,-0.543164805497607,-0.4829733709657626,0.0
2018-10-22,-0.17412370817872366,-0.8632892759667576,-0.0,1.0,-0.5446962495016713,-0.4845288110644301,0.0
2018-10-23,-0.17164706243665734,-0.8645618992045698,-0.0,1.0,-0.5481097017904855,-0.48684008476398144,0.0
2018-10-24,-0.16966833369128342,-0.8635903414843679,-0.0,1.0,-0.5480317859663117,-0.48682232381186147,0.0
2018-10-25,-0.13049619811859464,-0.8282391127941573,-0.0,1.0,-0.5811919574429717,-0.46548252336729473,0.0
2018-10-26,-0.11681047307349005,-0.8163641773281761,-0.0,1.0,-0.5844094019637013,-0.45772091639393037,0.0
2018-10-29,-0.11081081081081082,-0.8188001188001188,-0.0,1.0,-0.5834570834570835,-0.4569349569349569,0.0
2018-10-30,-0.09224312418145018,-0.82197285391118,-0.0,1.0,-0.5870937016311466,-0.47520538159304676,0.0
2018-10-31,-0.09571386343482116,-0.8051729234407332,-0.0,1.0,-0.5845994679278746,-0.47046999704404374,0.0
2018-11-01,-0.06779158387948162,-0.8330713798523175,-0.0,1.0,-0.5887725749532932,-0.4758459120429406,0.0
2018-11-02,-0.07240566037735849,-0.8094634433962263,-0.0,1.0,-0.5949587264150943,-0.4712853773584906,0.0
2018-11-05,-0.07519862953008241,-0.8042059249195145,-0.0,1.0,-0.5959771982160262,-0.47821720766754294,0.0
2018-11-06,-0.0671581649404531,-0.8044951198400143,-0.0,1.0,-0.6137062352625138,-0.49941796257051607,0.0
2018-11-07,-0.0685913994833612,-0.8260750645798511,-0.0,1.0,-0.6285366965506762,-0.5158790457377298,0.0
2018-11-08,-0.04600090375056484,-0.8266907666817291,-0.0,1.0,-0.6204247627654766,-0.5194155746347341,0.0
2018-11-09,-0.047742636407532596,-0.8281627233220666,-0.0,1.0,-0.6208051665861902,-0.5211854176726219,0.0
