Date,IWF,IWM,MTUM,NHC,SPY,VLUE,VXX
2018-09-24,-0.31274700247839776,-0.9172081184272222,-0.0,1.0,-0.6134704266863152,-0.5057940920356353,0.0
2018-09-25,-0.3210581086978415,-0.9178891537144585,-0.0,1.0,-0.614320722414314,-0.503675853502971,0.0
2018-09-26,-0.32062042570335053,-0.9176794467199356,-0.0,1.0,-0.6144497414892902,-0.5045323306251258,0.0
2018-09-27,-0.3259694477085781,-0.9094510659728051,-0.0,1.0,-0.6162833641094511,-0.5057243578982709,0.0
2018-09-28,-0.32431070960808683,-0.9114081337945396,-0.0,1.0,-0.6164489370991034,-0.5061288914262687,0.0
2018-10-01,-0.3243316048218735,-0.9163916762071519,-0.0,1.0,-0.6178193817765506,-0.5086537813994207,0.0
2018-10-02,-0.3235462859842732,-0.9284195605953225,-0.0,1.0,-0.6160440079646317,-0.5068678073639094,0.0
2018-10-03,-0.3231246627091203,-0.9243793847814356,-0.0,1.0,-0.616736373448462,-0.5086683756071235,0.0
2018-10-04,-0.32409561376892215,-0.9222548127170359,-0.0,1.0,-0.6174774957014262,-0.5076362900778801,0.0
2018-10-05,-0.3040338561784167,-0.914083229771941,-0.0,1.0,-0.6243912269505929,-0.5162395458972895,0.0
2018-10-08,-0.3008378016085791,-0.910254691689008,-0.0,1.0,-0.6256367292225201,-0.5144436997319035,0.0
2018-10-09,-0.2933265925176946,-0.9152679474216381,-0.0,1.0,-0.6347826086956522,-0.5269969666329626,0.0
2018-10-10,-0.29760377995275056,-0.9152548093148835,-0.0,1.0,-0.6384407694903814,-0.5236247046911914,0.0
2018-10-11,-0.2232594575186866,-0.9039070405065771,-0.0,1.0,-0.6115807683519928,-0.5252798903286875,0.0
2018-10-12,-0.23026633602782517,-0.8994557341148433,-0.0,1.0,-0.591188689575215,-0.4995652313935139,0.0
2018-10-15,-0.19060567802919945,-0.9494998543265029,-0.0,1.0,-0.5899776633971059,-0.5071056294713671,0.0
2018-10-16,-0.18708925507462204,-0.9552915277283176,-0.0,1.0,-0.5889151477872382,-0.5061024960341869,0.0
2018-10-17,-0.17056334892006236,-0.9235932181823966,-0.0,1.0,-0.5804307026751917,-0.5063778350351497,0.0
2018-10-18,-0.1720433535224737,-0.9281479120178514,-0.0,1.0,-0.5797896079056424,-0.5077462543831687,0.0
2018-10-19,-0.15758533501896332,-0.9203539823008849,-0.0,1.0,-0.5788558786346397,-0.5037610619469026,0.0
2018-10-22,-0.15812424951020665,-0.9183467104847374,-0.0,1.0,-0.5792201226063325,-0.5042975415534349,0.0
2018-10-23,-0.1689425214353763,-0.9242934264845982,-0.0,1.0,-0.5771038424896793,-0.5052397586535408,0.0
