Date,IWF,IWM,LCA,MTUM,SPY,VLUE,VXX
2020-02-03,-0.0,-0.011217299219495616,1.0,-0.1524402201623763,-0.14084378145877186,-0.0028631567937873422,0.0
2020-02-04,-0.0,-0.008564080471024426,1.0,-0.15102024830611369,-0.14073290774030994,-0.005182835285055941,0.0
2020-02-05,-0.0,-0.008851282851126883,1.0,-0.15074475551742963,-0.13787725181314825,-0.0022745587356052927,0.0
2020-02-06,-0.0,-0.008675437343342121,1.0,-0.15359939739477138,-0.13643034325121106,-0.0,0.0
2020-02-07,-0.0,-0.009572050133125527,1.0,-0.15320475355542568,-0.13602181959867524,-0.0,0.0
2020-02-10,-0.0,-0.00771594932112614,1.0,-0.1530092202352392,-0.13607303567491863,-0.0,0.0
2020-02-11,-0.0,-0.007883715200788373,1.0,-0.1526691821942143,-0.13611078694519002,-0.0,0.0
2020-02-12,-0.0,-0.007703081232492997,1.0,-0.15279074592800082,-0.13632119514472457,-0.0,0.0
2020-02-13,-0.0,-0.006793619453392913,1.0,-0.1591369635248883,-0.13304063181959888,-0.0,0.0
2020-02-14,-0.0,-0.006205857914416286,1.0,-0.15779497299543,-0.1342828209389281,-0.0,0.0
2020-02-18,-0.0,-0.003280566548635701,1.0,-0.16362476567381795,-0.13490679025203084,-0.0,0.0
2020-02-19,-0.0,-0.004640280246784482,1.0,-0.1688800585590296,-0.13358778625954199,-0.0,0.0
2020-02-20,-0.0,-0.004601186897074587,1.0,-0.16927662021907924,-0.13326448981725966,-0.0,0.0
2020-02-21,-0.0,-0.0052858261550509005,1.0,-0.1685330200991908,-0.1313234142521535,-0.0,0.0
2020-02-24,-0.0,-0.0039724782552252366,1.0,-0.16697390627028433,-0.1272361417629495,-0.0,0.0
2020-02-25,-0.0,-0.020055902184424223,1.0,-0.18336446369669754,-0.12127594748903815,-0.0,0.0
2020-02-26,-0.0,-0.010198248759321328,1.0,-0.17656611323303972,-0.11238859874762908,-0.0,0.0
2020-02-27,-0.0,-0.008975657911828125,1.0,-0.17608396331800588,-0.1138778479204011,-0.0,0.0
2020-02-28,-0.0,-0.022591847456975536,1.0,-0.16439637607801424,-0.09444237989671567,-0.0,0.0
2020-03-02,-0.0,-0.0205329614799084,1.0,-0.16341934575971956,-0.09535993449921322,-0.0,0.0
2020-03-03,-0.0,-0.031015014114766797,1.0,-0.13871193384796024,-0.07936745859252042,-0.0,0.0
