Date,IWF,IWM,MTUM,NWSA,SPY,VLUE,VXX
2018-09-24,-0.4120640044915433,-0.6994175029826654,-0.08997122605095094,1.0,-0.6580110884974384,-0.6495192645097901,0.0
2018-09-25,-0.4130625416535129,-0.6981304149566804,-0.09183064997018485,1.0,-0.6568452067768074,-0.6477954330211513,0.0
2018-09-26,-0.4161189413377386,-0.7028223964008296,-0.096411373941162,1.0,-0.6573406910126182,-0.6421215423007979,0.0
2018-09-27,-0.41782553729456384,-0.6973591796600646,-0.09790700941143418,1.0,-0.6570094114341902,-0.6416280376457367,0.0
2018-09-28,-0.4174948203813603,-0.6974751553885591,-0.09836008006461354,1.0,-0.656810759560347,-0.6415001580222636,0.0
2018-10-01,-0.4177148106274731,-0.7086630864895421,-0.09931458451102317,1.0,-0.660436687394008,-0.6469050310910119,0.0
2018-10-02,-0.4177179405632707,-0.7102371108519735,-0.09936746881515247,1.0,-0.6599526485034807,-0.6464186013640058,0.0
2018-10-03,-0.41728473546655365,-0.7037507946598855,-0.09860846224482588,1.0,-0.6619693437875257,-0.6502083774811048,0.0
2018-10-04,-0.41594552418782804,-0.7143211803092637,-0.09856007944389275,1.0,-0.6605546886083132,-0.6572208823946659,0.0
2018-10-05,-0.4032588717658702,-0.7068782694754701,-0.08479428813798955,1.0,-0.6703661812526509,-0.6692704651491588,0.0
2018-10-08,-0.40140447455713174,-0.703578234173195,-0.08073964288234879,1.0,-0.6741124991177924,-0.6689956948267344,0.0
2018-10-09,-0.39980939606791144,-0.7043168260915604,-0.07627686985987081,1.0,-0.6767498499876461,-0.6725848011012672,0.0
2018-10-10,-0.40408076664662823,-0.7037377559319636,-0.07984723646522154,1.0,-0.6805049683510732,-0.667986845362283,0.0
2018-10-11,-0.37832871012482666,-0.6960818307905687,-0.04559639389736477,1.0,-0.6734396671289875,-0.6739251040221914,0.0
2018-10-12,-0.3907450603732162,-0.6900727222832053,-0.04178100987925357,1.0,-0.6553581229418222,-0.6523051591657519,0.0
2018-10-15,-0.37996439331689946,-0.7067926595453301,-0.02591755683374418,1.0,-0.6558477129553547,-0.6552314434401534,0.0
2018-10-16,-0.3770610057708162,-0.7286685902720529,-0.011713382797471833,1.0,-0.6597279472382523,-0.6578730420445177,0.0
2018-10-17,-0.3609098910026403,-0.693114887279128,-0.0,1.0,-0.6600433281429828,-0.6709430641121116,0.0
2018-10-18,-0.3599850993938163,-0.6912865318839108,-0.0,1.0,-0.6633478952893765,-0.6718480138169258,0.0
2018-10-19,-0.343435702512698,-0.6782602845706214,-0.0,1.0,-0.6680345790305762,-0.6739883615325103,0.0
2018-10-22,-0.3433422999327505,-0.6717552118359112,-0.0,1.0,-0.6708473436449226,-0.6765299260255547,0.0
2018-10-23,-0.3478962768640904,-0.6724514848821176,-0.0,1.0,-0.6678438099081828,-0.6751084653415397,0.0
2018-10-24,-0.3462688573060511,-0.6695561603332998,-0.0,1.0,-0.6680106172092867,-0.6760071229378758,0.0
