Date,IHG,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.23224612537589634,-0.3983858945691006,-0.09972498522116842,-0.4221348343485748,-0.4177397383504254,0.0
2018-09-25,1.0,-0.23187287874112927,-0.39907950221125166,-0.09896636840481333,-0.4227347526483596,-0.4185693715931297,0.0
2018-09-26,1.0,-0.2326466579224854,-0.40009772908469,-0.10060952087030323,-0.42239539130211146,-0.4160687189774452,0.0
2018-09-27,1.0,-0.24007844351550808,-0.3910047995045673,-0.1040150694121897,-0.4263043814832017,-0.4189503019043196,0.0
2018-09-28,1.0,-0.23854750045164788,-0.39257232818024623,-0.10439517898159859,-0.4262523550210339,-0.4190517975585206,0.0
2018-10-01,1.0,-0.23973663826491093,-0.3917634908339789,-0.10418280402788536,-0.4270849470694552,-0.4191840950167829,0.0
2018-10-02,1.0,-0.23987088444157523,-0.3919431891542931,-0.1044286636539703,-0.42698515171078116,-0.419083279535184,0.0
2018-10-03,1.0,-0.23980171434472788,-0.39065888670866467,-0.10435815346483528,-0.42726944128885674,-0.4197562738820613,0.0
2018-10-04,1.0,-0.2430290199318393,-0.3858566559950429,-0.10479706702468243,-0.431503666219147,-0.4166838789631313,0.0
2018-10-05,1.0,-0.24792574154739677,-0.3924496992325243,-0.10545011408421488,-0.4318606098319851,-0.41513690105787177,0.0
2018-10-08,1.0,-0.24778990485572808,-0.39242475306561586,-0.10515127161486013,-0.43196017940009845,-0.4151608638166593,0.0
2018-10-09,1.0,-0.24791310208949033,-0.39241457976875616,-0.10540778762897288,-0.431819360190802,-0.4148649349302639,0.0
2018-10-10,1.0,-0.24773163270596774,-0.39254420075698654,-0.10509669725721989,-0.4318712085860942,-0.4151501011043708,0.0
2018-10-11,1.0,-0.2293736941344341,-0.3869693726749223,-0.08291290832186721,-0.4278652601539011,-0.42093461754064115,0.0
2018-10-12,1.0,-0.23103552837721736,-0.3815889220195078,-0.08118966998534391,-0.4206297063728711,-0.4124677818769899,0.0
2018-10-15,1.0,-0.22599283443508097,-0.3884038956451531,-0.0743553514659131,-0.4207498612302568,-0.41360952717363875,0.0
2018-10-16,1.0,-0.2297375945747615,-0.38047521445380705,-0.08183405450542777,-0.4225309344872087,-0.4158506035071738,0.0
2018-10-17,1.0,-0.22282894572051198,-0.36365002630062876,-0.07607143751722066,-0.42176189164140976,-0.420534528968264,0.0
2018-10-18,1.0,-0.22436797752808987,-0.3666482744783306,-0.07458868378812199,-0.42107243178170145,-0.4213483146067416,0.0
2018-10-19,1.0,-0.2176048262452012,-0.35892705788502766,-0.06887869571720596,-0.4245400608266441,-0.42291967891509197,0.0
2018-10-22,1.0,-0.21592746009294805,-0.38598706809456457,-0.08410790058597697,-0.4198322893513841,-0.41990806223479493,0.0
2018-10-23,1.0,-0.2151111335878828,-0.38723544137355553,-0.08111866892558221,-0.4230915113662225,-0.42205477027334565,0.0
2018-10-24,1.0,-0.21595876392854435,-0.38459206104555677,-0.07668595396316041,-0.4248932460772671,-0.424590039669505,0.0
2018-10-25,1.0,-0.20567287578444068,-0.36888634326128106,-0.0756300428329515,-0.42544078095427834,-0.4146578344456619,0.0
2018-10-26,1.0,-0.20463358854529184,-0.3673312120910808,-0.07479864770806402,-0.425623943521925,-0.41344337277518145,0.0
2018-10-29,1.0,-0.19306157849089328,-0.37688018832858383,-0.06467600049560154,-0.42175690744641303,-0.42160822698550365,0.0
2018-10-30,1.0,-0.19225432380197235,-0.376951285990386,-0.06417562812825214,-0.4219237821497596,-0.4225184597849249,0.0
