Date,AWI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3306305315815513,-0.6069210048925293,-0.008713099884558298,-0.4323291737672476,-0.37004562695838605,0.0
2018-09-25,1.0,-0.33477339643928344,-0.6055694669932032,-0.014006218871247351,-0.4308081780908616,-0.3665556809113673,0.0
2018-09-26,1.0,-0.33467253714914696,-0.6055035773252615,-0.013703907539900936,-0.43093010456796915,-0.3669785360484315,0.0
2018-09-27,1.0,-0.33594544804641313,-0.6014187907283676,-0.014847809948032666,-0.43072396821468834,-0.36668591382771043,0.0
2018-09-28,1.0,-0.33397513477830343,-0.6034217185608978,-0.01540323467928265,-0.43079546704808014,-0.36700957201012213,0.0
2018-10-01,1.0,-0.3350760848628271,-0.6025150656283536,-0.015272006824248095,-0.4316612091026664,-0.3671885748878677,0.0
2018-10-02,1.0,-0.3350397710070735,-0.6033908567968513,-0.015412985440233397,-0.4314259763851045,-0.3670492389838439,0.0
2018-10-03,1.0,-0.3348742501788564,-0.6015904463155577,-0.015381652082989378,-0.4318144295856034,-0.3679489296131198,0.0
2018-10-04,1.0,-0.3338112437618903,-0.6061099010173977,-0.015440183076456478,-0.43064324905566737,-0.3711709724558162,0.0
2018-10-05,1.0,-0.3252135226430121,-0.6011863894762859,-0.005355230274901821,-0.43657484964161153,-0.37794194381127616,0.0
2018-10-08,1.0,-0.3239938589757649,-0.5988869393573857,-0.0028237745366816542,-0.4385075117885734,-0.3773165917315495,0.0
2018-10-09,1.0,-0.32450512693973793,-0.5990294456325053,-0.0037286834457421728,-0.4380106377145364,-0.37645994406974825,0.0
2018-10-10,1.0,-0.32642050244478166,-0.6263137188782105,-0.0,-0.45301523070870564,-0.4043444051031304,0.0
2018-10-11,1.0,-0.27766836260189287,-0.6170468844028667,-0.0,-0.4333114502981563,-0.4073800536134362,0.0
2018-10-12,1.0,-0.27983115969478867,-0.6119108176849396,-0.0,-0.42085610693219333,-0.39320309540559556,0.0
2018-10-15,1.0,-0.24521228913698964,-0.6537092874799663,-0.0,-0.4185749599326325,-0.39890799445847935,0.0
2018-10-16,1.0,-0.24231228947082473,-0.6583994349668586,-0.0,-0.4177170487884385,-0.3980495490600891,0.0
2018-10-17,1.0,-0.23225598625577148,-0.6389724041662193,-0.0,-0.41342746698163857,-0.39976377107269406,0.0
2018-10-18,1.0,-0.23573918447861214,-0.6494446996514173,-0.0,-0.41332720836598486,-0.40368038479206636,0.0
2018-10-19,1.0,-0.2309598857727848,-0.6487782537245076,-0.0,-0.4123225302405776,-0.4020043643417118,0.0
2018-10-22,1.0,-0.23237534438982227,-0.6567446383231592,-0.0,-0.41099886553940895,-0.4009777969855762,0.0
2018-10-23,1.0,-0.23528617345974126,-0.6569699916268266,-0.0,-0.40888096588607076,-0.3999135672419847,0.0
2018-10-24,1.0,-0.2340942204953861,-0.6554422319356753,-0.0,-0.40855863148238086,-0.4000593599913658,0.0
