Date,IWF,IWM,MTUM,SPG,SPY,VLUE,VXX
2018-09-24,-0.2754929723831545,-0.509885427762334,-0.0,1.0,-0.4334519757865475,-0.37917954846587515,0.0
2018-09-25,-0.2722514459187145,-0.5179922011986077,-0.0,1.0,-0.43961163015885474,-0.38716599931956763,0.0
2018-09-26,-0.2728200565267455,-0.5185020412435883,-0.0,1.0,-0.43957395582539516,-0.3860567361038417,0.0
2018-09-27,-0.27250589159465827,-0.5199266823775857,-0.0,1.0,-0.43974862529457975,-0.386305315527625,0.0
2018-09-28,-0.27185126996595965,-0.5205551191411364,-0.0,1.0,-0.4396962555642839,-0.38638387012306885,0.0
2018-10-01,-0.27152664954666944,-0.5221424453644987,-0.0,1.0,-0.4397568261621508,-0.38698181437031604,0.0
2018-10-02,-0.27244857854054766,-0.5189047556661863,-0.0,1.0,-0.44077033931612736,-0.3881042840298703,0.0
2018-10-03,-0.2721986484362722,-0.5165540363560165,-0.0,1.0,-0.44127507988894127,-0.38925559222588924,0.0
2018-10-04,-0.2814409100484517,-0.5108226248156731,-0.0,1.0,-0.45470823678112493,-0.3862439435432905,0.0
2018-10-05,-0.283704974271012,-0.5155297532656024,-0.0,1.0,-0.45504683995250034,-0.38458899590975065,0.0
2018-10-08,-0.28099304655897206,-0.5140522962218755,-0.0,1.0,-0.4627343150992782,-0.3861142690955239,0.0
2018-10-09,-0.27287499001092136,-0.519325537412429,-0.0,1.0,-0.47233691164327,-0.3991902186942276,0.0
2018-10-10,-0.2739448808414326,-0.5184928771135668,-0.0,1.0,-0.47295965916655575,-0.3973638663293836,0.0
2018-10-11,-0.22833402360737212,-0.5059018430316836,-0.0,1.0,-0.4553220128390971,-0.3989697659971008,0.0
2018-10-12,-0.23027140408768834,-0.4990919090374236,-0.0,1.0,-0.4437367303609342,-0.38487708796971326,0.0
2018-10-15,-0.21676234213547643,-0.5098864651103456,-0.0,1.0,-0.4405153718586554,-0.3841561423650976,0.0
2018-10-16,-0.21543367346938774,-0.5118877551020408,-0.0,1.0,-0.44002551020408165,-0.3836734693877551,0.0
2018-10-17,-0.20490998363338786,-0.4911242603550296,-0.0,1.0,-0.43598136724159636,-0.38592471358428804,0.0
2018-10-18,-0.20549843765749418,-0.4929694587239189,-0.0,1.0,-0.4352131841548231,-0.3862261868763229,0.0
2018-10-19,-0.192674322600015,-0.48302434386649656,-0.0,1.0,-0.439140333758663,-0.3870749831119117,0.0
2018-10-22,-0.19250037573267872,-0.47399929863233303,-0.0,1.0,-0.44546866389459444,-0.3929161865637994,0.0
2018-10-23,-0.18846666499006617,-0.47702638130925734,-0.0,1.0,-0.45195282046123286,-0.39748006941126174,0.0
2018-10-24,-0.18721885758801798,-0.47299776342572813,-0.0,1.0,-0.4530445053150051,-0.39971854346241803,0.0
2018-10-25,-0.15802499387405047,-0.4394266111247243,-0.0,1.0,-0.4732173486890468,-0.37971085518255326,0.0
2018-10-26,-0.16370458135860982,-0.44554699842022116,-0.0,1.0,-0.4746001184834123,-0.3845774091627172,0.0
2018-10-29,-0.1520377330680227,-0.4489399857518363,-0.0,1.0,-0.46905937553737687,-0.3865428550372172,0.0
2018-10-30,-0.14111575325632833,-0.4499139837797985,-0.0,1.0,-0.470312115999017,-0.39628901449987713,0.0
2018-10-31,-0.13990177109688942,-0.46281688743364585,-0.0,1.0,-0.4755916058937342,-0.40224239718212035,0.0
2018-11-01,-0.10853255976793037,-0.49772431729518857,-0.0,1.0,-0.4835450635190557,-0.4109482844853456,0.0
2018-11-02,-0.11651575245079697,-0.4688817381326548,-0.0,1.0,-0.49938885978697395,-0.4096634987153583,0.0
2018-11-05,-0.11672695522015716,-0.46845453411500565,-0.0,1.0,-0.4994137457901959,-0.41012847698640387,0.0
2018-11-06,-0.11361988347960893,-0.46703173055284675,-0.0,1.0,-0.5038131673042783,-0.41594779086340106,0.0
2018-11-07,-0.11319057494815221,-0.4670298093500912,-0.0,1.0,-0.5028360110941755,-0.415606806426626,0.0
2018-11-08,-0.10440789146747503,-0.46561148934055563,-0.0,1.0,-0.4988570292699896,-0.4158674153953188,0.0
2018-11-09,-0.10425103729285198,-0.4655270938408408,-0.0,1.0,-0.49904345449576387,-0.4157121916072449,0.0
2018-11-12,-0.10421467330706906,-0.4505067023464407,-0.0,1.0,-0.5083872246586882,-0.4146534849723729,0.0
2018-11-13,-0.08696293020856365,-0.44653253740142973,-0.0,1.0,-0.5111651558699978,-0.4119193259144619,0.0
2018-11-14,-0.08790938797572541,-0.4459841281540994,-0.0,1.0,-0.5114370654283679,-0.41161150831674903,0.0
2018-11-15,-0.08724041435514752,-0.44582453728705385,-0.0,1.0,-0.512003534783249,-0.4096666503019294,0.0
2018-11-16,-0.0818074424099232,-0.4383490844654459,-0.0,1.0,-0.5169816893089191,-0.42395156526875366,0.0
2018-11-19,-0.07873316560603817,-0.4410981204676631,-0.0,1.0,-0.5206205909920576,-0.4261259927975926,0.0
2018-11-20,-0.03809008920453149,-0.43592264025753813,-0.0,1.0,-0.5310004177622687,-0.4524119627454353,0.0
2018-11-21,-0.03777044371103777,-0.432661043882166,-0.0,1.0,-0.5298863219655299,-0.4443955506661777,0.0
2018-11-23,-0.03890489913544669,-0.4235090118692913,-0.0,1.0,-0.5341669515947833,-0.445635715332389,0.0
2018-11-26,-0.03867281916062404,-0.4244244244244244,-0.0,1.0,-0.5334602895578505,-0.4449083229571034,0.0
2018-11-27,-0.02891736503605535,-0.4318846228805301,-0.0,1.0,-0.5325472617423503,-0.4428230364451374,0.0
2018-11-28,-0.030241738960912368,-0.42796568866361245,-0.0,1.0,-0.5345550248562237,-0.4441466029827469,0.0
2018-11-29,-0.016809158093029998,-0.42083272955610296,-0.0,1.0,-0.5317103801381442,-0.44575665362507855,0.0
2018-11-30,-0.01678135941084148,-0.42095858988289264,-0.0,1.0,-0.5324882289025715,-0.4443559096945551,0.0
2018-12-03,-0.016291361957859678,-0.4209446576400454,-0.0,1.0,-0.5322327613255134,-0.44406632394468176,0.0
2018-12-04,-0.012134052388289678,-0.4222120570107858,-0.0,1.0,-0.530262904468413,-0.4429169876733436,0.0
2018-12-06,-0.007446033871232941,-0.3818617433584666,-0.0,1.0,-0.5334366852230287,-0.4261856105982665,0.0
2018-12-07,-0.021551314915028957,-0.3878999335422007,-0.0,1.0,-0.5421532326972374,-0.4218646159688598,0.0
2018-12-10,-0.007881611142480708,-0.38836344814605683,-0.0,1.0,-0.5431018257105213,-0.41334933182759276,0.0
2018-12-11,-0.00025934832838213795,-0.39284198613665294,-0.0,1.0,-0.541401424058094,-0.42318574055736313,0.0
2018-12-12,-0.0012502653865207236,-0.39291359014885235,-0.0,1.0,-0.5431813356608713,-0.4216461041258758,0.0
2018-12-13,-0.0,-0.3918558712932553,-0.0,1.0,-0.5636155933171498,-0.42446094530915324,0.0
2018-12-14,-0.0034518878255487308,-0.3795648240727515,-0.0,1.0,-0.5723468075989144,-0.42524877398466887,0.0
2018-12-17,-0.0,-0.37726539519878544,-0.0,1.0,-0.5647120220134738,-0.4301641521966031,0.0
2018-12-18,-0.0,-0.38850646391480587,-0.0,1.0,-0.5754203343486917,-0.43455735974863885,0.0
2018-12-19,-0.0,-0.3885304487563859,-0.0,1.0,-0.5753723646655313,-0.4345813445902189,0.0
2018-12-20,-0.0,-0.38539597443936535,-0.0,1.0,-0.5750424813919537,-0.43287940071320874,0.0
2018-12-21,-0.0,-0.3845418021809834,-0.0,1.0,-0.5753539315094701,-0.4315333843504879,0.0
2018-12-24,-0.0,-0.37709643605870014,-0.0,1.0,-0.5716599961882981,-0.4335810939584524,0.0
2018-12-26,-0.0,-0.3769079212856363,-0.0,1.0,-0.5669523108695136,-0.42991430673914593,0.0
