Date,IWF,IWM,MASI,MTUM,SPY,VLUE,VXX
2018-09-24,-0.43295751321740245,-0.7184215555130901,1.0,-0.19781514746162177,-0.4693929549652845,-0.36629721638320917,0.0
2018-09-25,-0.43666953446133255,-0.7165981582385368,1.0,-0.2028805404199726,-0.4676098524678966,-0.362680432081063,0.0
2018-09-26,-0.43663767007615595,-0.7165981582385368,1.0,-0.20278494726444254,-0.4676417168530733,-0.3627760252365931,0.0
2018-09-27,-0.4377646871517274,-0.7127527463779654,1.0,-0.20382104760388473,-0.4673778060818341,-0.36245820729183253,0.0
2018-09-28,-0.4354294087665648,-0.7151822120285423,1.0,-0.20431957186544344,-0.46760321100917435,-0.3629587155963303,0.0
2018-10-01,-0.4348422059292318,-0.7169270003187759,1.0,-0.20468600573796622,-0.46761236850494103,-0.36369142492827544,0.0
2018-10-02,-0.43499187199184014,-0.714244732731967,1.0,-0.20578204188314794,-0.46807764638383326,-0.36438976189717276,0.0
2018-10-03,-0.4349087893864013,-0.7040119913254241,1.0,-0.203948207679551,-0.473434111493813,-0.3728791937747161,0.0
2018-10-04,-0.4484776388129763,-0.6979391055525191,1.0,-0.20435327781885995,-0.49377873517024085,-0.37060733691283804,0.0
2018-10-05,-0.4468269508554553,-0.6983918081725677,1.0,-0.20036593586492477,-0.49455911148204035,-0.36978782139761823,0.0
2018-10-08,-0.4456856702619414,-0.6964881869542886,1.0,-0.19494735490498202,-0.5018618387262455,-0.37108371854134564,0.0
2018-10-09,-0.4471884132438422,-0.6969074151385722,1.0,-0.1977584379716754,-0.500658338418061,-0.3688943125983493,0.0
2018-10-10,-0.4474410839273101,-0.6965902523598535,1.0,-0.19797084697874526,-0.5007063507352469,-0.36797662621203364,0.0
2018-10-11,-0.4186812153137052,-0.6941021540776974,1.0,-0.15865550434264572,-0.49098548270780423,-0.37309127394726116,0.0
2018-10-12,-0.42840757618029074,-0.6889550203044112,1.0,-0.15756843051551506,-0.4738522582845098,-0.35112681732229767,0.0
2018-10-15,-0.42603202130624634,-0.6933820569198849,1.0,-0.1531386454430027,-0.4736923601003376,-0.35062401288284667,0.0
2018-10-16,-0.4256650047998018,-0.6945158393459884,1.0,-0.15226210014554237,-0.47366302294614937,-0.3505713312482582,0.0
