Date,IWF,IWM,MTUM,RA,SPY,VLUE,VXX
2018-09-24,-0.09856904321597214,-0.27918918433667883,-0.0,1.0,-0.20320663590498592,-0.21448192900874374,0.0
2018-09-25,-0.09907370839765914,-0.27892866118550963,-0.0,1.0,-0.2030301942340143,-0.21410620040929165,0.0
2018-09-26,-0.09939148073022314,-0.27920084725986827,-0.0,1.0,-0.20298335995979105,-0.21344845536627835,0.0
2018-09-27,-0.09983131146364224,-0.27828224822338676,-0.0,1.0,-0.2030005024764913,-0.21342688967051898,0.0
2018-09-28,-0.09916717521628317,-0.2790860465951107,-0.0,1.0,-0.20307283627095526,-0.21355494130739133,0.0
2018-10-01,-0.09928734270378947,-0.27908521370743355,-0.0,1.0,-0.20315220708349044,-0.21358177607841028,0.0
2018-10-02,-0.10136858364165378,-0.2717949638995653,-0.0,1.0,-0.20620352742555406,-0.21665648909802793,0.0
2018-10-03,-0.1010862734536314,-0.2687135290421043,-0.0,1.0,-0.20718197324714968,-0.2184935811114104,0.0
2018-10-04,-0.1024232633279483,-0.2665948662717645,-0.0,1.0,-0.20883144857296712,-0.2171602943816191,0.0
2018-10-05,-0.09869479706776327,-0.2641337386018237,-0.0,1.0,-0.20809940997675663,-0.2170212765957447,0.0
2018-10-08,-0.10180147721131326,-0.2702215816969915,-0.0,1.0,-0.20920554854981083,-0.2202486038551612,0.0
2018-10-09,-0.10611832247115957,-0.2720839125489701,-0.0,1.0,-0.20887869870556589,-0.21826650538896208,0.0
2018-10-10,-0.10778507980067885,-0.27141258034231236,-0.0,1.0,-0.20997327941070268,-0.21627428323824652,0.0
2018-10-11,-0.08273881872148531,-0.2634184149800067,-0.0,1.0,-0.19841815075129032,-0.2169670066409484,0.0
2018-10-12,-0.08053126806959751,-0.2615689229205726,-0.0,1.0,-0.19565103117169838,-0.21445217360831242,0.0
2018-10-15,-0.08376880721074598,-0.25851366043559076,-0.0,1.0,-0.19668221512994072,-0.21462140076456354,0.0
2018-10-16,-0.08420148023431197,-0.25798870532112667,-0.0,1.0,-0.19685011750675227,-0.21480935844820934,0.0
