Date,CGEN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.3021492835721427,-2.251249583472176,-0.31231256247917366,-1.7626624458513829,-1.702265911362879,0.0
2018-09-25,1.0,-1.3028638028638029,-2.248168498168498,-0.31485181485181485,-1.7601565101565102,-1.698967698967699,0.0
2018-09-26,1.0,-1.3027905039566847,-2.2489795918367346,-0.312536443148688,-1.7620991253644316,-1.7033735943356934,0.0
2018-09-27,1.0,-1.3029622233316693,-2.2426360459311034,-0.31361291396238977,-1.7601930437676818,-1.7014478282576135,0.0
2018-09-28,1.0,-1.3022462562396007,-2.2420965058236275,-0.314559068219634,-1.759567387687188,-1.700998336106489,0.0
2018-10-01,1.0,-1.302072064575185,-2.242989098776733,-0.31555296663060667,-1.7595073645668635,-1.7014229841058501,0.0
2018-10-02,1.0,-1.3132053225534783,-2.3203638201111674,-0.3048677783392286,-1.7720229071921847,-1.711386221997642,0.0
2018-10-03,1.0,-1.312236997138529,-2.315098468271335,-0.30483083655950177,-1.771839757616563,-1.712253829321663,0.0
2018-10-04,1.0,-1.3122632775018936,-2.31487248548102,-0.3057823415537413,-1.7714838818281289,-1.7123979463008163,0.0
2018-10-05,1.0,-1.2924196787148594,-2.3044678714859437,-0.27811244979919675,-1.7745147255689424,-1.7172021419009371,0.0
2018-10-08,1.0,-1.289078156312625,-2.3001002004008013,-0.27338009352037407,-1.773380093520374,-1.7140948563794254,0.0
2018-10-09,1.0,-1.2859533171588724,-2.3066175855433784,-0.2593491173763909,-1.785158537605622,-1.7290220028444743,0.0
2018-10-10,1.0,-1.2980761152650593,-2.3119381668486936,-0.26757960178106366,-1.797950096614299,-1.72569940351172,0.0
2018-10-11,1.0,-1.1707395498392283,-2.2820739549839226,-0.09790996784565917,-1.7467845659163987,-1.7410771704180066,0.0
2018-10-12,1.0,-1.2883040935672516,-2.4047619047619047,-0.09381787802840434,-1.79640768588137,-1.7709273182957395,0.0
2018-10-15,1.0,-1.2469481180061037,-2.562733129874534,-0.0,-1.8379959308240081,-1.8290098338419805,0.0
2018-10-16,1.0,-1.2376654632972324,-2.6451779267663746,-0.0,-1.8612686952037134,-1.85146982980918,0.0
2018-10-17,1.0,-1.1706884913938578,-2.5356901788727644,-0.0,-1.8509112386095175,-1.880020249746878,0.0
2018-10-18,1.0,-1.1701588374450829,-2.534133153092261,-0.0,-1.8601723555255154,-1.8843359242987494,0.0
2018-10-19,1.0,-1.1378279073741777,-2.5488336324019483,-0.0,-1.9214731265487481,-1.9367683499957278,0.0
2018-10-22,1.0,-1.1412680756395994,-2.5562590912980236,-0.0,-1.9217934457089072,-1.9372807392829638,0.0
2018-10-23,1.0,-1.1385780685143743,-2.5718712342916166,-0.0,-1.9423308658977447,-1.9545532793940437,0.0
2018-10-24,1.0,-1.1326171035668244,-2.5681134507950154,-0.0,-1.9404383326171037,-1.9535883111302106,0.0
2018-10-25,1.0,-1.0141050583657587,-2.3896725032425423,-0.0,-1.884322308690013,-1.8182555123216602,0.0
2018-10-26,1.0,-0.972061497768226,-2.4313936187799636,-0.0,-1.9971896181186972,-1.8652669862787237,0.0
2018-10-29,1.0,-0.9105684280713452,-2.5061676946157694,-0.0,-1.9985830971828638,-1.919403233872312,0.0
