Date,IWF,IWM,JCAP,MTUM,SPY,VLUE,VXX
2018-09-24,-0.29085821469204515,-0.7855846991174933,1.0,-0.0,-0.5156975492758525,-0.4827957319885613,0.0
2018-09-25,-0.28831056438152936,-0.7921431662236509,1.0,-0.0,-0.5208320454966928,-0.4894603449341658,0.0
2018-09-26,-0.289184928754675,-0.7929712855067537,1.0,-0.0,-0.5208172348777548,-0.4879300219454147,0.0
2018-09-27,-0.28886483142592023,-0.7948035879987629,1.0,-0.0,-0.5211568202907516,-0.4883080729972163,0.0
2018-09-28,-0.2974025165067896,-0.7969353432166438,1.0,-0.0,-0.5269714712844151,-0.49317926996387196,0.0
2018-10-01,-0.2977338174533617,-0.8051521221985728,1.0,-0.0,-0.5298297233003632,-0.4973394265681733,0.0
2018-10-02,-0.31924268062960953,-0.7781999297595863,1.0,-0.0,-0.5646690718687143,-0.5306663261070848,0.0
2018-10-03,-0.3186981493299298,-0.773356732610083,1.0,-0.0,-0.5657306955966815,-0.532992980216975,0.0
2018-10-04,-0.3221371610845295,-0.7679425837320574,1.0,-0.0,-0.5699521531100479,-0.5297607655502392,0.0
2018-10-05,-0.3150027034763525,-0.7659107534747622,1.0,-0.0,-0.5698928151140231,-0.5297859482840876,0.0
2018-10-08,-0.3116445968689467,-0.7621225111936742,1.0,-0.0,-0.5730208631037439,-0.5287224921406116,0.0
2018-10-09,-0.3089430894308943,-0.7620680894308943,1.0,-0.0,-0.5740917174796748,-0.5307418699186992,0.0
2018-10-10,-0.31396384928716903,-0.7624427189409368,1.0,-0.0,-0.5785068737270875,-0.527367617107943,0.0
2018-10-11,-0.24326742141468982,-0.7517352006663169,1.0,-0.0,-0.5543387728660888,-0.5354597896165593,0.0
2018-10-12,-0.240976353928299,-0.7457513348588863,1.0,-0.0,-0.5423951182303586,-0.5219832189168574,0.0
2018-10-15,-0.20468946095687043,-0.7886681563561787,1.0,-0.0,-0.5399002112094035,-0.5277174079402492,0.0
2018-10-16,-0.1984363023148858,-0.8014410547294191,1.0,-0.0,-0.5392610761919363,-0.5269661198834892,0.0
2018-10-17,-0.18299155609167672,-0.7717129071170085,1.0,-0.0,-0.5322074788902291,-0.5287696019300362,0.0
2018-10-18,-0.18335143615737387,-0.7731112720251027,1.0,-0.0,-0.531679942070963,-0.5289946898382815,0.0
2018-10-19,-0.16782840218984652,-0.76291620546265,1.0,-0.0,-0.5328925718730367,-0.5279564423968648,0.0
2018-10-22,-0.16805717532370446,-0.7589485960348077,1.0,-0.0,-0.5341945515983374,-0.5291707783858138,0.0
