Date,AU,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.6214730290456432,-1.3950726141078837,-0.0,-1.1612551867219918,-1.008869294605809,0.0
2018-09-25,1.0,-0.6294700783723465,-1.3943011366585352,-0.0,-1.1608968702963616,-1.0055535371360356,0.0
2018-09-26,1.0,-0.6314833082394475,-1.396448782513888,-0.0,-1.161258501635429,-1.0026997559835937,0.0
2018-09-27,1.0,-0.632512315270936,-1.3912367124708322,-0.0,-1.1600725952813067,-1.001555613170858,0.0
2018-09-28,1.0,-0.6297277639235245,-1.3987946799667497,-0.0,-1.1624584372402327,-1.004312136325852,0.0
2018-10-01,1.0,-0.6308843396030345,-1.397641068273927,-0.0,-1.1629949080328381,-1.004364543281721,0.0
2018-10-02,1.0,-0.6334787576607458,-1.387036459956373,-0.0,-1.1657317959904436,-1.007478965409785,0.0
2018-10-03,1.0,-0.6440669023373609,-1.3794122302537857,-0.0,-1.2013929193267556,-1.0513375191262597,0.0
2018-10-04,1.0,-0.6651571656899308,-1.377943526904635,-0.0,-1.231433137986148,-1.053063399041023,0.0
2018-10-05,1.0,-0.6390798519301957,-1.3609730301427816,-0.0,-1.2327340031729246,-1.0554204124801694,0.0
2018-10-08,1.0,-0.6342418629267002,-1.3575549087060068,-0.0,-1.2435564964276264,-1.0569992061391902,0.0
2018-10-09,1.0,-0.6328517754140869,-1.3575170662009841,-0.0,-1.2439540667830873,-1.0575223580462507,0.0
2018-10-10,1.0,-0.6371578334304019,-1.3567533223910624,-0.0,-1.2474718060041299,-1.0532641499444062,0.0
2018-10-11,1.0,-0.4963421194190425,-1.435126412049489,-0.0,-1.280796126949973,-1.166971490048413,0.0
2018-10-12,1.0,-0.6725081473282912,-1.7116153231261144,-0.0,-1.4532374100719425,-1.3115661317100165,0.0
2018-10-15,1.0,-0.622359639992653,-1.7509949182636382,-0.0,-1.440764097226474,-1.3085165003367416,0.0
2018-10-16,1.0,-0.6127939908878216,-1.785309690924763,-0.0,-1.445696342814924,-1.3130772072404875,0.0
