Date,AFB,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.09668335419274092,-0.24072854225676835,-0.0,-0.16892826559515184,-0.14045517423094658,0.0
2018-09-25,1.0,-0.09761277576555812,-0.24031939413895287,-0.0,-0.1686368126440566,-0.13980902206124463,0.0
2018-09-26,1.0,-0.09680342725325423,-0.239957159334322,-0.0,-0.1690558576371725,-0.14190146646894053,0.0
2018-09-27,1.0,-0.09964242753802297,-0.23556939707021274,-0.0,-0.17005289435958276,-0.14253464498162702,0.0
2018-09-28,1.0,-0.10241959475093378,-0.2353155059002413,-0.0,-0.1713879615244769,-0.14358906554721845,0.0
2018-10-01,1.0,-0.10216032024349093,-0.23647732159989415,-0.0,-0.1714692162636054,-0.1440434049029014,0.0
2018-10-02,1.0,-0.10292511829522519,-0.2338771053241124,-0.0,-0.17251249131398697,-0.14514741404983292,0.0
2018-10-03,1.0,-0.10280884007146165,-0.2326143055647456,-0.0,-0.17289750545887647,-0.1459008800370542,0.0
2018-10-04,1.0,-0.10647181628392484,-0.2287503728004772,-0.0,-0.1780660768134672,-0.14358617490141498,0.0
2018-10-05,1.0,-0.11213474161196814,-0.23523139972678503,-0.0,-0.1775064138873155,-0.14107220204578017,0.0
2018-10-08,1.0,-0.11203823989873755,-0.23518537024083144,-0.0,-0.17735918190599914,-0.1409180240498318,0.0
2018-10-09,1.0,-0.1129599093922284,-0.23539699195522912,-0.0,-0.17705158313762723,-0.14019220839787472,0.0
2018-10-10,1.0,-0.11361933776157421,-0.2348132980405867,-0.0,-0.17731275699612115,-0.1390068088365047,0.0
2018-10-11,1.0,-0.09284301326328762,-0.2260920322988618,-0.0,-0.1659208094172585,-0.13655673379381914,0.0
2018-10-12,1.0,-0.09549932825794895,-0.2208751839293711,-0.0,-0.15681978120401766,-0.12617554858934169,0.0
2018-10-15,1.0,-0.09092504267096302,-0.22380321906554582,-0.0,-0.1551468359680327,-0.12530108950533586,0.0
2018-10-16,1.0,-0.08779015932820332,-0.22942941984099108,-0.0,-0.15457070787700755,-0.12466873144097831,0.0
2018-10-17,1.0,-0.0791957518554118,-0.21332114775538502,-0.0,-0.1535697965743819,-0.12963459023367946,0.0
2018-10-18,1.0,-0.07882464156294311,-0.2125256026469198,-0.0,-0.15446667717031667,-0.12974633685205608,0.0
2018-10-19,1.0,-0.07407349540653708,-0.20712767952002997,-0.0,-0.15347478282607335,-0.12774201612399225,0.0
2018-10-22,1.0,-0.07419042260565141,-0.2068798449612403,-0.0,-0.15375718929732432,-0.1280632658164541,0.0
2018-10-23,1.0,-0.07396408084155244,-0.20691811119621115,-0.0,-0.15399284117729808,-0.12818669209247074,0.0
2018-10-24,1.0,-0.07339048422104588,-0.20380693618150872,-0.0,-0.15454162177355132,-0.12974500710482345,0.0
2018-10-25,1.0,-0.059635887998296555,-0.18447428858233583,-0.0,-0.1598655492859207,-0.11694474440675903,0.0
2018-10-26,1.0,-0.054872794884585734,-0.180808126615573,-0.0,-0.16142880897313802,-0.11452239505389022,0.0
