Date,BBBY,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.6443383108639139,-1.8654253068133728,-0.0,-1.2611692158877938,-1.2747113233782723,0.0
2018-09-25,1.0,-0.6483987915407855,-1.8630211480362537,-0.0,-1.2595166163141993,-1.271299093655589,0.0
2018-09-26,1.0,-0.6478728547256466,-1.8630045927000243,-0.0,-1.2597897026831038,-1.272419627749577,0.0
2018-09-27,1.0,-0.6527434055652803,-1.8512705981770987,-0.0,-1.2600350093559485,-1.2720468401038207,0.0
2018-09-28,1.0,-0.9741800418702024,-2.3831123517097,-0.0,-1.7069085833914863,-1.6894626657362177,0.0
2018-10-01,1.0,-0.9747169225996587,-2.3837443772297195,-0.0,-1.7070730572359236,-1.6900108577633006,0.0
2018-10-02,1.0,-0.9761221800139546,-2.3777812233506475,-0.0,-1.7077292813396387,-1.6908287464144507,0.0
2018-10-03,1.0,-0.9830323785803237,-2.3950809464508094,-0.0,-1.7124844333748441,-1.6927148194271482,0.0
2018-10-04,1.0,-0.9908935242839352,-2.383950809464508,-0.0,-1.721824408468244,-1.6866438356164382,0.0
2018-10-05,1.0,-0.9529917872506845,-2.382714118107157,-0.0,-1.7569808369182638,-1.7289792725850608,0.0
2018-10-08,1.0,-0.9427703807521607,-2.3696955539982874,-0.0,-1.7532507981001326,-1.7207038853850347,0.0
2018-10-09,1.0,-0.9369980506822612,-2.3721637426900584,-0.0,-1.7589083820662768,-1.7292007797270954,0.0
2018-10-10,1.0,-0.9375097397537789,-2.3701106436029296,-0.0,-1.7589216144615862,-1.7251831073710455,0.0
2018-10-11,1.0,-0.736554653720701,-2.3748767351892592,-0.0,-1.7104604414776605,-1.7635591291815216,0.0
2018-10-12,1.0,-0.7470773381294964,-2.3697541966426856,-0.0,-1.6660671462829735,-1.711031175059952,0.0
2018-10-15,1.0,-0.6821127185051236,-2.4589361060880046,-0.0,-1.666289933694997,-1.727396021699819,0.0
2018-10-16,1.0,-0.6742722862340812,-2.4986355366889024,-0.0,-1.6732110369921165,-1.7341570648878106,0.0
2018-10-17,1.0,-0.6060025071897353,-2.38632844185532,-0.0,-1.64427402108989,-1.7374824865422902,0.0
2018-10-18,1.0,-0.6080821513002364,-2.393321513002364,-0.0,-1.6456117021276595,-1.740691489361702,0.0
2018-10-19,1.0,-0.5577468888727166,-2.3579069936685833,-0.0,-1.6346699657957935,-1.7271668728622371,0.0
2018-10-22,1.0,-0.5580110497237569,-2.348138993893574,-0.0,-1.6355772026751965,-1.7278278569351557,0.0
2018-10-23,1.0,-0.568069306930693,-2.3519947582993592,-0.0,-1.6326441467676178,-1.7274315666860802,0.0
2018-10-24,1.0,-0.5685342305441778,-2.3527647747220595,-0.0,-1.6467963721474546,-1.746050321825629,0.0
2018-10-25,1.0,-0.45665742024965333,-2.2111650485436893,-0.0,-1.6245492371705965,-1.642371705963939,0.0
