Date,IWF,IWM,MTUM,SMCI,SPY,VLUE,VXX
2018-09-24,-0.8725262298171766,-1.647106866871898,-0.20575485330150153,1.0,-1.2604133944838851,-1.2967895960294025,0.0
2018-09-25,-0.8724464060529634,-1.6567465321563684,-0.20088272383354353,1.0,-1.2685372005044138,-1.3064943253467844,0.0
2018-09-26,-0.9022474080752141,-1.7057762895228281,-0.22403245540601455,1.0,-1.2970571189387596,-1.3104514134844483,0.0
2018-09-27,-0.9035702798327436,-1.6986812479897073,-0.2256674171759408,1.0,-1.2959150852364103,-1.3091669347056931,0.0
2018-09-28,-0.8996002063451122,-1.7089244261026566,-0.22768893474335827,1.0,-1.299264895537787,-1.3128062935259222,0.0
2018-10-01,-0.8999290734412276,-1.708104971306983,-0.22812560448771682,1.0,-1.2991811206396287,-1.3125926881165775,0.0
2018-10-02,-0.9154581517851338,-1.6721727254991223,-0.2483579371789036,1.0,-1.3269818560187294,-1.3402484229693699,0.0
2018-10-03,-0.9146626803587677,-1.6596256336929678,-0.24691277784999352,1.0,-1.3308202261796438,-1.3473937345638893,0.0
2018-10-04,-0.920332705179024,-1.6498148027812074,-0.24842419910325558,1.0,-1.337968678926506,-1.3416076418220808,0.0
2018-10-05,-1.5831044606496827,-2.1777630457429678,-1.057770622218013,1.0,-1.8355904915238184,-1.8164598920352306,0.0
2018-10-08,-1.5776497260532778,-2.170602682788589,-1.0496882675231438,1.0,-1.8358208955223883,-1.8126771207254866,0.0
2018-10-09,-1.7121227726851374,-2.3895354825419717,-1.1045421773612114,1.0,-2.054176537233495,-2.039344937686683,0.0
2018-10-10,-1.7800085892205282,-2.518252093622504,-1.128838307923556,1.0,-2.155142795791282,-2.1541765084818554,0.0
2018-10-11,-1.7075187969924812,-2.599033297529538,-0.9760472610096671,1.0,-2.196348012889366,-2.26219119226638,0.0
2018-10-12,-1.7386021505376343,-2.6161290322580646,-0.9712903225806451,1.0,-2.1841935483870967,-2.2423655913978493,0.0
2018-10-15,-1.7031082529474815,-2.667202572347267,-0.9182207931404073,1.0,-2.1804930332261523,-2.24908896034298,0.0
2018-10-16,-1.7105945945945946,-2.7223783783783784,-0.9044324324324324,1.0,-2.2023783783783784,-2.271027027027027,0.0
2018-10-17,-1.698774270528257,-2.695303178218896,-0.8620240807028963,1.0,-2.247532270311314,-2.3435296669920818,0.0
2018-10-18,-1.6993158866326419,-2.694755130850255,-0.8652405255728092,1.0,-2.2530133564990766,-2.3466174394613963,0.0
2018-10-19,-1.6707619355534002,-2.673348421166074,-0.8292919495635306,1.0,-2.2561698458885657,-2.347559004203039,0.0
2018-10-22,-1.6959930313588851,-2.6833623693379787,-0.8150043554006968,1.0,-2.3021559233449476,-2.39198606271777,0.0
2018-10-23,-1.7103304880717882,-2.696213613482162,-0.8308163711971985,1.0,-2.3068505143357405,-2.3992120814182534,0.0
2018-10-24,-1.7105522143247678,-2.6914160743575724,-0.8181519956260251,1.0,-2.3102241662110443,-2.404702022963368,0.0
