Date,CRON,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-10-26,1.0,-1.9137263828818578,-5.836558160710221,-0.0,-7.386751650352835,-6.626451172319601,0.0
2018-10-29,1.0,-1.7012058954890577,-5.851496203662349,-0.0,-7.1855739169272,-6.593345243412238,0.0
2018-10-30,1.0,-1.7017543859649125,-5.89923526765632,-0.0,-7.265632028789923,-6.6252811515969405,0.0
2018-10-31,1.0,-1.7403083700440527,-5.6266519823788546,-0.0,-7.16431718061674,-6.495374449339207,0.0
2018-11-01,1.0,-1.5946713256169471,-5.68508407949334,-0.0,-7.110504476960035,-6.448569556671763,0.0
2018-11-02,1.0,-1.6389186869770436,-5.3561467496245445,-0.0,-7.126367732246299,-6.332975756275477,0.0
2018-11-05,1.0,-1.5911351351351353,-5.545297297297297,-0.0,-7.207351351351352,-6.277621621621622,0.0
2018-11-06,1.0,-1.613160733549083,-5.555339805825242,-0.0,-7.17259978425027,-6.2340884573894275,0.0
2018-11-07,1.0,-1.5720439371096273,-5.550721516261039,-0.0,-7.183502046090889,-6.231531337497308,0.0
2018-11-08,1.0,-1.2952420527737378,-5.441928111365053,-0.0,-6.917307292748806,-6.122584666528153,0.0
2018-11-09,1.0,-1.2757828810020877,-5.472233820459291,-0.0,-6.9661795407098115,-6.162630480167015,0.0
2018-11-12,1.0,-1.2621299342105263,-5.270764802631579,-0.0,-6.9555921052631575,-6.070723684210526,0.0
2018-11-13,1.0,-1.0622718052738338,-5.2296146044624745,-0.0,-6.963894523326573,-6.028194726166329,0.0
2018-11-14,1.0,-1.06708552898257,-5.22233481961897,-0.0,-6.957235508715039,-6.0208755573571135,0.0
2018-11-15,1.0,-1.063495263051804,-5.211247732312033,-0.0,-6.955049385204596,-5.927232412819995,0.0
2018-11-16,1.0,-1.0143512058999402,-5.105640821207893,-0.0,-6.894757823400439,-5.917480566075343,0.0
2018-11-19,1.0,-1.0380705600956748,-5.100857085907914,-0.0,-6.880605939804664,-5.9126968307753645,0.0
2018-11-20,1.0,-0.6997055937193327,-4.995682041216878,-0.0,-6.8698724239450435,-6.061629048086359,0.0
