Date,IWF,IWM,MTUM,SPY,STL,VLUE,VXX
2018-09-24,-0.20220893047494967,-0.760541276797347,-0.10674523273717872,-0.43675233921591844,1.0,-0.4547850290181215,0.0
2018-09-25,-0.20120414034463324,-0.763324139158288,-0.10401281252780495,-0.4392442981285405,1.0,-0.4580775276566717,0.0
2018-09-26,-0.20114482308627696,-0.7633537977874661,-0.10389417801109231,-0.4392739567577186,1.0,-0.45822582080256247,0.0
2018-09-27,-0.20000595521676987,-0.7734933301572177,-0.10177465459742735,-0.4416984278227727,1.0,-0.46063601715102426,0.0
2018-09-28,-0.19791480488531427,-0.7757819481680072,-0.10232350312779266,-0.44185284480190645,1.0,-0.46097706285373846,0.0
2018-10-01,-0.1982483839256457,-0.7753284280139414,-0.10241591944949209,-0.44198516488426826,1.0,-0.4609610056897733,0.0
2018-10-02,-0.19826325684103727,-0.786965474023455,-0.09922115126376414,-0.4405419116111128,1.0,-0.45910298111068,0.0
2018-10-03,-0.1981675470797147,-0.7780762228788015,-0.0977706150953532,-0.4446533560151611,1.0,-0.4657832691676366,0.0
2018-10-04,-0.1966951601252107,-0.795027690825909,-0.09709848302431977,-0.4434444979532868,1.0,-0.47760654948230197,0.0
2018-10-05,-0.18175531435100273,-0.7910340058330075,-0.08286478847830663,-0.4569289515619832,1.0,-0.4941218918187559,0.0
2018-10-08,-0.18149562498120697,-0.7916228162492107,-0.08253901434284512,-0.45695643022521576,1.0,-0.49427188261117966,0.0
2018-10-09,-0.17905954602926125,-0.7935155638509243,-0.07517008850623157,-0.4618881329399724,1.0,-0.5007827081702692,0.0
2018-10-10,-0.17994943718774456,-0.7925720821043761,-0.0763859628002167,-0.46237885992897126,1.0,-0.49840486366098835,0.0
2018-10-11,-0.14156582162942025,-0.7996348967994582,-0.029914907399228575,-0.4570562082265996,1.0,-0.5162088154756648,0.0
2018-10-12,-0.13632210333952308,-0.8072331771155716,-0.02366846464467828,-0.46037079612108345,1.0,-0.5199103958499129,0.0
2018-10-15,-0.10729626447847855,-0.8586367271973221,-0.0,-0.4647036170275795,1.0,-0.5317415647125041,0.0
2018-10-16,-0.1039284232979795,-0.8642234994371039,-0.0,-0.46370800497718784,1.0,-0.5307222847662499,0.0
2018-10-17,-0.08423610704456286,-0.832669672659132,-0.0,-0.4651578146044387,1.0,-0.5458804239620542,0.0
2018-10-18,-0.08337726234405202,-0.8310783107831078,-0.0,-0.46763896210390676,1.0,-0.546476893340362,0.0
2018-10-19,-0.07412595575789412,-0.83102784100858,-0.0,-0.46696433782758423,1.0,-0.5461973968365142,0.0
2018-10-22,-0.07664148070052129,-0.8422069934985065,-0.0,-0.4651789375036608,1.0,-0.5445733028758859,0.0
2018-10-23,-0.06954953889808464,-0.8503783400331048,-0.0,-0.48025537952234576,1.0,-0.5556278079924332,0.0
2018-10-24,-0.06723557550345478,-0.8483139431878579,-0.0,-0.4803342585483966,1.0,-0.5569302545325695,0.0
2018-10-25,-0.0857064371394561,-0.887922351433019,-0.0,-0.49305619143546076,1.0,-0.5855385648444893,0.0
2018-10-26,-0.07522418807561804,-0.8786960736791082,-0.0,-0.4961827435773146,1.0,-0.579465584100824,0.0
2018-10-29,-0.05243128964059197,-0.8923890063424947,-0.0,-0.4872848082150408,1.0,-0.5881304741769857,0.0
2018-10-30,-0.021582952815829528,-0.9017351598173515,-0.0,-0.4977168949771689,1.0,-0.6231354642313546,0.0
2018-10-31,-0.027627154584835355,-0.8822210778225439,-0.0,-0.49886401502529454,1.0,-0.620581018448396,0.0
2018-11-01,-0.02534366862471992,-0.8836976927269424,-0.0,-0.49851632047477745,1.0,-0.6203899957609156,0.0
2018-11-02,-0.03037883125885296,-0.8602212109339683,-0.0,-0.5064042675024865,1.0,-0.6167686326512161,0.0
