Date,IWF,IWM,MTUM,NMFC,SPY,VLUE,VXX
2018-09-24,-0.14190078771784972,-0.4420369089326758,-0.0,1.0,-0.32240644455849865,-0.3251734987615201,0.0
2018-09-25,-0.14477618601329942,-0.44124603918418354,-0.0,1.0,-0.3218860177623064,-0.32353728745481325,0.0
2018-09-26,-0.14415178571428572,-0.4409375,-0.0,1.0,-0.32212053571428567,-0.3249330357142857,0.0
2018-09-27,-0.14591279134604662,-0.4372699899631984,-0.0,1.0,-0.3222928515668562,-0.3249470279915244,0.0
2018-09-28,-0.14451163724811997,-0.43913596501015334,-0.0,1.0,-0.3225626492312499,-0.32528507352777103,0.0
2018-10-01,-0.14487837536264228,-0.4387859852711448,-0.0,1.0,-0.32271814327159115,-0.3252622182548538,0.0
2018-10-02,-0.1571651477804663,-0.41692860857963415,-0.0,1.0,-0.3427557043033853,-0.34451957214897905,0.0
2018-10-03,-0.15920443193170467,-0.42630097175551723,-0.0,1.0,-0.34265734265734266,-0.3422713649986377,0.0
2018-10-04,-0.16087962962962962,-0.42345225127087877,-0.0,1.0,-0.344612381989833,-0.3405047204066812,0.0
2018-10-05,-0.15681082671373936,-0.4218887908208297,-0.0,1.0,-0.34415099463643156,-0.3402584470545636,0.0
2018-10-08,-0.15428972004884448,-0.41933879064718915,-0.0,1.0,-0.34765501334177557,-0.34003437203202025,0.0
2018-10-09,-0.16429807779903433,-0.4258449485287419,-0.0,1.0,-0.34932130818985146,-0.33802496128268195,0.0
2018-10-10,-0.1711810807094734,-0.42838810211283745,-0.0,1.0,-0.35638663550116867,-0.33562491406572253,0.0
2018-10-11,-0.14420062695924765,-0.41827138378862516,-0.0,1.0,-0.3435288849081953,-0.3331616659202866,0.0
2018-10-12,-0.14268593115387176,-0.41411989258050913,-0.0,1.0,-0.33688439088265976,-0.3256985596022815,0.0
2018-10-15,-0.1369495880216178,-0.41769292105962613,-0.0,1.0,-0.33525294586692655,-0.32504208381323646,0.0
2018-10-16,-0.1346460529813059,-0.42136971737397005,-0.0,1.0,-0.3345663152299105,-0.3243333038008328,0.0
2018-10-17,-0.12276220417430793,-0.399048118068291,-0.0,1.0,-0.3319360754519256,-0.32944720985066805,0.0
2018-10-18,-0.12261782619135977,-0.3988735837935777,-0.0,1.0,-0.3320526534087188,-0.32943308083564365,0.0
2018-10-19,-0.11305760069294067,-0.39084019055868346,-0.0,1.0,-0.3328064097011693,-0.32873538328280644,0.0
2018-10-22,-0.11329089255554112,-0.3896539777402451,-0.0,1.0,-0.33324671950110435,-0.32915421592828376,0.0
2018-10-23,-0.1141347881621961,-0.38959970557034923,-0.0,1.0,-0.33246736377216346,-0.3287220454201035,0.0
2018-10-24,-0.11342863331167424,-0.3911630929174789,-0.0,1.0,-0.33277019709768246,-0.3285250162443145,0.0
2018-10-25,-0.09681504464003039,-0.367230207475886,-0.0,1.0,-0.334262014816691,-0.312332467971042,0.0
2018-10-26,-0.09206109432695536,-0.36236992279288355,-0.0,1.0,-0.3346970459885868,-0.30889140651225244,0.0
2018-10-29,-0.0808542619152001,-0.3662554017661427,-0.0,1.0,-0.3291163023736457,-0.3114339992902027,0.0
2018-10-30,-0.07485023690747042,-0.36644471811141954,-0.0,1.0,-0.3294996764699743,-0.3164749838234987,0.0
2018-10-31,-0.07656843810354495,-0.35821236475401325,-0.0,1.0,-0.3279546445704318,-0.31397836064211987,0.0
2018-11-01,-0.07656843810354495,-0.3582538990301746,-0.0,1.0,-0.32793387743235103,-0.31397836064211987,0.0
2018-11-02,-0.07788336128190795,-0.3510547999089083,-0.0,1.0,-0.32910999316812617,-0.3122166325072977,0.0
2018-11-05,-0.07764759460130827,-0.3516601805084044,-0.0,1.0,-0.3291173304628633,-0.3116254036598493,0.0
2018-11-06,-0.07690077252863328,-0.3510759480562517,-0.0,1.0,-0.33011618996334113,-0.3130501418718804,0.0
2018-11-07,-0.07681954653690859,-0.35100942126514134,-0.0,1.0,-0.3298478103323325,-0.3129309452324257,0.0
2018-11-08,-0.06396316773888557,-0.35099582759542064,-0.0,1.0,-0.3249748216965038,-0.31543789694366225,0.0
2018-11-09,-0.06437618225182991,-0.3511596348383913,-0.0,1.0,-0.3248622419606875,-0.31567151903939467,0.0
2018-11-12,-0.06445128205128205,-0.3385435897435897,-0.0,1.0,-0.3332102564102564,-0.3150974358974359,0.0
2018-11-13,-0.05965938132526426,-0.3374905440493958,-0.0,1.0,-0.3331970313426428,-0.3141829036413077,0.0
2018-11-14,-0.060707711188382085,-0.3370423399468194,-0.0,1.0,-0.3336674166496216,-0.31399059112292904,0.0
2018-11-15,-0.06031577442349721,-0.33758859453828716,-0.0,1.0,-0.3356277701750444,-0.30899323924099753,0.0
2018-11-16,-0.05649625196593067,-0.3310116628199105,-0.0,1.0,-0.33756816928450334,-0.31744929430748176,0.0
2018-11-19,-0.05599705816257738,-0.331283580869885,-0.0,1.0,-0.337984432776972,-0.3176571533637051,0.0
2018-11-20,-0.036035670031891766,-0.3266367385077901,-0.0,1.0,-0.3404294216823417,-0.328221170448313,0.0
2018-11-21,-0.035556005261560254,-0.32482039866437323,-0.0,1.0,-0.339492057067692,-0.3238085601537995,0.0
2018-11-23,-0.035679592001942845,-0.32486035780781997,-0.0,1.0,-0.3394519549906905,-0.323807981866753,0.0
2018-11-26,-0.03514771347632538,-0.32804532577903683,-0.0,1.0,-0.3380210441116957,-0.32227842978551197,0.0
2018-11-27,-0.03089168765743073,-0.3291284634760705,-0.0,1.0,-0.3354357682619647,-0.3196574307304786,0.0
2018-11-28,-0.032847083509876314,-0.32274075419163484,-0.0,1.0,-0.3396687044771301,-0.3223775800496338,0.0
2018-11-29,-0.018644101702374523,-0.3171697773510172,-0.0,1.0,-0.33893456560443297,-0.3257116565644442,0.0
2018-11-30,-0.018619627607447852,-0.3172136557268855,-0.0,1.0,-0.3393732125357493,-0.3247335053298934,0.0
2018-12-03,-0.01731134432783608,-0.3177011494252874,-0.0,1.0,-0.33943028485757126,-0.3245577211394303,0.0
2018-12-04,-0.014602034709754639,-0.31849192100538604,-0.0,1.0,-0.33794135248354285,-0.3237582286056254,0.0
2018-12-06,-0.011254019292604502,-0.298466786918673,-0.0,1.0,-0.33642459414947845,-0.314485138420516,0.0
2018-12-07,-0.005857493857493857,-0.30077641277641276,-0.0,1.0,-0.33894840294840295,-0.32001965601965604,0.0
2018-12-10,-0.0,-0.3009273690773067,-0.0,1.0,-0.33687266209476313,-0.31045433291770574,0.0
2018-12-11,-0.0,-0.30227476686565996,-0.0,1.0,-0.3334308790822896,-0.3152093331772601,0.0
2018-12-12,-0.0,-0.3024921449620421,-0.0,1.0,-0.3344977654612517,-0.31457231513826817,0.0
2018-12-13,-0.0,-0.302267494048316,-0.0,1.0,-0.33466026616711547,-0.3144440541700816,0.0
2018-12-14,-0.0,-0.30184408234949756,-0.0,1.0,-0.33503756464045276,-0.31452824665821055,0.0
2018-12-17,-0.0,-0.29945161792159297,-0.0,1.0,-0.3263845675171126,-0.31878111387678904,0.0
2018-12-18,-0.0,-0.3059657644247718,-0.0,1.0,-0.33181871597007323,-0.3207724548552626,0.0
2018-12-19,-0.0,-0.30598374302223097,-0.0,1.0,-0.33181862697091374,-0.3208696503770444,0.0
2018-12-20,-0.0,-0.2978009327011259,-0.0,1.0,-0.33579191789108076,-0.31766473492165703,0.0
2018-12-21,-0.0,-0.29751985482077,-0.0,1.0,-0.33564891603410935,-0.3181454524167268,0.0
2018-12-24,-0.0,-0.2873556525958273,-0.0,1.0,-0.33015041242115484,-0.3232799611838913,0.0
2018-12-26,-0.0,-0.2927355365534242,-0.0,1.0,-0.3170210307372313,-0.3161351205608196,0.0
2018-12-27,-0.0,-0.28760842153528715,-0.0,1.0,-0.3076496885866035,-0.3152535248939666,0.0
2018-12-28,-0.0,-0.28990986862205925,-0.0,1.0,-0.3064275893675527,-0.3132256339749465,0.0
2018-12-31,-0.0,-0.2902129284827652,-0.0,1.0,-0.3063496610331329,-0.31312899837677843,0.0
2019-01-02,-0.0,-0.29001890431362065,-0.0,1.0,-0.3043976398250874,-0.3150909889438408,0.0
2019-01-03,-0.0,-0.2917544329975872,-0.0,1.0,-0.29945233809505567,-0.32369499444678485,0.0
2019-01-04,-0.0,-0.2931211890243902,-0.0,1.0,-0.2871951219512195,-0.32515243902439017,0.0
2019-01-07,-0.0,-0.283481637885529,-0.0,1.0,-0.2835004901591132,-0.31824523037478314,0.0
2019-01-08,-0.0,-0.290374463092963,-0.0,1.0,-0.28112168631383755,-0.3206872410073984,0.0
2019-01-09,-0.0,-0.28518511518908396,-0.0,1.0,-0.28091395309281275,-0.32381456352881144,0.0
2019-01-10,-0.0,-0.28306593344293896,-0.0,1.0,-0.2837273465993915,-0.32295859553640605,0.0
2019-01-11,-0.0,-0.28188657078430257,-0.0,1.0,-0.285960623803839,-0.3270611865916283,0.0
2019-01-14,-0.0,-0.2826309212768374,-0.0,1.0,-0.2862281797871938,-0.3244159188155553,0.0
2019-01-15,-0.0,-0.2818678608022466,-0.0,1.0,-0.2842776365223331,-0.33131569959394325,0.0
2019-01-16,-0.0,-0.2812535569298478,-0.0,1.0,-0.2849148233865766,-0.3308608718746443,0.0
2019-01-17,-0.0,-0.285586494356788,-0.0,1.0,-0.2852629375154641,-0.33242610532726824,0.0
2019-01-18,-0.0,-0.2853140722671139,-0.0,1.0,-0.28721985058697974,-0.3332443970117396,0.0
2019-01-22,-0.0,-0.265937361172812,-0.0,1.0,-0.2513512512957204,-0.33374055975122163,0.0
2019-01-23,-0.0,-0.2579777365491651,-0.0,1.0,-0.2524489795918367,-0.34486085343228196,0.0
2019-01-24,-0.0,-0.2575670409204788,-0.0,1.0,-0.25363273638303796,-0.34462280783149296,0.0
2019-01-25,-0.0,-0.22939691444600283,-0.0,1.0,-0.24996727442730252,-0.3906685366993923,0.0
2019-01-28,-0.0,-0.20793683308813946,-0.0,1.0,-0.2738412260935958,-0.3804353898582842,0.0
2019-01-29,-0.0,-0.2100754450514736,-0.0,1.0,-0.2671609618314937,-0.3810160924666444,0.0
2019-01-30,-0.0,-0.2101392757660167,-0.0,1.0,-0.2672794800371402,-0.3796100278551532,0.0
2019-01-31,-0.0,-0.21828601198228703,-0.0,1.0,-0.25745171733710415,-0.3848658504818963,0.0
2019-02-01,-0.0,-0.21808966571013305,-0.0,1.0,-0.2639101106846048,-0.38137740841501133,0.0
2019-02-04,-0.0,-0.21786354135562855,-0.0,1.0,-0.27306658704090775,-0.37531725888324874,0.0
2019-02-05,-0.0,-0.21779850746268656,-0.0,1.0,-0.27373134328358206,-0.3741417910447761,0.0
2019-02-06,-0.0,-0.21834704883464892,-0.0,1.0,-0.27569090671593055,-0.37203530575304633,0.0
