Date,CRVL,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3453907705798531,-1.0468413168182982,-0.051846980160035076,-0.613540867404728,-0.5961489276188389,0.0
2018-09-25,1.0,-0.36002508114488047,-1.0523015638831512,-0.06454706403068752,-0.6173281203894954,-0.5942387134848037,0.0
2018-09-26,1.0,-0.35958663960140247,-1.0522974718582763,-0.06252076028787598,-0.6185643107584424,-0.5977117549363351,0.0
2018-09-27,1.0,-0.362157976251936,-1.0449885684785016,-0.06460653440519214,-0.6184453130761856,-0.5973523121174128,0.0
2018-09-28,1.0,-0.3594937642978378,-1.0480776326470373,-0.06538262858829606,-0.6188104198952107,-0.5979632499446536,0.0
2018-10-01,1.0,-0.3590784907332201,-1.0495458908661301,-0.06593812301558001,-0.6188067636417338,-0.5985749095473677,0.0
2018-10-02,1.0,-0.3597371917909346,-1.0435922043407648,-0.06828584083862395,-0.61974014469216,-0.5997711501550274,0.0
2018-10-03,1.0,-0.3643220748337235,-1.0637610076914503,-0.07070932263218518,-0.6205922788243601,-0.5962917549139822,0.0
2018-10-04,1.0,-0.366245822502785,-1.0591904938730041,-0.0714073523950984,-0.6227998514667658,-0.5936502042331973,0.0
2018-10-05,1.0,-0.354588156970078,-1.0559973369826534,-0.05928912231386618,-0.6283241483892443,-0.6003994526019899,0.0
2018-10-08,1.0,-0.3539217860575146,-1.055592518666371,-0.058290825755895614,-0.6285207363051675,-0.5999852147556738,0.0
2018-10-09,1.0,-0.35136935603256847,-1.0580310880829016,-0.049999999999999996,-0.6341968911917099,-0.6073649148778683,0.0
2018-10-10,1.0,-0.35518659896972166,-1.0572953340992475,-0.05332987436534114,-0.637475447503984,-0.6027128191824481,0.0
2018-10-11,1.0,-0.2907665631096019,-1.066794306769742,-0.0,-0.6266888230619174,-0.6282060544758327,0.0
2018-10-12,1.0,-0.2861239559809299,-1.065992759078037,-0.0,-0.6160519052227839,-0.6164462128544288,0.0
2018-10-15,1.0,-0.23950064944436422,-1.126785972001732,-0.0,-0.6150959734449415,-0.626641651031895,0.0
2018-10-16,1.0,-0.23287819679237107,-1.1396474497904927,-0.0,-0.614109232769831,-0.625559890189279,0.0
2018-10-17,1.0,-0.2245621575158483,-1.1236345403101609,-0.0,-0.6087890834855485,-0.6245120160452705,0.0
2018-10-18,1.0,-0.22586893360593996,-1.12776641916855,-0.0,-0.6077692887119338,-0.6255245883998709,0.0
2018-10-19,1.0,-0.20934952113077224,-1.1208744258909815,-0.0,-0.6070780076191832,-0.6230640509844412,0.0
2018-10-22,1.0,-0.21160433913788182,-1.128889523265772,-0.0,-0.605802169568941,-0.6220739366257494,0.0
2018-10-23,1.0,-0.21792078854326632,-1.1303524874111641,-0.0,-0.6023713438805757,-0.620692118138638,0.0
2018-10-24,1.0,-0.21540437372908566,-1.1275016945524599,-0.0,-0.6024401555420784,-0.6221326388641147,0.0
2018-10-25,1.0,-0.17810163389642758,-1.0843602880088616,-0.0,-0.609111049570756,-0.5900373857657157,0.0
2018-10-26,1.0,-0.16831445245451424,-1.072845863371095,-0.0,-0.6092001373154823,-0.5824922760041195,0.0
2018-10-29,1.0,-0.1383281351749666,-1.0941152277478838,-0.0,-0.5993076738526922,-0.5956061281146109,0.0
2018-10-30,1.0,-0.13269151706180624,-1.093976976839797,-0.0,-0.5993901603398657,-0.6000411127860765,0.0
2018-10-31,1.0,-0.1327001074635144,-1.1141193191666379,-0.0,-0.6090408014698235,-0.6106700870107811,0.0
