Date,HOMB,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.11085091976074936,-0.7784956551179326,-0.033602302223225376,-0.4106195688974157,-0.4877835458751834,0.0
2018-09-25,1.0,-0.10987022533857332,-0.7817580366988041,-0.030535214453334843,-0.41358251576239075,-0.49158867935197487,0.0
2018-09-26,1.0,-0.10989539157478088,-0.7819055696918291,-0.030675713881820752,-0.413514277636415,-0.4912920554141928,0.0
2018-09-27,1.0,-0.10893846809720052,-0.7938610203211597,-0.028250675003552647,-0.41671166690351,-0.4943583913599546,0.0
2018-09-28,1.0,-0.10545693247331467,-0.802528683144015,-0.02902562931674182,-0.4197157371996118,-0.4973457389120383,0.0
2018-10-01,1.0,-0.10635686352867298,-0.801615619558702,-0.028972682898980962,-0.4202038078383239,-0.49730254331630186,0.0
2018-10-02,1.0,-0.10744347726162774,-0.8295555747076906,-0.02157488005975466,-0.4192306587376828,-0.495044385072826,0.0
2018-10-03,1.0,-0.10737773182849429,-0.8265701731713622,-0.021337698515263775,-0.4200338875965653,-0.49653944458803595,0.0
2018-10-04,1.0,-0.10690066649203993,-0.849821007596263,-0.020344014668645768,-0.4205884920981402,-0.5127914083646207,0.0
2018-10-05,1.0,-0.09801021000116023,-0.8493734772015314,-0.013081563986541362,-0.4229318946513516,-0.5171713655876551,0.0
2018-10-08,1.0,-0.096533147971153,-0.8477423465693515,-0.011063805138007934,-0.42418976453210533,-0.5167260404900512,0.0
2018-10-09,1.0,-0.09448453757644262,-0.8490855867605716,-0.005332869605541547,-0.42778888792278935,-0.5216068167985393,0.0
2018-10-10,1.0,-0.09541885196024456,-0.8481353771261338,-0.006606589203442381,-0.42838515256005333,-0.5191098490336415,0.0
2018-10-11,1.0,-0.028462998102466792,-0.8531252655130419,-0.0,-0.4122744909229941,-0.5383046815259565,0.0
2018-10-12,1.0,-0.019185535749709524,-0.8602601524640802,-0.0,-0.4131266472071867,-0.5413041630062063,0.0
2018-10-15,1.0,-0.0,-0.9005951194510095,-0.0,-0.4038839374697457,-0.5429824311626186,0.0
2018-10-16,1.0,-0.0,-0.8997835621119782,-0.0,-0.404539499914564,-0.5435154069601867,0.0
2018-10-17,1.0,-0.0,-0.8662823397075364,-0.0,-0.3962879640044994,-0.549578177727784,0.0
2018-10-18,1.0,-0.0,-0.8660143657032974,-0.0,-0.40713194955036475,-0.5547480346134269,0.0
2018-10-19,1.0,-0.0,-0.8693956012890823,-0.0,-0.40357324588680954,-0.5539661898569571,0.0
2018-10-22,1.0,-0.0,-0.8985867948277836,-0.0,-0.40631079070831905,-0.5558702368692071,0.0
2018-10-23,1.0,-0.0,-0.9074792885696077,-0.0,-0.42176003707780546,-0.5674642257111406,0.0
2018-10-24,1.0,-0.0,-0.9038210082812727,-0.0,-0.426325730059567,-0.5755629812581723,0.0
2018-10-25,1.0,-0.0,-0.8779980630091723,-0.0,-0.4165384834501225,-0.553979376744716,0.0
2018-10-26,1.0,-0.0,-0.8690752590746927,-0.0,-0.4150008494252223,-0.5473412990543066,0.0
2018-10-29,1.0,-0.0,-0.8729272419627748,-0.0,-0.4002820078962211,-0.5468697123519458,0.0
2018-10-30,1.0,-0.0,-0.8757838330863071,-0.0,-0.3994413407821229,-0.5750769581575648,0.0
2018-10-31,1.0,-0.0,-0.8589002267573697,-0.0,-0.4018990929705215,-0.5736678004535147,0.0
2018-11-01,1.0,-0.0,-0.8630726541706778,-0.0,-0.39744606149838607,-0.5709270060592333,0.0
2018-11-02,1.0,-0.0,-0.846611244187685,-0.0,-0.40312808228829083,-0.568352825137382,0.0
2018-11-05,1.0,-0.0,-0.8557418627589122,-0.0,-0.4027617303085811,-0.5595885585458644,0.0
2018-11-06,1.0,-0.0,-0.8551214837364001,-0.0,-0.4032921810699589,-0.5602345115282711,0.0
2018-11-07,1.0,-0.0,-0.8549859154929578,-0.0,-0.40216901408450706,-0.5597464788732395,0.0
2018-11-08,1.0,-0.0,-0.852135724076198,-0.0,-0.38613667515175254,-0.5590086435984224,0.0
