Date,DTE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.23120032606480534,-0.5168891379661708,-0.0,-0.47669146117790906,-0.3225748930099857,0.0
2018-09-25,1.0,-0.23123758088347685,-0.51691547358231,-0.0,-0.4766902736026902,-0.32264227849391147,0.0
2018-09-26,1.0,-0.22999948945729312,-0.5170776535457191,-0.0,-0.4782253535508246,-0.32741103793332316,0.0
2018-09-27,1.0,-0.22979668982427462,-0.5182621577441766,-0.0,-0.4784174499387005,-0.3276716387413159,0.0
2018-09-28,1.0,-0.23194966623187296,-0.5179416353359421,-0.0,-0.4792194173764035,-0.328473874012123,0.0
2018-10-01,1.0,-0.232179592676404,-0.5253548652540629,-0.0,-0.48174243982719606,-0.3322104505245834,0.0
2018-10-02,1.0,-0.2331584901779286,-0.5219068188830608,-0.0,-0.48269567006068087,-0.3334618944770133,0.0
2018-10-03,1.0,-0.23380988082004087,-0.511181200072387,-0.0,-0.49259326284222227,-0.34766422791551405,0.0
2018-10-04,1.0,-0.24492776300005215,-0.5075627184060919,-0.0,-0.5090491837479789,-0.3462942679810149,0.0
2018-10-05,1.0,-0.22813352383426416,-0.4983764125211066,-0.0,-0.5166904792830237,-0.3545395505909858,0.0
2018-10-08,1.0,-0.2268416640469454,-0.501676621607461,-0.0,-0.530886513674945,-0.36031646232840825,0.0
2018-10-09,1.0,-0.22244667733557205,-0.5024005037122544,-0.0,-0.533830049584175,-0.3648240942361676,0.0
2018-10-10,1.0,-0.22608444339349992,-0.5022989411733796,-0.0,-0.5370589317148787,-0.36191902472347026,0.0
2018-10-11,1.0,-0.1722880583409298,-0.48359161349134006,-0.0,-0.5165349944292515,-0.3597437455687228,0.0
2018-10-12,1.0,-0.17016112890312252,-0.4759557646116894,-0.0,-0.5084567654123299,-0.34742794235388313,0.0
2018-10-15,1.0,-0.14850323321598882,-0.49569320650138565,-0.0,-0.504930966469428,-0.34758944398671765,0.0
2018-10-16,1.0,-0.14698319978032404,-0.49796550088619285,-0.0,-0.5043311116103747,-0.34703811877480717,0.0
2018-10-17,1.0,-0.13301470588235295,-0.4700490196078432,-0.0,-0.49867647058823533,-0.34924019607843143,0.0
2018-10-18,1.0,-0.13259654969613802,-0.4693197412272103,-0.0,-0.4993628700254852,-0.34922074103117035,0.0
2018-10-19,1.0,-0.11986118526428191,-0.45823423773236904,-0.0,-0.5017230500412562,-0.34703683929524826,0.0
2018-10-22,1.0,-0.120269215762778,-0.4484246976199766,-0.0,-0.5125341396800625,-0.3572961373390558,0.0
2018-10-23,1.0,-0.11967313086961825,-0.44861568483961456,-0.0,-0.5132577143554092,-0.3577509452372241,0.0
2018-10-24,1.0,-0.1181040991791899,-0.4463307109628078,-0.0,-0.5135543269113672,-0.35767347833499774,0.0
2018-10-25,1.0,-0.08398442406732823,-0.4504961688230122,-0.0,-0.6036930033915338,-0.37404848637105886,0.0
2018-10-26,1.0,-0.06165936224875321,-0.4505062717243464,-0.0,-0.6298927006196162,-0.376706463150471,0.0
2018-10-29,1.0,-0.05704807619813526,-0.45007665049885653,-0.0,-0.6304440702671459,-0.3755623130858737,0.0
2018-10-30,1.0,-0.045794039984911356,-0.45127624795674587,-0.0,-0.6318873381114045,-0.3858166729536024,0.0
2018-10-31,1.0,-0.048686898888722775,-0.43489310808790554,-0.0,-0.6279214630986197,-0.38012657597049887,0.0
2018-11-01,1.0,-0.02258428374483018,-0.4632660734427873,-0.0,-0.6338638927183857,-0.38689058779295643,0.0
2018-11-02,1.0,-0.028025985016302858,-0.4371655424745501,-0.0,-0.6415362023048011,-0.3822585061104612,0.0
2018-11-05,1.0,-0.02807576474102098,-0.43714065261219104,-0.0,-0.6414864225800831,-0.38228339597282024,0.0
2018-11-06,1.0,-0.02455184138810411,-0.4368077605820437,-0.0,-0.6480986073955547,-0.39072930469785233,0.0
2018-11-07,1.0,-0.024984353486043307,-0.43757666791838773,-0.0,-0.6492927775691575,-0.39156339967455245,0.0
2018-11-08,1.0,-0.009955916588241123,-0.4339244142850067,-0.0,-0.6417355985932934,-0.3909802367625935,0.0
2018-11-09,1.0,-0.009658246656760773,-0.4338781575037147,-0.0,-0.6421000495294701,-0.39083704804358593,0.0
2018-11-12,1.0,-0.009828922284667375,-0.41749399618726946,-0.0,-0.6567552177465277,-0.39172092792948926,0.0
2018-11-13,1.0,-0.0,-0.40916000588437207,-0.0,-0.6582405727455499,-0.3844211248957976,0.0
2018-11-14,1.0,-0.0,-0.40923590322422343,-0.0,-0.6596653089267311,-0.3848456593217844,0.0
2018-11-15,1.0,-0.0,-0.40836272780717225,-0.0,-0.66005291005291,-0.38112384871644134,0.0
2018-11-16,1.0,-0.0,-0.40024417043096083,-0.0,-0.6571847149310218,-0.38427542424612376,0.0
