Date,IWF,IWM,JEF,MTUM,SPY,VLUE,VXX
2018-09-24,-0.333297709379787,-0.6853336183249616,1.0,-0.004096754657831926,-0.7712942182323395,-0.7683374300879912,0.0
2018-09-25,-0.33277484671324686,-0.6867959503778697,1.0,-0.0027805504063881364,-0.7724939398260374,-0.7699985740767147,0.0
2018-09-26,-0.3317716901509192,-0.6881124383091338,1.0,-0.0,-0.7765538945712038,-0.7798440741005651,0.0
2018-09-27,-0.33077777379715545,-0.6935478092645004,1.0,-0.0,-0.7774155411457028,-0.7808189732382761,0.0
2018-09-28,-0.3281692666308051,-0.6980814057737135,1.0,-0.0,-0.7781244396629012,-0.7817464586695356,0.0
2018-10-01,-0.32874305181997493,-0.6975434821588667,1.0,-0.0,-0.7782678859601937,-0.7816030123722432,0.0
2018-10-02,-0.32998673312058513,-0.6938936498260962,1.0,-0.0,-0.7791602423894725,-0.7826024597511563,0.0
2018-10-03,-0.3293168370091447,-0.6833422987269141,1.0,-0.0,-0.783467814237045,-0.7900304823381746,0.0
2018-10-04,-0.330070632103546,-0.6823348033415798,1.0,-0.0,-0.7837295184826647,-0.7892510128715357,0.0
2018-10-05,-0.3028174114579561,-0.6785326283769103,1.0,-0.0,-0.8146230173100601,-0.8254146447454189,0.0
2018-10-08,-0.2997180654955541,-0.6747271018578761,1.0,-0.0,-0.8159112267765487,-0.8241523892141979,0.0
2018-10-09,-0.2950048829891127,-0.674937606250226,1.0,-0.0,-0.8184974861648642,-0.828588996997866,0.0
2018-10-10,-0.2943602358644141,-0.6752523242773939,1.0,-0.0,-0.8186882755127881,-0.8292515284158738,0.0
2018-10-11,-0.21894240579812124,-0.6574605073356086,1.0,-0.0,-0.7990359919783275,-0.8428385462477571,0.0
2018-10-12,-0.20947958026091887,-0.666016732841747,1.0,-0.0,-0.8127481565513329,-0.8568491208167895,0.0
2018-10-15,-0.17857016394603592,-0.6948762437590736,1.0,-0.0,-0.8082220884529585,-0.8592826033072484,0.0
2018-10-16,-0.17056464492316425,-0.7124250275047024,1.0,-0.0,-0.807538062959151,-0.858466124853604,0.0
