Date,IWF,IWM,MTUM,NK,SPY,VLUE,VXX
2018-09-24,-1.157321631724362,-2.2904274337721438,-0.14692020152771004,1.0,-1.783682756379002,-1.747765317731188,0.0
2018-09-25,-1.1577451060027617,-2.2886849159288443,-0.1483226382909593,1.0,-1.7822272764194622,-1.7458370562911218,0.0
2018-09-26,-1.1624766089008218,-2.295582133268245,-0.15499145716377838,1.0,-1.783662842730453,-1.7393214547229678,0.0
2018-09-27,-1.2525733730327522,-2.352871118672905,-0.18562313908974903,1.0,-1.885835814547001,-1.830114844746916,0.0
2018-09-28,-1.2527435133985538,-2.352275627392599,-0.18664398128455978,1.0,-1.8855806039982987,-1.8299447043811143,0.0
2018-10-01,-1.2530622660768969,-2.351054780537598,-0.18739367131677442,1.0,-1.8852500850629466,-1.829533855052739,0.0
2018-10-02,-1.2544338335607095,-2.375255798090041,-0.1836630286493861,1.0,-1.8847203274215552,-1.8284447476125512,0.0
2018-10-03,-1.3075287865367582,-2.4077059344552705,-0.18210806023029227,1.0,-2.001417183348096,-1.958635961027458,0.0
2018-10-04,-1.311484193606001,-2.44311484193606,-0.1824432934452581,1.0,-2.0097338810501877,-1.9833898910519736,0.0
2018-10-05,-1.3012563485699011,-2.446850218301702,-0.1561970952508242,1.0,-2.01657310879444,-1.9894858772164306,0.0
2018-10-08,-1.2948387669894288,-2.4365283823398776,-0.14622012969707737,1.0,-2.02016523052323,-1.9856089544283555,0.0
2018-10-09,-1.2937466690353527,-2.437022561733878,-0.14300941552673654,1.0,-2.021406999467046,-1.9872979214780602,0.0
2018-10-10,-1.314615797958087,-2.451997134157263,-0.15493462296256494,1.0,-2.045853483790077,-1.9884470714669533,0.0
2018-10-11,-1.1817326605661507,-2.399298725733345,-0.0,1.0,-1.9819550158214316,-1.9891388009920463,0.0
2018-10-12,-1.1720087262963585,-2.364406779661017,-0.0,1.0,-1.9259103876489345,-1.9282597751300554,0.0
2018-10-15,-1.1142904953145916,-2.414240294511379,-0.0,1.0,-1.911479250334672,-1.9267904953145916,0.0
2018-10-16,-1.1037688442211053,-2.436264656616415,-0.0,1.0,-1.9098827470686766,-1.925293132328308,0.0
2018-10-17,-1.0411004035911375,-2.3328391401037805,-0.0,1.0,-1.9044559756198007,-1.9581583065645334,0.0
2018-10-18,-1.1432346723044398,-2.5365574348132487,-0.0,1.0,-2.02792459478506,-2.1013037350246653,0.0
2018-10-19,-1.0955491681909242,-2.4995209476526434,-0.0,1.0,-2.0225590105391515,-2.0924135528264087,0.0
2018-10-22,-1.095727090766687,-2.4875989905143157,-0.0,1.0,-2.0248020189713687,-2.0943346967191716,0.0
2018-10-23,-1.0916703009158306,-2.4939380723942435,-0.0,1.0,-2.034539904055822,-2.102049716528565,0.0
2018-10-24,-1.0879839553540287,-2.484304150680153,-0.0,1.0,-2.0380188350191837,-2.1096093477502618,0.0
2018-10-25,-0.9862332061701774,-2.328578537070824,-0.0,1.0,-1.9851550837618177,-1.9931995355780394,0.0
2018-10-26,-0.9337156902908644,-2.292257271609996,-0.0,1.0,-1.9990167963949201,-1.9684555510036867,0.0
2018-10-29,-0.8819410519459372,-2.3094772838299953,-0.0,1.0,-1.9736199316072303,-1.9770395701025893,0.0
2018-10-30,-0.86279296875,-2.309326171875,-0.0,1.0,-1.9738769531249998,-1.9920247395833333,0.0
2018-10-31,-0.8876404494382023,-2.2622537046083697,-0.0,1.0,-1.9938120827226835,-1.9982901807523206,0.0
2018-11-01,-0.8417582417582418,-2.3026455026455026,-0.0,1.0,-1.9938135938135937,-2.0018722018722017,0.0
