Date,EVI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.6794878060700845,-1.3208543081960804,-0.043057524070182304,-0.956307120864083,-0.8876399002981282,0.0
2018-09-25,1.0,-0.6787706763237741,-1.3240677302534993,-0.04061857688166781,-0.9590877948517177,-0.8912107272193404,0.0
2018-09-26,1.0,-0.6831003188619084,-1.3304881039980379,-0.046897228354182,-0.9603139563404464,-0.8847682119205298,0.0
2018-09-27,1.0,-0.6937721369539551,-1.31754230617867,-0.052685950413223145,-0.9661058638331367,-0.8892168437622984,0.0
2018-09-28,1.0,-0.7168039950062421,-1.3309363295880148,-0.05343320848938826,-0.9859675405742822,-0.9066167290886391,0.0
2018-10-01,1.0,-0.7206242809264168,-1.330448701915862,-0.05317392826772047,-0.9895953178930519,-0.9084087839527788,0.0
2018-10-02,1.0,-0.7210235825388861,-1.3528850978424485,-0.04851981936778725,-0.9884094330155544,-0.9067235323632715,0.0
2018-10-03,1.0,-0.7269415633695927,-1.3366051100430054,-0.04452314697697951,-1.0126992157854795,-0.9386288894510498,0.0
2018-10-04,1.0,-0.7288248564397047,-1.371000820344545,-0.04629819524200164,-1.0177912223133716,-0.9632895816242822,0.0
2018-10-05,1.0,-0.7126882818483534,-1.3636456471789633,-0.024917028338013784,-1.0285933112075567,-0.9761552208322696,0.0
2018-10-08,1.0,-0.7104927890740458,-1.3602405340671662,-0.021454415736635583,-1.029353309891454,-0.9745196962747797,0.0
2018-10-09,1.0,-0.7114894484656948,-1.3609440309919463,-0.022734223672137836,-1.0288510551534304,-0.9732898358650219,0.0
2018-10-10,1.0,-0.719071242264614,-1.3621950595816497,-0.028537820283332477,-1.0362092773487444,-0.9683935968905026,0.0
2018-10-11,1.0,-0.6551193607623207,-1.341654672688471,-0.0,-1.0040200506228598,-0.9621817459923568,0.0
2018-10-12,1.0,-0.6589496353580344,-1.3302334687484707,-0.0,-0.9757721110077824,-0.9295678136165632,0.0
2018-10-15,1.0,-0.6793847973972197,-1.3247559893522625,-0.0,-0.9885635413585724,-0.9367544119096913,0.0
2018-10-16,1.0,-0.6665673568697551,-1.3651124683450022,-0.0,-0.9929490044192859,-0.9408610159392223,0.0
2018-10-17,1.0,-0.6321137218504225,-1.3059449953592888,-0.0,-0.9887645938156416,-0.9581358995652387,0.0
2018-10-18,1.0,-0.6324276778733386,-1.3075156372165755,-0.0,-0.9882720875684129,-0.9584147771696638,0.0
2018-10-19,1.0,-0.6064616582327754,-1.2933047878551964,-0.0,-1.0004379135850525,-0.9655507979758661,0.0
2018-10-22,1.0,-0.6065358203866945,-1.2787707592655726,-0.0,-1.0102761408464422,-0.9746262114644717,0.0
2018-10-23,1.0,-0.6137726010039475,-1.2804230225644524,-0.0,-1.006384326721575,-0.9730006335591402,0.0
2018-10-24,1.0,-0.6125506270433807,-1.2855609232420828,-0.0,-1.0080515297906603,-0.9735519445664372,0.0
2018-10-25,1.0,-0.5540786076312518,-1.2288897389308597,-0.0,-1.056373720952472,-0.9420962035000479,0.0
2018-10-26,1.0,-0.531447728775144,-1.2071489281329681,-0.0,-1.0565681367456794,-0.9266219661913306,0.0
2018-10-29,1.0,-0.5217882885004946,-1.209591557921515,-0.0,-1.0537051867904086,-0.9258962641918311,0.0
2018-10-30,1.0,-0.48054483973901035,-1.2289374672572273,-0.0,-1.0732009334666859,-0.9799495165976092,0.0
2018-10-31,1.0,-0.4901032294724879,-1.1955204091296525,-0.0,-1.0745809262240742,-0.9750449853205796,0.0
2018-11-01,1.0,-0.4680156966573684,-1.2119994326509387,-0.0,-1.0729516334925062,-0.9749420831166375,0.0
