Date,ALSN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3830669633825612,-0.7286735450805853,-0.0929934587632342,-0.5777193337379458,-0.5893519455121721,0.0
2018-09-25,1.0,-0.3838816232978293,-0.7275515707159228,-0.09451260617500337,-0.5767493595793448,-0.5879061615208305,0.0
2018-09-26,1.0,-0.38368396130690663,-0.7293174592437259,-0.0892241087735913,-0.5815125481972536,-0.598525333152946,0.0
2018-09-27,1.0,-0.38409521233432514,-0.7277522315390856,-0.08970110900730321,-0.5812821206383554,-0.5982891533675953,0.0
2018-09-28,1.0,-0.3869875765884703,-0.7269896076639247,-0.08970583257168004,-0.5823770353068616,-0.5990657052909515,0.0
2018-10-01,1.0,-0.3901115670249924,-0.7263047237953135,-0.08915188714435893,-0.5852690833870257,-0.6002577232188274,0.0
2018-10-02,1.0,-0.3900254452926209,-0.730381679389313,-0.08841391009329941,-0.5844953350296861,-0.5993893129770992,0.0
2018-10-03,1.0,-0.39211073608127917,-0.7158978555112339,-0.08475674201356925,-0.5982407691520916,-0.6183900992124374,0.0
2018-10-04,1.0,-0.3922337378971771,-0.7155325242056457,-0.08516296195281603,-0.5981521887358515,-0.618164462021001,0.0
2018-10-05,1.0,-0.381131947275445,-0.7092335915205871,-0.07307378719934773,-0.6057548579970105,-0.6280065226253567,0.0
2018-10-08,1.0,-0.3819567288066404,-0.7114573411348483,-0.07337733024901347,-0.605932779970064,-0.629099197169683,0.0
2018-10-09,1.0,-0.37946656674728346,-0.7136969036345676,-0.06519739755424601,-0.6115747521885752,-0.636441053241135,0.0
2018-10-10,1.0,-0.38203451973297364,-0.7361903773650168,-0.05665663588253606,-0.6237418283698246,-0.6602677181695549,0.0
2018-10-11,1.0,-0.3311609373944756,-0.7390085770243803,-0.0,-0.6179509691362193,-0.688660768555413,0.0
2018-10-12,1.0,-0.3353137516688919,-0.7313084112149533,-0.0,-0.6005006675567424,-0.6706275033377838,0.0
2018-10-15,1.0,-0.3125166533439915,-0.7514988009592326,-0.0,-0.5955568878230748,-0.6711297628563816,0.0
2018-10-16,1.0,-0.30761028921764627,-0.760129281620685,-0.0,-0.594395575103292,-0.6698987071837932,0.0
2018-10-17,1.0,-0.2864790305100332,-0.7229465663897008,-0.0,-0.5924660908404218,-0.6823212584978161,0.0
2018-10-18,1.0,-0.28893429117511366,-0.7302445132801687,-0.0,-0.5915441903381006,-0.6846371844724181,0.0
2018-10-19,1.0,-0.2797677622515253,-0.7251197270878436,-0.0,-0.5907957751098865,-0.6845109230466443,0.0
2018-10-22,1.0,-0.27975604957702144,-0.7191619122565415,-0.0,-0.5933503836317137,-0.6866679782280806,0.0
2018-10-23,1.0,-0.2847208554746441,-0.72000262415535,-0.0,-0.5902381420980122,-0.6852325657678934,0.0
2018-10-24,1.0,-0.28796037760936044,-0.7435846297034969,-0.0,-0.6005850285866241,-0.6919292647254355,0.0
2018-10-25,1.0,-0.2625882962866956,-0.7082172250664247,-0.0,-0.600835979521742,-0.6685892035512928,0.0
2018-10-26,1.0,-0.2424310599730025,-0.697467378029183,-0.0,-0.6123609950504596,-0.6617278395577553,0.0
2018-10-29,1.0,-0.22275912829210537,-0.7059425901628852,-0.0,-0.6034433101859259,-0.6679893756600211,0.0
2018-10-30,1.0,-0.21476789199219373,-0.7060818376683623,-0.0,-0.6038647342995169,-0.6746008894007741,0.0
2018-10-31,1.0,-0.21984485280091565,-0.6862084313600815,-0.0,-0.6027532269345711,-0.6704393717810136,0.0
2018-11-01,1.0,-0.20098490865766483,-0.7017950754567117,-0.0,-0.6028594122319302,-0.6714853057982527,0.0
2018-11-02,1.0,-0.20126445545812685,-0.7015186173592579,-0.0,-0.6028402592451392,-0.6713686618375906,0.0
