Date,ACA,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-07-05,1.0,-0.0,-0.6400714166155219,-0.8771411036098866,-1.5969982703788428,-1.4652680912793619,0.0
2019-07-08,1.0,-0.0,-0.65,-0.8707494407158837,-1.5997203579418346,-1.4724272930648772,0.0
2019-07-09,1.0,-0.0,-0.638218198077353,-0.8710038005812655,-1.601386094343841,-1.4784820031298904,0.0
2019-07-10,1.0,-0.0,-0.6378934421647006,-0.8700173310225303,-1.6019455470453403,-1.4807402023816179,0.0
2019-07-11,1.0,-0.0,-0.646485031954255,-0.8707814777441416,-1.6030384572261462,-1.4857046754120415,0.0
2019-07-12,1.0,-0.0,-0.6463168516649849,-0.8709496580334117,-1.6029263370332998,-1.4858167956048884,0.0
2019-07-15,1.0,-0.0,-0.6440982961255132,-0.8898386099083394,-1.6244165776303212,-1.4649946578192656,0.0
2019-07-16,1.0,-0.0,-0.6509088862625922,-0.8882323147053859,-1.6246834374472396,-1.464010355112837,0.0
2019-07-17,1.0,-0.0,-0.6646862445538392,-0.8863803542126408,-1.6323204888813445,-1.474961806144967,0.0
2019-07-18,1.0,-0.0,-0.6636713010059908,-0.8919407708827851,-1.629309370408048,-1.4667118797332428,0.0
2019-07-19,1.0,-0.0,-0.6659510762103836,-0.8886503587367945,-1.6332410598271285,-1.4615558443025818,0.0
2019-07-22,1.0,-0.0,-0.6633931594988148,-0.8823795010723559,-1.6304887684840275,-1.4677728863302857,0.0
2019-07-23,1.0,-0.0,-0.6708710407239818,-0.8786764705882352,-1.6328619909502262,-1.4736990950226243,0.0
2019-07-24,1.0,-0.0,-0.6686454093170511,-0.8783355947535051,-1.633819538670285,-1.4727498869289914,0.0
2019-07-25,1.0,-0.0,-0.6496754163138583,-0.8871577758961332,-1.6449336720293537,-1.4631668077900084,0.0
2019-07-26,1.0,-0.0,-0.6460626587637595,-0.885407846457804,-1.6486028789161726,-1.4649167372283376,0.0
2019-07-29,1.0,-0.0,-0.6306346967559944,-0.8855289139633286,-1.648293370944993,-1.477348377997179,0.0
